Energy	Absorbance
cm-1	a.u.
	0wt
941.262208	0.11606
943.191024	0.119092
945.11984	0.122469
947.048656	0.125691
948.977472	0.128691
950.906288	0.131747
952.835104	0.134843
954.76392	0.137701
956.692736	0.140355
958.621552	0.142656
960.550368	0.144022
962.479184	0.144566
964.408	0.14473
966.336816	0.144592
968.265632	0.144539
970.194448	0.144538
972.123264	0.144244
974.05208	0.144126
975.980896	0.144521
977.909712	0.145508
979.838528	0.147036
981.767344	0.148646
983.69616	0.14989
985.624976	0.150784
987.553792	0.151775
989.482608	0.15284
991.411424	0.153904
993.34024	0.155414
995.269056	0.157273
997.197872	0.159218
999.126688	0.161578
