Energy	Absorbance
cm-1	a.u.
	250wt
941.262208	0.118081422331422
943.191024	0.122009422331422
945.11984	0.126622422331422
947.048656	0.131529422331422
948.977472	0.136582422331422
950.906288	0.142550422331422
952.835104	0.150660422331422
954.76392	0.161401422331422
956.692736	0.175403422331422
958.621552	0.194508422331422
960.550368	0.218748422331422
962.479184	0.244192422331422
964.408	0.263961422331422
966.336816	0.271421422331422
968.265632	0.265671422331422
970.194448	0.251130422331422
972.123264	0.233232422331422
974.05208	0.216284422331422
975.980896	0.202586422331422
977.909712	0.192619422331422
979.838528	0.185937422331422
981.767344	0.181556422331422
983.69616	0.178417422331422
985.624976	0.176154422331422
987.553792	0.174922422331422
989.482608	0.174548422331422
991.411424	0.174806422331422
993.34024	0.175528422331422
995.269056	0.176719422331422
997.197872	0.178408422331422
999.126688	0.180292422331422
