A	B	C	D	E	F
SV+Male	Lv+Male	Nor+Male	SV+Female	Lv+Female	Nor+Female
134.31620921704	117.733112283623	109.307666548281	124.135366051098	121.983700552521	114.241806267205
120.567647410002	117.429782669134	123.645497790828	109.566127477855	108.51847108887	118.325236987123
114.101791934842	112.34672501713	132.070161005275	118.386613780884	106.898752033575	130.053208373159
107.501266368911	123.445549402028	109.875107842652	98.8525607398433	118.7468087672	129.58825183591
114.007273192214	125.174652331589	115.592801107589	117.929337280417	121.679098851222	117.978178818309
108.46711820033	112.703363146391	118.53570275403	100.101414281737	106.866760779073	111.427642413291
113.007775778206	114.464384181234	127.767038773438	94.7956908030342	114.920248871312	128.837407447439
101.02998883591	120.84505673658	128.492218429031	107.153758067645	122.732253580142	123.917004007413
123.149410766238	120.849867794779	122.942380083611	109.840094067225	104.995737597342	120.939448784948
118.368874272724	145.503211044556	130.920308179547	104.378674545188	112.682126616627	110.123854008876
113.054717385565	114.761280571919	136.949158530487	111.454793186264	97.8044004220974	117.560955282653
109.467719364159	125.33752075399	119.937364213539	122.844967173568	123.88898567995	107.152554809667
97.9980891733846	128.20658129175	117.985329831836	116.28675614748	123.263241338439	101.469203343981
123.965916900888	114.468872216617	112.070490177835	120.238680469481	116.895072020478	107.651837073356
131.956350791677	111.483981376765	126.241924611024	107.573064245205	101.294151290327	104.729877822833
124.598131156762	113.925926146503	131.86636440109	98.7356628193542	100.286846648195	127.547300615998
121.104813524049	128.995555580134	114.46558910685	88.375986613004	107.027752258282	106.825065717398
116.656972046047	119.0748942043	127.728968296925	112.569639138557	114.55197222375	126.648474106162
103.949944456766	117.902655944889	110.318328934059	119.621506397522	114.385156692255	141.086214537885
111.568232123097	129.68858784538	125.314552672051	107.704594829305	114.113937836341	115.07079489422
108.423999307093	106.856308501774	123.295269109688	128.27181055994	125.933802376678	122.964008748366
117.196886113242	117.881902241229	116.286585213281	103.979924643529	109.652231856081	104.044031135475
118.727248927718	115.949322508628	135.075268040199	128.289625463282	86.9331707920281	109.588143117646
127.163840214018	116.400415921355	122.012273479997	116.48886145523	105.802779137972	104.160268108019
117.764291636097	103.840656735869	115.448127967829	105.835982549573	107.523385895444	108.210042756462
114.213174450667		111.496436737042		112.035036489165	111.837839668217
152.334558692683		111.79089985527		120.365342152862	120.670006943608
120.500463583318		116.52633537659		91.8215307271435	107.345519670007
111.346629490058		119.434850528121		106.607784850237	119.610147056455
120.913928630744		99.0050472982304		105.408597808893	116.563974073692
		119.382515841034			123.897727860127
		107.904914768166			124.471515307124
		116.624496045299			115.163787497012
		121.115633777237			115.413016547017
		113.730042668115			125.027470909144
		109.866473374246			112.139950080312
		133.59894986556			120.757655825376
		117.612925553962			128.416116308157
		122.986864385831			117.42575588132
		131.298776333043			125.095020091781
		126.887095997127			125.92697039281
		124.654572093465			112.08199127716
		128.634874334697			111.774699767186
		137.66557469067			114.830416029477
		110.235192663649			141.544683138365
