data1	data2
0.233597045770753	0.179052812953848
0.25170053720718	0.376771883808
0.400189400312439	0.394946992646634
0.343813314772477	0.361149442123556
0.0453229843836235	0.278753595503151
0.162705989587316	0.0905374117437002
0.24575004550344	0.469711796212192
0.310075119189997	0.290404593863033
0.345972452903496	0.164352867131711
0.100840672304788	0.222716459987166
0.221580052996541	0.305053395104071
0.205837004263709	0.307496031792393
0.260305562699804	0.392011225061189
0.445716373934136	0.240549250662919
0.494845416024189	0.315970331450983
0.318651428208051	0.32002853928041
0.461329447016037	0.24551266546088
0.193088274175681	0.159389649764181
0.227807522481115	0.3443922811815
0.129757421519921	0.3443922811815
0.279197353946465	0.0211892793472951
0.285557297204845	0.408239955604611
0.313633266834775	0.439332693830263
0.168416193553687	0.0606978313497965
0.317229588431599	0.260071400501367
0.464357135499799	0.187520710078658
0.261878317135625	0.350248020183161
0.600778922745332	0.232996120080469
0.305193868087239	0.252853021724575
0.201457855393469	0.276461800886137
0.442482307937848	0.193124582424635
0.37064526822894	0.357934841550776
0.312063563972959	0.424881650644523
0.313314354484583	0.290034621982402
0.151336581357057	0.392696958290137
0.169428513459468	0.315970331450983
0.188100471198593	0.227886719318129
0.170800060200375	0.127104809182824
0.171703029096404	0.25767856113961
0.302055628231303	0.071881988001335
0.208487950988611	0.155336021535235
0.386757716669926	-0.0555173302031012
0.234693702847886	0.164352867131711
0.12605113219915	0.170261720991923
0.0537062149635524	0.193124582424635
0.405949611484278	0.206825879890628
0.0171728860531952	0.227886719318129
0.321650940477101	0.212187603133481
0.183557288175709	0.23552845413154
0.382243120103005	0.187520710078658
