x	y
51	76
44	64
35	72
14	70
49	64
43	59
12	67
55	69
53	78
18	75
55	67
12	73
60	73
46	73
63	67
31	61
53	79
33	82
38	77
46	62
59	63
22	71
53	62
27	71
51	84
33	84
22	74
43	74
55	70
33	84
14	72
37	72
30	75
31	70
40	69
40	62
41	61
56	70
34	56
17	64
30	72
65	80
27	79
36	60
19	81
57	79
17	84
12	86
49	64
55	66
33	61
29	63
47	78
42	52
32	57
40	81
56	55
54	59
24	84
38	71
40	57
50	85
55	63
38	86
26	54
5	75
26	74
45	70
42	62
55	68
18	60
5	81
29	59
30	67
24	72
50	80
53	73
37	81
43	64
39	67
21	64
35	72
26	73
36	63
49	74
50	72
34	54
16	81
27	60
63	69
62	70
49	51
33	68
49	86
45	68
33	72
34	70
46	74
29	70
53	80
43	77
52	63
47	78
46	63
56	65
47	71
18	65
50	84
48	68
42	62
33	63
37	67
50	66
12	78
43	74
48	56
49	59
34	52
36	74
5	71
31	66
47	59
37	45
45	79
18	61
35	59
54	63
14	59
5	66
31	69
57	62
48	54
49	64
45	75
14	85
58	65
52	66
47	76
61	67
40	64
28	71
57	60
34	71
34	82
42	62
59	71
56	78
24	75
12	74
14	67
53	74
33	82
33	77
32	64
18	68
35	64
33	63
49	77
61	70
48	66
48	62
63	54
50	68
40	79
12	52
59	73
48	63
59	70
42	57
5	79
31	84
45	79
63	51
19	70
21	73
41	59
46	77
31	56
43	57
50	68
53	67
42	72
22	66
41	80
27	60
50	65
55	59
24	57
35	62
51	76
48	75
59	78
56	52
32	69
55	58
33	51
45	73
28	76
48	81
47	76
38	62
27	72
56	68
57	82
62	69
29	74
33	66
35	72
44	81
56	72
60	74
17	60
42	65
38	65
41	63
28	70
21	62
57	51
43	64
48	68
19	72
43	67
40	65
33	65
29	77
27	67
14	54
43	74
33	67
49	58
52	65
51	79
26	77
47	76
37	83
54	65
26	85
53	78
16	74
49	73
55	68
32	60
14	57
37	61
26	67
42	84
40	79
43	65
22	65
12	67
48	70
57	59
36	64
17	69
59	58
50	69
29	68
46	63
48	57
31	66
32	78
47	67
39	73
34	58
65	65
29	54
36	85
43	67
45	60
38	85
62	75
51	81
51	68
47	76
45	60
33	63
33	63
43	65
39	74
18	56
24	78
47	70
49	68
30	73
33	72
59	51
44	56
5	76
33	62
44	71
47	73
35	67
37	70
34	65
32	81
44	78
29	65
61	76
61	76
63	73
52	83
34	63
63	71
33	60
43	65
51	65
61	77
12	70
50	77
47	62
14	63
46	51
42	71
12	70
19	60
42	64
24	85
30	79
30	79
40	59
34	59
33	65
52	74
26	78
55	69
53	59
29	76
27	64
43	63
36	66
17	73
55	51
50	80
5	63
50	72
31	60
44	69
43	70
17	79
55	78
38	60
33	76
45	60
44	76
34	56
24	62
35	75
16	54
42	57
62	70
37	66
42	71
14	58
41	73
52	69
50	59
21	72
24	77
12	73
17	81
36	84
53	61
30	74
19	71
40	84
39	64
51	76
32	74
42	81
50	72
31	59
26	69
52	77
50	74
63	59
47	60
38	67
60	68
33	57
59	78
38	67
53	57
34	79
41	52
27	79
16	72
32	56
26	81
28	63
62	71
55	72
27	64
47	81
51	69
18	86
63	69
33	81
19	54
60	63
59	60
59	68
41	72
50	71
45	73
22	67
41	59
50	67
34	84
59	75
59	82
27	81
39	63
42	81
33	65
59	83
24	52
26	70
47	72
16	73
44	57
45	65
36	85
24	63
63	82
22	70
49	59
58	77
40	70
21	84
42	65
30	79
46	57
40	72
40	79
26	69
36	60
52	75
50	85
24	59
56	75
21	74
61	71
45	73
29	83
14	65
48	63
30	63
55	68
12	76
33	59
60	59
47	73
30	72
38	73
57	79
50	71
30	71
31	81
50	77
38	69
42	69
40	63
34	82
19	77
57	73
27	63
60	79
36	67
5	76
44	71
48	68
51	65
35	63
42	72
33	68
21	67
21	73
40	65
48	65
