x	y
72	36
73	21
76	25
69	49
75	34
55	33
79	40
68	47
65	29
78	22
81	29
67	35
76	39
81	53
67	34
77	21
67	39
81	52
66	22
69	21
75	28
74	37
75	24
72	26
71	37
62	43
78	46
58	39
72	41
59	43
68	30
77	35
62	35
67	30
66	32
80	38
74	44
63	28
66	40
67	46
73	46
72	43
73	48
60	42
73	33
74	43
77	35
76	43
62	39
71	21
69	29
72	43
72	33
60	31
71	34
67	41
83	50
63	43
65	35
76	24
73	56
74	48
71	33
77	45
66	47
61	44
74	49
56	21
61	34
73	53
73	36
63	29
58	26
58	32
75	38
59	41
76	29
71	35
60	54
70	54
72	41
62	39
80	46
80	37
61	54
63	41
60	41
68	34
64	32
60	37
78	35
64	52
67	29
67	22
78	43
71	49
79	15
74	26
68	46
67	42
74	53
77	43
70	35
62	46
64	39
83	41
73	36
62	46
71	49
68	51
68	39
77	48
71	47
68	46
78	43
55	48
76	28
81	46
64	44
76	48
55	56
75	40
69	46
70	33
79	55
71	48
65	47
62	44
72	55
69	49
70	38
62	37
55	52
73	27
75	34
62	44
65	32
63	33
65	37
76	49
65	39
73	47
78	43
74	49
81	56
76	51
72	54
73	40
61	49
78	45
79	47
64	43
66	29
69	51
60	41
74	40
65	34
73	46
61	34
77	29
61	36
65	37
75	50
74	39
71	42
74	43
76	45
60	35
73	37
67	15
79	32
73	40
69	55
77	55
50	43
66	40
81	48
81	50
71	46
68	26
69	29
75	33
55	41
64	42
75	49
72	50
65	29
72	35
74	50
77	42
73	56
83	40
72	44
80	42
64	39
58	53
81	30
72	43
77	40
73	47
66	49
81	41
72	37
62	53
76	41
71	27
59	30
79	15
83	43
64	48
66	44
70	42
69	47
75	37
63	42
70	48
56	32
74	46
81	31
75	34
62	37
73	40
71	33
75	43
73	37
76	38
73	51
66	48
55	44
67	40
73	44
72	34
79	48
58	54
75	35
57	38
73	33
60	42
79	36
77	37
65	48
58	54
71	39
63	40
77	54
73	50
80	48
61	40
77	25
67	40
79	37
62	37
69	22
61	26
55	37
69	50
72	40
65	47
72	43
78	46
73	38
69	50
63	38
81	28
71	42
83	37
69	53
68	56
65	21
76	29
57	48
72	53
67	41
71	42
73	48
70	44
82	36
75	43
73	46
74	46
66	50
68	38
65	35
75	36
69	24
78	53
59	54
77	52
70	34
68	44
68	35
68	44
64	48
63	49
69	42
63	50
81	32
83	47
77	37
73	52
57	41
57	21
67	40
70	38
70	49
72	44
79	37
68	56
58	37
50	45
79	52
69	41
65	39
73	52
74	44
78	42
68	22
65	55
63	21
73	21
56	32
66	35
74	27
73	22
70	21
73	44
76	40
77	42
71	36
80	44
58	51
75	32
68	49
74	54
67	35
61	45
68	24
64	50
63	38
70	39
78	44
58	37
55	33
71	33
75	24
70	52
71	48
70	32
69	38
60	54
77	40
65	49
69	56
62	33
63	30
66	51
66	37
73	33
68	22
59	44
70	38
77	45
74	41
77	39
79	49
63	51
82	46
66	43
70	43
73	31
75	32
76	52
69	45
64	25
73	35
79	47
66	41
79	37
71	39
65	43
77	27
69	42
62	34
68	44
67	52
56	53
65	24
61	48
69	47
68	31
82	38
79	28
76	45
67	54
76	38
74	27
77	29
66	33
76	38
59	54
78	22
83	37
62	25
63	54
65	46
63	40
61	39
68	27
76	44
63	33
78	54
67	34
65	39
77	38
71	35
67	33
74	43
74	41
76	52
69	34
64	49
76	41
73	44
61	40
71	45
68	38
66	35
78	39
79	52
71	46
71	41
72	53
61	49
71	36
63	30
72	34
77	21
58	39
75	25
69	40
60	39
68	37
69	38
68	45
58	41
68	50
81	56
73	36
71	21
83	54
65	38
75	40
65	33
71	54
70	33
63	38
71	38
64	43
75	50
79	24
66	40
75	31
55	21
67	53
71	37
74	48
71	42
80	40
66	40
76	45
70	43
62	36
81	38
73	37
69	40
63	42
81	55
67	48
71	36
73	40
68	47
78	25
64	36
77	27
63	34
72	42
68	25
63	47
68	52
66	46
65	52
65	52
83	35
82	33
64	38
58	49
58	15
63	49
63	53
69	41
80	37
65	46
77	46
78	40
72	48
80	38
80	39
59	38
74	45
75	29
71	27
73	39
72	50
64	46
68	37
75	52
81	48
64	48
72	53
74	39
78	25
81	49
82	25
50	44
77	49
76	38
79	31
63	37
66	56
74	36
77	41
58	44
62	32
67	33
71	50
65	49
68	40
65	30
72	30
63	38
60	49
73	21
65	28
50	38
64	30
77	25
63	50
62	35
78	50
68	30
76	52
79	21
63	49
66	32
62	44
78	42
68	47
75	33
70	36
69	27
73	47
71	25
68	40
73	33
73	49
74	34
69	51
83	39
71	33
69	21
68	33
81	29
79	35
68	42
79	29
78	43
75	40
76	37
79	40
61	50
71	50
71	25
70	29
68	45
70	50
70	28
62	41
75	39
62	40
75	25
77	27
58	35
69	33
60	45
64	45
56	47
65	28
77	26
75	30
83	42
69	43
70	38
70	43
61	29
56	53
81	45
75	34
77	30
73	48
57	34
63	40
78	46
55	44
68	50
61	43
65	41
67	43
55	44
69	26
59	31
61	34
67	40
81	49
71	28
79	48
70	54
55	22
55	36
71	33
50	42
83	32
77	40
70	29
82	48
57	35
55	29
60	46
67	51
74	33
57	44
69	37
80	55
67	38
71	47
70	22
71	32
75	39
70	33
71	51
69	37
63	32
70	46
70	38
67	54
61	40
71	35
63	35
76	42
69	34
74	39
61	54
72	33
68	21
79	39
75	33
68	37
64	56
68	25
70	37
68	37
79	46
76	30
71	37
71	40
72	39
77	26
61	34
69	27
78	48
80	43
75	52
65	31
73	35
72	41
68	50
71	35
75	29
74	42
69	41
74	50
73	33
63	53
71	49
73	43
67	48
60	47
81	48
64	51
70	55
75	52
67	40
68	25
72	21
78	54
68	53
66	21
62	21
76	46
55	54
74	49
75	40
69	42
65	38
59	29
63	44
80	45
69	51
73	27
63	29
65	40
77	15
68	49
75	39
65	39
61	26
81	56
76	46
68	48
74	43
76	39
65	41
68	35
76	39
69	40
61	38
63	51
77	36
69	55
71	49
79	33
71	49
78	46
69	44
56	40
61	35
58	54
58	54
79	30
80	37
83	43
73	33
72	36
69	35
70	47
65	43
62	42
61	40
56	37
61	29
64	35
65	39
81	37
61	45
71	49
68	35
82	35
83	52
66	53
77	27
76	29
68	32
63	46
77	33
71	51
65	47
83	35
71	34
75	47
75	39
83	42
83	39
70	45
66	47
62	40
73	38
71	43
70	44
67	35
76	33
74	54
64	46
75	34
67	35
60	40
61	26
66	28
65	24
63	43
83	42
64	36
81	22
62	34
74	27
70	27
58	54
58	34
56	50
78	32
77	35
71	42
82	34
72	44
80	25
68	46
70	42
70	34
64	37
60	25
66	43
62	41
75	45
75	25
56	50
73	54
69	40
74	33
80	37
74	34
60	44
64	43
70	49
71	40
58	47
70	15
71	34
50	30
55	22
62	44
68	48
69	26
70	32
71	47
71	47
71	45
80	46
68	22
66	53
57	34
69	35
72	51
66	49
56	33
76	34
75	48
78	54
59	48
65	29
71	51
70	36
65	37
77	40
65	40
68	34
74	45
79	30
72	27
81	30
65	33
68	46
63	43
63	31
72	39
70	53
67	25
68	47
62	46
74	26
79	40
68	37
68	37
69	38
60	33
76	41
72	34
57	53
50	38
66	33
69	33
73	37
79	24
77	52
78	44
62	43
62	46
56	38
70	27
68	47
68	49
64	47
73	34
76	52
76	42
70	37
78	46
81	44
58	21
65	45
69	45
65	41
81	21
79	21
76	40
66	43
67	21
74	27
70	48
81	27
77	43
72	51
63	30
76	30
58	44
68	48
68	27
74	35
61	42
81	21
72	35
77	38
72	21
73	48
73	40
73	35
71	22
76	38
75	48
58	43
66	42
60	40
50	34
75	36
58	35
69	37
71	42
59	31
81	48
69	50
66	35
71	31
76	45
68	43
74	52
74	29
74	41
60	39
71	41
71	46
66	53
72	30
66	43
63	56
79	40
67	36
65	43
74	49
77	29
75	42
61	31
69	41
73	39
69	36
77	37
65	49
69	46
75	45
57	41
65	42
72	22
70	35
70	48
69	30
65	47
79	52
78	49
62	56
74	35
73	33
64	40
72	36
77	50
75	41
73	22
78	41
71	39
71	45
72	43
70	46
60	35
63	26
77	38
65	48
61	43
81	25
75	38
68	41
61	43
77	43
63	40
71	22
71	49
74	34
68	53
50	36
78	33
76	42
76	54
78	46
50	54
60	24
80	46
68	30
68	51
65	40
83	55
73	54
72	32
82	35
74	51
69	41
60	52
65	26
78	48
79	39
79	31
66	35
71	29
72	35
71	22
65	51
77	49
73	33
70	38
67	27
55	50
63	54
74	54
79	33
78	36
62	40
65	46
72	41
73	41
77	48
77	29
75	52
77	32
70	44
78	43
68	35
73	54
75	39
50	35
74	51
66	27
80	39
69	38
64	35
66	21
76	43
81	38
76	35
69	39
58	29
79	41
60	50
65	46
72	38
78	46
61	15
69	51
63	52
74	33
61	38
65	36
71	44
80	43
64	52
75	40
63	45
68	48
73	44
79	38
67	35
72	42
57	41
63	36
69	44
69	30
69	51
67	36
71	48
70	21
71	41
68	34
76	21
66	39
66	36
69	38
83	48
69	52
74	53
83	47
64	37
73	36
76	48
78	46
79	39
71	49
66	15
68	41
80	39
65	35
82	48
73	38
62	37
60	45
55	49
66	32
66	44
65	38
70	53
55	36
74	40
66	41
74	37
60	48
66	29
55	47
72	48
76	45
66	29
82	33
70	38
60	34
78	35
72	26
83	27
62	50
50	54
73	50
69	39
79	51
69	27
72	25
74	45
69	50
70	42
70	37
77	47
63	30
75	43
73	21
60	39
68	24
75	48
71	53
61	40
65	39
73	31
79	33
65	49
61	40
55	48
73	31
78	39
72	46
63	35
68	37
73	39
68	44
77	41
72	27
73	21
73	36
81	41
79	40
70	55
75	42
62	34
62	36
76	44
73	36
70	33
72	24
64	46
71	31
71	54
74	36
82	53
77	48
64	29
63	28
75	50
72	43
81	42
67	43
66	37
75	38
71	56
62	38
77	32
63	27
59	33
55	42
78	30
65	44
72	36
62	41
63	41
76	34
63	37
71	24
71	48
71	36
72	42
66	46
72	35
83	32
76	39
58	36
73	37
66	42
82	29
56	44
69	49
76	49
69	29
65	36
72	34
69	44
73	34
68	55
70	36
67	41
81	40
76	27
68	35
66	26
73	41
70	40
71	45
66	21
63	29
72	31
71	30
73	49
81	50
70	22
72	30
65	53
71	46
76	43
68	37
76	29
70	51
75	25
61	45
72	45
80	29
79	55
78	21
72	31
64	33
65	53
72	28
73	54
76	31
74	21
80	44
58	34
78	51
62	33
81	50
83	43
65	41
66	22
77	48
67	53
73	37
72	51
79	15
75	42
77	41
73	42
81	49
57	41
68	33
74	40
65	44
60	43
83	31
68	50
77	40
55	55
67	24
81	26
66	29
70	37
68	25
62	37
73	36
60	41
78	34
75	43
75	33
55	55
64	39
60	33
75	35
65	51
62	37
73	41
77	43
72	50
72	38
78	53
74	46
70	15
62	37
57	28
68	34
67	44
57	39
75	29
74	24
74	31
65	38
70	54
71	46
71	42
74	37
83	33
74	53
74	51
81	43
60	36
77	43
76	37
75	40
81	40
71	41
73	34
65	41
77	44
60	34
63	43
82	52
64	30
76	25
81	43
79	35
80	53
