time	treat	dose	subject
7.8238622698471	1	1	1
10.5825831426825	1	2	1
17.23604236695	1	3	1
13.0109482415961	1	1	2
15.4079891591176	1	2	2
12.2930433312912	1	3	2
10.4368168348312	1	1	3
10.7724709070246	1	2	3
28.1279824845641	1	3	3
8.35103347935873	1	1	4
16.1234775536693	1	2	4
32.938169425651	1	3	4
14.5769384232248	1	1	5
16.1760302067422	1	2	5
30.0608415512965	1	3	5
13.9761655740862	1	1	6
16.0275763680207	1	2	6
28.4306067307744	1	3	6
11.1608397513385	1	1	7
11.7074498912415	1	2	7
20.7104428039365	1	3	7
9.77738107598173	1	1	8
16.3067033810579	1	2	8
20.1650138999703	1	3	8
12.3426418372126	1	1	9
9.72409667356155	1	2	9
21.4547724408465	1	3	9
4.25322010297917	1	1	10
11.1032464362535	1	2	10
18.5090562691924	1	3	10
8.30130995845341	2	1	1
14.7077773449538	2	2	1
11.9522604128946	2	3	1
10.4386011154748	2	1	2
13.1498490148085	2	2	2
23.038046513779	2	3	2
6.06628283306353	2	1	3
13.5458267196461	2	2	3
22.3406677852253	2	3	3
9.48217311559796	2	1	4
14.1052204762059	2	2	4
7.24737190771947	2	3	4
17.8672760550006	2	1	5
11.5318563840489	2	2	5
19.5187618540477	2	3	5
3.0804926456085	2	1	6
8.90393252898745	2	2	6
15.226277267653	2	3	6
3.0290164162694	2	1	7
13.3979869600276	2	2	7
13.2833910056864	2	3	7
9.84736788336282	2	1	8
12.6110921766168	2	2	8
16.9013942067206	2	3	8
15.0398515695711	2	1	9
15.6795786178359	2	2	9
20.9075824006221	2	3	9
14.3649617994482	2	1	10
14.6159133993294	2	2	10
20.3907495623892	2	3	10
18.6684351791513	3	1	1
21.9255288305959	3	2	1
37.9698411655205	3	3	1
18.4611749092187	3	1	2
32.9753300656005	3	2	2
61.8629218994955	3	3	2
32.5284699187037	3	1	3
34.6728247514181	3	2	3
51.4809859429739	3	3	3
15.7960519672994	3	1	4
24.5699033193935	3	2	4
59.486665008963	3	3	4
21.9138698815112	3	1	5
31.6793004457638	3	2	5
35.8559129033119	3	3	5
13.9819134304726	3	1	6
35.5436864399099	3	2	6
46.149060911919	3	3	6
13.3917746667169	3	1	7
25.0355989531755	3	2	7
51.5256214122622	3	3	7
15.2062060879082	3	1	8
14.0912116206374	3	2	8
38.2625542278171	3	3	8
20.4700016207147	3	1	9
22.1532716068245	3	2	9
50.1819704379385	3	3	9
22.0675544445709	3	1	10
29.6871351287634	3	2	10
44.3064085342496	3	3	10
