Wavelength	Intensity
nm	arb. units
	550° C
555	99.12
555.25	98.4425
555.5	97.765
555.75	97.0875
556	96.41
556.25	101.935
556.5	107.46
556.75	112.985
557	118.51
557.25	113.55
557.5	108.59
557.75	103.63
558	98.67
558.25	97.88
558.5	97.09
558.75	96.3
559	95.51
559.25	100.9225
559.5	106.335
559.75	111.7475
560	117.16
560.25	113.2125
560.5	109.265
560.75	105.3175
561	101.37
561.25	101.37
561.5	101.37
561.75	101.37
562	101.37
562.25	104.0775
562.5	106.785
562.75	109.4925
563	112.2
563.25	108.5925
563.5	104.985
563.75	101.3775
564	97.77
564.25	96.8675
564.5	95.965
564.75	95.0625
565	94.16
565.25	99.4575
565.5	104.755
565.75	110.0525
566	115.35
566.25	109.8275
566.5	104.305
566.75	98.7825
567	93.26
567.25	94.16
567.5	95.06
567.75	95.96
568	96.86
568.25	98.1
568.5	99.34
568.75	100.58
569	101.82
569.25	101.595
569.5	101.37
569.75	101.145
570	100.92
570.25	100.0175
570.5	99.115
570.75	98.2125
571	97.31
571.25	101.0325
571.5	104.755
571.75	108.4775
572	112.2
572.25	109.0425
572.5	105.885
572.75	102.7275
573	99.57
573.25	99.6825
573.5	99.795
573.75	99.9075
574	100.02
574.25	100.1325
574.5	100.245
574.75	100.3575
575	100.47
575.25	101.8225
575.5	103.175
575.75	104.5275
576	105.88
576.25	108.5875
576.5	111.295
576.75	114.0025
577	116.71
577.25	116.2575
577.5	115.805
577.75	115.3525
578	114.9
578.25	117.155
578.5	119.41
578.75	121.665
579	123.92
579.25	121.89
579.5	119.86
579.75	117.83
580	115.8
580.25	117.38
580.5	118.96
580.75	120.54
581	122.12
581.25	123.9225
581.5	125.725
581.75	127.5275
582	129.33
582.25	127.865
582.5	126.4
582.75	124.935
583	123.47
583.25	125.5
583.5	127.53
583.75	129.56
584	131.59
584.25	135.4225
584.5	139.255
584.75	143.0875
585	146.92
585.25	145.905
585.5	144.89
585.75	143.875
586	142.86
586.25	146.2425
586.5	149.625
586.75	153.0075
587	156.39
587.25	158.3075
587.5	160.225
587.75	162.1425
588	164.06
588.25	162.9325
588.5	161.805
588.75	160.6775
589	159.55
589.25	158.535
589.5	157.52
589.75	156.505
590	155.49
590.25	161.69
590.5	167.89
590.75	174.09
591	180.29
591.25	178.035
591.5	175.78
591.75	173.525
592	171.27
592.25	170.2575
592.5	169.245
592.75	168.2325
593	167.22
593.25	172.9675
593.5	178.715
593.75	184.4625
594	190.21
594.25	188.1825
594.5	186.155
594.75	184.1275
595	182.1
595.25	181.76
595.5	181.42
595.75	181.08
596	180.74
596.25	186.605
596.5	192.47
596.75	198.335
597	204.2
597.25	202.2825
597.5	200.365
597.75	198.4475
598	196.53
598.25	195.8525
598.5	195.175
598.75	194.4975
599	193.82
599.25	196.865
599.5	199.91
599.75	202.955
600	206
600.25	205.21
600.5	204.42
600.75	203.63
601	202.84
601.25	204.02375
601.5	205.2075
601.75	206.39125
602	207.575
602.25	208.75875
602.5	209.9425
602.75	211.12625
603	212.31
603.25	214.6775
603.5	217.045
603.75	219.4125
604	221.78
604.25	221.555
604.5	221.33
604.75	221.105
605	220.88
605.25	220.88
605.5	220.88
605.75	220.88
606	220.88
606.25	223.7
606.5	226.52
606.75	229.34
607	232.16
607.25	228.89
607.5	225.62
607.75	222.35
608	219.08
608.25	221.6725
608.5	224.265
608.75	226.8575
609	229.45
609.25	230.1275
609.5	230.805
609.75	231.4825
610	232.16
610.25	230.58
610.5	229
610.75	227.42
611	225.84
611.25	227.42
611.5	229
611.75	230.58
612	232.16
612.25	235.09
612.5	238.02
612.75	240.95
613	243.88
613.25	242.9775
613.5	242.075
613.75	241.1725
614	240.27
614.25	241.85
614.5	243.43
614.75	245.01
615	246.59
615.25	247.7175
615.5	248.845
615.75	249.9725
616	251.1
616.25	249.86
616.5	248.62
616.75	247.38
617	246.14
617.25	245.6875
617.5	245.235
617.75	244.7825
618	244.33
618.25	244.7825
618.5	245.235
618.75	245.6875
619	246.14
619.25	244.335
619.5	242.53
619.75	240.725
620	238.92
620.25	240.61
620.5	242.3
620.75	243.99
621	245.68
621.25	246.8075
621.5	247.935
621.75	249.0625
622	250.19
622.25	249.515
622.5	248.84
622.75	248.165
623	247.49
623.25	245.7975
623.5	244.105
623.75	242.4125
624	240.72
624.25	243.315
624.5	245.91
624.75	248.505
625	251.1
625.25	247.1525
625.5	243.205
625.75	239.2575
626	235.31
626.25	235.875
626.5	236.44
626.75	237.005
627	237.57
627.25	239.1475
627.5	240.725
627.75	242.3025
628	243.88
628.25	243.5425
628.5	243.205
628.75	242.8675
629	242.53
629.25	238.3575
629.5	234.185
629.75	230.0125
630	225.84
630.25	227.7575
630.5	229.675
630.75	231.5925
631	233.51
631.25	233.6225
631.5	233.735
631.75	233.8475
632	233.96
632.25	234.0725
632.5	234.185
632.75	234.2975
633	234.41
633.25	230.69
633.5	226.97
633.75	223.25
634	219.53
634.25	221.56
634.5	223.59
634.75	225.62
635	227.65
635.25	223.59
635.5	219.53
635.75	215.47
636	211.41
636.25	210.17
636.5	208.93
636.75	207.69
637	206.45
637.25	205.5475
637.5	204.645
637.75	203.7425
638	202.84
638.25	202.9525
638.5	203.065
638.75	203.1775
639	203.29
639.25	205.77
639.5	208.25
639.75	210.73
640	213.21
640.25	214
640.5	214.79
640.75	215.58
641	216.37
641.25	214.4525
641.5	212.535
641.75	210.6175
642	208.7
642.25	206.3325
642.5	203.965
642.75	201.5975
643	199.23
643.25	203.1775
643.5	207.125
643.75	211.0725
644	215.02
644.25	215.245
644.5	215.47
644.75	215.695
645	215.92
645.25	216.485
645.5	217.05
645.75	217.615
646	218.18
646.25	222.575
646.5	226.97
646.75	231.365
647	235.76
647.25	233.6175
647.5	231.475
647.75	229.3325
648	227.19
648.25	233.955
648.5	240.72
648.75	247.485
649	254.25
649.25	255.04
649.5	255.83
649.75	256.62
650	257.41
650.25	258.3125
650.5	259.215
650.75	260.1175
651	261.02
651.25	268.46
651.5	275.9
651.75	283.34
652	290.78
652.25	296.9825
652.5	303.185
652.75	309.3875
653	315.59
653.25	316.49
653.5	317.39
653.75	318.29
654	319.19
654.25	327.535
654.5	335.88
654.75	344.225
655	352.57
655.25	362.3775
655.5	372.185
655.75	381.9925
656	391.8
656.25	395.07
656.5	398.34
656.75	401.61
657	404.88
657.25	410.1775
657.5	415.475
657.75	420.7725
658	426.07
658.25	432.61
658.5	439.15
658.75	445.69
659	452.23
659.25	457.6425
659.5	463.055
659.75	468.4675
660	473.88
660.25	483.2375
660.5	492.595
660.75	501.9525
661	511.31
661.25	514.1275
661.5	516.945
661.75	519.7625
662	522.58
662.25	526.30125
662.5	530.0225
662.75	533.74375
663	537.465
663.25	541.18625
663.5	544.9075
663.75	548.62875
664	552.35
664.25	554.7175
664.5	557.085
664.75	559.4525
665	561.82
665.25	566.1025
665.5	570.385
665.75	574.6675
666	578.95
666.25	580.98
666.5	583.01
666.75	585.04
667	587.07
667.25	591.2425
667.5	595.415
667.75	599.5875
668	603.76
668.25	606.3525
668.5	608.945
668.75	611.5375
669	614.13
669.25	616.9475
669.5	619.765
669.75	622.5825
670	625.4
670.25	626.415
670.5	627.43
670.75	628.445
671	629.46
671.25	629.685
671.5	629.91
671.75	630.135
672	630.36
672.25	628.445
672.5	626.53
672.75	624.615
673	622.7
673.25	624.615
673.5	626.53
673.75	628.445
674	630.36
674.25	629.2325
674.5	628.105
674.75	626.9775
675	625.85
675.25	626.5275
675.5	627.205
675.75	627.8825
676	628.56
676.25	626.6425
676.5	624.725
676.75	622.8075
677	620.89
677.25	621.0025
677.5	621.115
677.75	621.2275
678	621.34
678.25	614.35
678.5	607.36
678.75	600.37
679	593.38
679.25	595.8625
679.5	598.345
679.75	600.8275
680	603.31
680.25	598.46
680.5	593.61
680.75	588.76
681	583.91
681.25	578.3875
681.5	572.865
681.75	567.3425
682	561.82
682.25	557.1975
682.5	552.575
682.75	547.9525
683	543.33
683.25	537.3525
683.5	531.375
683.75	525.3975
684	519.42
684.25	513.8975
684.5	508.375
684.75	502.8525
685	497.33
685.25	496.315
685.5	495.3
685.75	494.285
686	493.27
686.25	487.0675
686.5	480.865
686.75	474.6625
687	468.46
687.25	463.5
687.5	458.54
687.75	453.58
688	448.62
688.25	447.605
688.5	446.59
688.75	445.575
689	444.56
689.25	441.2925
689.5	438.025
689.75	434.7575
690	431.49
690.25	427.5425
690.5	423.595
690.75	419.6475
691	415.7
691.25	416.0375
691.5	416.375
691.75	416.7125
692	417.05
692.25	411.9775
692.5	406.905
692.75	401.8325
693	396.76
693.25	393.49
