Wavelength	Intensity
nm	arb. units
	900° C
550	127.514
550.25	125.384
550.5	123.254
550.75	121.124
551	118.994
551.25	119.2715
551.5	119.549
551.75	119.8265
552	120.104
552.25	122.279
552.5	124.454
552.75	126.629
553	128.804
553.25	126.629
553.5	124.454
553.75	122.279
554	120.104
554.25	120.104
554.5	120.104
554.75	120.104
555	120.104
555.25	121.5865
555.5	123.069
555.75	124.5515
556	126.034
556.25	125.0165
556.5	123.999
556.75	122.9815
557	121.964
557.25	121.4065
557.5	120.849
557.75	120.2915
558	119.734
558.25	122.049
558.5	124.364
558.75	126.679
559	128.994
559.25	128.809
559.5	128.624
559.75	128.439
560	128.254
560.25	127.2365
560.5	126.219
560.75	125.2015
561	124.184
561.25	125.2015
561.5	126.219
561.75	127.2365
562	128.254
562.25	128.3465
562.5	128.439
562.75	128.5315
563	128.624
563.25	127.929
563.5	127.234
563.75	126.539
564	125.844
564.25	127.5115
564.5	129.179
564.75	130.8465
565	132.514
565.25	131.494
565.5	130.474
565.75	129.454
566	128.434
566.25	127.324
566.5	126.214
566.75	125.104
567	123.994
567.25	125.5215
567.5	127.049
567.75	128.5765
568	130.104
568.25	128.7615
568.5	127.419
568.75	126.0765
569	124.734
569.25	124.689
569.5	124.644
569.75	124.599
570	124.554
570.25	125.479
570.5	126.404
570.75	127.329
571	128.254
571.25	128.3915
571.5	128.529
571.75	128.6665
572	128.804
572.25	128.2965
572.5	127.789
572.75	127.2815
573	126.774
573.25	127.44525
573.5	128.1165
573.75	128.78775
574	129.459
574.25	130.13025
574.5	130.8015
574.75	131.47275
575	132.144
575.25	130.9865
575.5	129.829
575.75	128.6715
576	127.514
576.25	127.514
576.5	127.514
576.75	127.514
577	127.514
577.25	128.7165
577.5	129.919
577.75	131.1215
578	132.324
578.25	131.8165
578.5	131.309
578.75	130.8015
579	130.294
579.25	130.2465
579.5	130.199
579.75	130.1515
580	130.104
580.25	132.789
580.5	135.474
580.75	138.159
581	140.844
581.25	140.9365
581.5	141.029
581.75	141.1215
582	141.214
582.25	140.9815
582.5	140.749
582.75	140.5165
583	140.284
583.25	141.9965
583.5	143.709
583.75	145.4215
584	147.134
584.25	147.504
584.5	147.874
584.75	148.244
585	148.614
585.25	149.0765
585.5	149.539
585.75	150.0015
586	150.464
586.25	152.779
586.5	155.094
586.75	157.409
587	159.724
587.25	159.354
587.5	158.984
587.75	158.614
588	158.244
588.25	158.6615
588.5	159.079
588.75	159.4965
589	159.914
589.25	161.1615
589.5	162.409
589.75	163.6565
590	164.904
590.25	165.3215
590.5	165.739
590.75	166.1565
591	166.574
591.25	166.4815
591.5	166.389
591.75	166.2965
592	166.204
592.25	168.9815
592.5	171.759
592.75	174.5365
593	177.314
593.25	176.759
593.5	176.204
593.75	175.649
594	175.094
594.25	175.464
594.5	175.834
594.75	176.204
595	176.574
595.25	177.7315
595.5	178.889
595.75	180.0465
596	181.204
596.25	182.359
596.5	183.514
596.75	184.669
597	185.824
597.25	185.7315
597.5	185.639
597.75	185.5465
598	185.454
598.25	187.444
598.5	189.434
598.75	191.424
599	193.414
599.25	193.1365
599.5	192.859
599.75	192.5815
600	192.304
600.25	192.7215
600.5	193.139
600.75	193.5565
601	193.974
601.25	194.73775
601.5	195.5015
601.75	196.26525
602	197.029
602.25	197.79275
602.5	198.5565
602.75	199.32025
603	200.084
603.25	200.824
603.5	201.564
603.75	202.304
604	203.044
604.25	202.999
604.5	202.954
604.75	202.909
605	202.864
605.25	204.8065
605.5	206.749
605.75	208.6915
606	210.634
606.25	209.2915
606.5	207.949
606.75	206.6065
607	205.264
607.25	207.254
607.5	209.244
607.75	211.234
608	213.224
608.25	214.844
608.5	216.464
608.75	218.084
609	219.704
609.25	219.9365
609.5	220.169
609.75	220.4015
610	220.634
610.25	222.069
610.5	223.504
610.75	224.939
611	226.374
611.25	227.7165
611.5	229.059
611.75	230.4015
612	231.744
612.25	230.4465
612.5	229.149
612.75	227.8515
613	226.554
613.25	226.4615
613.5	226.369
613.75	226.2765
614	226.184
614.25	229.194
614.5	232.204
614.75	235.214
615	238.224
615.25	236.789
615.5	235.354
615.75	233.919
616	232.484
616.25	232.854
616.5	233.224
616.75	233.594
617	233.964
617.25	235.5365
617.5	237.109
617.75	238.6815
618	240.254
618.25	237.9865
618.5	235.719
618.75	233.4515
619	231.184
619.25	231.879
619.5	232.574
619.75	233.269
620	233.964
620.25	236.0465
620.5	238.129
620.75	240.2115
621	242.294
621.25	241.6465
621.5	240.999
621.75	240.3515
622	239.704
622.25	239.239
622.5	238.774
622.75	238.309
623	237.844
623.25	238.679
623.5	239.514
623.75	240.349
624	241.184
624.25	239.5165
624.5	237.849
624.75	236.1815
625	234.514
625.25	234.514
625.5	234.514
625.75	234.514
626	234.514
626.25	234.699
626.5	234.884
626.75	235.069
627	235.254
627.25	234.884
627.5	234.514
627.75	234.144
628	233.774
628.25	232.709
628.5	231.644
628.75	230.579
629	229.514
629.25	230.0715
629.5	230.629
629.75	231.1865
630	231.744
630.25	230.124
630.5	228.504
630.75	226.884
631	225.264
631.25	224.824
631.5	224.384
631.75	223.944
632	223.504
632.25	223.064
632.5	222.624
632.75	222.184
633	221.744
633.25	221.559
633.5	221.374
633.75	221.189
634	221.004
634.25	220.3565
634.5	219.709
634.75	219.0615
635	218.414
635.25	217.394
635.5	216.374
635.75	215.354
636	214.334
636.25	214.334
636.5	214.334
636.75	214.334
637	214.334
637.25	211.6965
637.5	209.059
637.75	206.4215
638	203.784
638.25	203.414
638.5	203.044
638.75	202.674
639	202.304
639.25	203.2765
639.5	204.249
639.75	205.2215
640	206.194
640.25	202.584
640.5	198.974
640.75	195.364
641	191.754
641.25	192.5865
641.5	193.419
641.75	194.2515
642	195.084
642.25	195.269
642.5	195.454
642.75	195.639
643	195.824
643.25	194.2965
643.5	192.769
643.75	191.2415
644	189.714
644.25	189.6215
644.5	189.529
644.75	189.4365
645	189.344
645.25	189.8065
645.5	190.269
645.75	190.7315
646	191.194
646.25	189.529
646.5	187.864
646.75	186.199
647	184.534
647.25	185.9215
647.5	187.309
647.75	188.6965
648	190.084
648.25	190.454
648.5	190.824
648.75	191.194
649	191.564
649.25	191.7965
649.5	192.029
649.75	192.2615
650	192.494
650.25	193.0965
650.5	193.699
650.75	194.3015
651	194.904
651.25	196.3365
651.5	197.769
651.75	199.2015
652	200.634
652.25	201.144
652.5	201.654
652.75	202.164
653	202.674
653.25	203.739
653.5	204.804
653.75	205.869
654	206.934
654.25	208.184
654.5	209.434
654.75	210.684
655	211.934
655.25	213.414
655.5	214.894
655.75	216.374
656	217.854
656.25	218.8715
656.5	219.889
656.75	220.9065
657	221.924
657.25	223.6365
657.5	225.349
657.75	227.0615
658	228.774
658.25	229.3765
658.5	229.979
658.75	230.5815
659	231.184
659.25	233.684
659.5	236.184
659.75	238.684
660	241.184
660.25	241.924
660.5	242.664
660.75	243.404
661	244.144
661.25	245.994
661.5	247.844
661.75	249.694
662	251.544
662.25	252.3315
662.5	253.119
662.75	253.9065
663	254.694
663.25	255.4815
663.5	256.269
663.75	257.0565
664	257.844
664.25	258.8165
664.5	259.789
664.75	260.7615
665	261.734
665.25	262.474
665.5	263.214
665.75	263.954
666	264.694
666.25	265.2015
666.5	265.709
666.75	266.2165
667	266.724
667.25	268.7165
667.5	270.709
667.75	272.7015
668	274.694
668.25	275.5265
668.5	276.359
668.75	277.1915
669	278.024
669.25	279.5965
669.5	281.169
669.75	282.7415
670	284.314
670.25	284.9615
670.5	285.609
670.75	286.2565
671	286.904
671.25	287.969
671.5	289.034
671.75	290.099
672	291.164
672.25	290.3765
672.5	289.589
672.75	288.8015
673	288.014
673.25	289.9115
673.5	291.809
673.75	293.7065
674	295.604
674.25	294.9115
674.5	294.219
674.75	293.5265
675	292.834
675.25	293.9915
675.5	295.149
675.75	296.3065
676	297.464
676.25	296.1665
676.5	294.869
676.75	293.5715
677	292.274
677.25	292.9215
677.5	293.569
677.75	294.2165
678	294.864
678.25	295.8365
678.5	296.809
678.75	297.7815
679	298.754
679.25	298.709
679.5	298.664
679.75	298.619
680	298.574
680.25	296.769
680.5	294.964
680.75	293.159
681	291.354
681.25	292.649
681.5	293.944
681.75	295.239
682	296.534
682.25	295.7015
682.5	294.869
682.75	294.0365
683	293.204
683.25	293.2965
683.5	293.389
683.75	293.4815
684	293.574
684.25	293.4815
684.5	293.389
684.75	293.2965
685	293.204
685.25	293.389
685.5	293.574
685.75	293.759
686	293.944
686.25	293.574
686.5	293.204
686.75	292.834
687	292.464
687.25	292.4165
687.5	292.369
687.75	292.3215
688	292.274
688.25	292.5065
688.5	292.739
688.75	292.9715
689	293.204
689.25	293.1115
689.5	293.019
689.75	292.9265
690	292.834
690.25	292.694
690.5	292.554
690.75	292.414
691	292.274
691.25	294.1265
691.5	295.979
691.75	297.8315
692	299.684
692.25	299.729
692.5	299.774
692.75	299.819
693	299.864
693.25	301.114
693.5	302.364
693.75	303.614
694	304.864
694.25	304.7265
694.5	304.589
694.75	304.4515
695	304.314
695.25	304.869
695.5	305.424
695.75	305.979
696	306.534
696.25	307.089
696.5	307.644
696.75	308.199
697	308.754
697.25	307.7815
697.5	306.809
697.75	305.8365
698	304.864
698.25	306.3465
698.5	307.829
698.75	309.3115
699	310.794
699.25	310.2365
699.5	309.679
699.75	309.1215
700	308.564
700.25	309.399
700.5	310.234
700.75	311.069
701	311.904
701.25	311.9965
701.5	312.089
701.75	312.1815
702	312.274
702.25	312.319
702.5	312.364
702.75	312.409
703	312.454
703.25	312.824
703.5	313.194
703.75	313.564
704	313.934
704.25	313.2415
704.5	312.549
704.75	311.8565
705	311.164
705.25	309.8215
705.5	308.479
705.75	307.1365
706	305.794
706.25	306.4415
706.5	307.089
706.75	307.7365
707	308.384
707.25	307.829
707.5	307.274
707.75	306.719
708	306.164
708.25	304.404
708.5	302.644
708.75	300.884
709	299.124
709.25	299.819
709.5	300.514
709.75	301.209
710	301.904
710.25	302.089
710.5	302.274
710.75	302.459
711	302.644
711.25	300.514
711.5	298.384
711.75	296.254
712	294.124
712.25	292.689
712.5	291.254
712.75	289.819
713	288.384
713.25	287.969
713.5	287.554
713.75	287.139
714	286.724
714.25	284.734
714.5	282.744
714.75	280.754
715	278.764
715.25	277.329
715.5	275.894
715.75	274.459
716	273.024
716.25	273.069
716.5	273.114
716.75	273.159
717	273.204
717.25	270.474
717.5	267.744
717.75	265.014
718	262.284
718.25	263.164
718.5	264.044
718.75	264.924
719	265.804
719.25	263.119
