Wavelength	Intensity
nm	arb. units
	800° C
552	126.027
552.25	123.867
552.5	121.707
552.75	119.547
553	117.387
553.25	118.997
553.5	120.607
553.75	122.217
554	123.827
554.25	124.6545
554.5	125.482
554.75	126.3095
555	127.137
555.25	125.4345
555.5	123.732
555.75	122.0295
556	120.327
556.25	120.602
556.5	120.877
556.75	121.152
557	121.427
557.25	123.1295
557.5	124.832
557.75	126.5345
558	128.237
558.25	126.9945
558.5	125.752
558.75	124.5095
559	123.267
559.25	123.957
559.5	124.647
559.75	125.337
560	126.027
560.25	125.6595
560.5	125.292
560.75	124.9245
561	124.557
561.25	123.9145
561.5	123.272
561.75	122.6295
562	121.987
562.25	123.412
562.5	124.837
562.75	126.262
563	127.687
563.25	127.1345
563.5	126.582
563.75	126.0295
564	125.477
564.25	124.972
564.5	124.467
564.75	123.962
565	123.457
565.25	123.1795
565.5	122.902
565.75	122.6245
566	122.347
566.25	122.947
566.5	123.547
566.75	124.147
567	124.747
567.25	124.147
567.5	123.547
567.75	122.947
568	122.347
568.25	123.177
568.5	124.007
568.75	124.837
569	125.667
569.25	125.8495
569.5	126.032
569.75	126.2145
570	126.397
570.25	125.6145
570.5	124.832
570.75	124.0495
571	123.267
571.25	123.867
571.5	124.467
571.75	125.067
572	125.667
572.25	125.757
572.5	125.847
572.75	125.937
573	126.027
573.25	124.9695
573.5	123.912
573.75	122.8545
574	121.797
574.25	120.7395
574.5	119.682
574.75	118.6245
575	117.567
575.25	119.592
575.5	121.617
575.75	123.642
576	125.667
576.25	127.367
576.5	129.067
576.75	130.767
577	132.467
577.25	130.4445
577.5	128.422
577.75	126.3995
578	124.377
578.25	126.1695
578.5	127.962
578.75	129.7545
579	131.547
579.25	132.237
579.5	132.927
579.75	133.617
580	134.307
580.25	132.7445
580.5	131.182
580.75	129.6195
581	128.057
581.25	130.4495
581.5	132.842
581.75	135.2345
582	137.627
582.25	137.397
582.5	137.167
582.75	136.937
583	136.707
583.25	136.6595
583.5	136.612
583.75	136.5645
584	136.517
584.25	138.542
584.5	140.567
584.75	142.592
585	144.617
585.25	144.617
585.5	144.617
585.75	144.617
586	144.617
586.25	144.2945
586.5	143.972
586.75	143.6495
587	143.327
587.25	144.707
587.5	146.087
587.75	147.467
588	148.847
588.25	150.5945
588.5	152.342
588.75	154.0895
589	155.837
589.25	154.2745
589.5	152.712
589.75	151.1495
590	149.587
590.25	152.4395
590.5	155.292
590.75	158.1445
591	160.997
591.25	162.652
591.5	164.307
591.75	165.962
592	167.617
592.25	165.502
592.5	163.387
592.75	161.272
593	159.157
593.25	160.857
593.5	162.557
593.75	164.257
594	165.957
594.25	165.867
594.5	165.777
594.75	165.687
595	165.597
595.25	165.687
595.5	165.777
595.75	165.867
596	165.957
596.25	168.257
596.5	170.557
596.75	172.857
597	175.157
597.25	175.572
597.5	175.987
597.75	176.402
598	176.817
598.25	176.2195
598.5	175.622
598.75	175.0245
599	174.427
599.25	175.7595
599.5	177.092
599.75	178.4245
600	179.757
600.25	179.1595
600.5	178.562
600.75	177.9645
601	177.367
601.25	177.137
601.5	176.907
601.75	176.677
602	176.447
602.25	176.217
602.5	175.987
602.75	175.757
603	175.527
603.25	177.782
603.5	180.037
603.75	182.292
604	184.547
604.25	185.4195
604.5	186.292
604.75	187.1645
605	188.037
605.25	187.4395
605.5	186.842
605.75	186.2445
606	185.647
606.25	188.7295
606.5	191.812
606.75	194.8945
607	197.977
607.25	197.1495
607.5	196.322
607.75	195.4945
608	194.667
608.25	195.632
608.5	196.597
608.75	197.562
609	198.527
609.25	199.9545
609.5	201.382
609.75	202.8095
610	204.237
610.25	203.547
610.5	202.857
610.75	202.167
611	201.477
611.25	201.062
611.5	200.647
611.75	200.232
612	199.817
612.25	201.1045
612.5	202.392
612.75	203.6795
613	204.967
613.25	206.4395
613.5	207.912
613.75	209.3845
614	210.857
614.25	210.2595
614.5	209.662
614.75	209.0645
615	208.467
615.25	208.927
615.5	209.387
615.75	209.847
616	210.307
616.25	209.7095
616.5	209.112
616.75	208.5145
617	207.917
617.25	209.157
617.5	210.397
617.75	211.637
618	212.877
618.25	213.797
618.5	214.717
618.75	215.637
619	216.557
619.25	214.9945
619.5	213.432
619.75	211.8695
620	210.307
620.25	210.4445
620.5	210.582
620.75	210.7195
621	210.857
621.25	212.0995
621.5	213.342
621.75	214.5845
622	215.827
622.25	215.7345
622.5	215.642
622.75	215.5495
623	215.457
623.25	213.112
