Wavelength,Amplitude
nm,mV
835,0.398
836,6.155
837,6.347
838,-4.943
839,10.91
840,-2.603
841,-6.775
842,-1.777
843,8.474
844,-4.539
845,-1.033
846,2.49
847,2.64
848,-0.597
849,1.155
850,-4.581
851,-0.784
852,-0.612
853,-6.144
854,3.087
855,-3.963
856,8.222
857,-3.243
858,-4.377
859,0.987
860,-0.163
861,-3.928
862,-0.04
863,7.1
864,5.817
865,-3.06
866,-3.676
867,7.745
868,0.596
869,-4.213
870,2.482
871,1.14
872,1.159
873,-0.411
874,4.352
875,-0.003
876,0.96
877,0.441
878,-2.811
879,0.238
880,-5.788
881,-9.884
882,-3.47
883,1.198
884,-0.32
885,-1.243
886,0.187
887,3.384
888,-4.173
889,-5.839
890,7.534
891,0.197
892,3.12
893,-6.436
894,-2.03
895,4.434
896,1.693
897,-4.459
898,3.296
899,-5.13
900,-3.532
901,0.408
902,-2.994
903,3.73
904,5.386
905,-0.291
906,0.508
907,-3.761
908,-4.789
909,-2.219
910,-9.648
911,-3.512
912,-6.64
913,-12.05
914,-6.164
915,1.134
916,3.858
917,4.028
918,-1.482
919,-4.258
920,1.31
921,12.411
922,0.766
923,2.258
924,5.246
925,7.486
926,5.963
927,-0.464
928,4.163
929,3.171
930,5.081
931,3.372
932,0.599
933,7.442
934,1.819
935,11.155
936,10.87
937,10.638
938,14.765
939,14.435
940,11.904
941,21.553
942,27.272
943,14.341
944,28.323
945,31.374
946,36.016
947,34.579
948,40.02
949,29.494
950,44.262
951,48.159
952,63.982
953,55.632
954,67.451
955,72.345
956,86.665
957,91.592
958,90.601
959,113.191
960,127.894
961,125.633
962,142.249
963,158.757
964,164.571
965,169.441
966,182.493
967,195.927
968,223.154
969,240.097
970,253.9
971,259.882
972,283.867
973,303.77
974,317.877
975,338.78
976,358.579
977,383.846
978,395.083
979,419.142
980,444.4
981,459.741
982,488.76
983,515.477
984,532.227
985,561.522
986,577.602
987,607.216
988,629.947
989,648.213
990,675.52
991,701.497
992,709.818
993,737.129
994,760.04
995,780.694
996,798.662
997,814.377
998,837.981
999,845.782
1000,859.803
1001,880.675
1002,891.096
1003,898.586
1004,918.599
1005,917.08
1006,921.984
1007,933.537
1008,931.725
1009,931.986
1010,945.553
1011,938.597
1012,940.894
1013,932.031
1014,924.317
1015,911.609
1016,905.454
1017,895.074
1018,886.556
1019,870.329
1020,868.936
1021,851.35
1022,833.003
1023,814.097
1024,795.464
1025,774.569
1026,746.079
1027,732.645
1028,706.731
1029,701.725
1030,674.086
1031,646.921
1032,624.378
1033,600.05
1034,577.078
1035,557.619
1036,531.759
1037,514.622
1038,490.09
1039,456.319
1040,442.66
1041,428.357
1042,395.447
1043,377.415
1044,360.595
1045,337.014
1046,314.588
1047,302.554
1048,283.391
1049,254.813
1050,248.236
1051,234.452
1052,215.979
1053,195.096
1054,184.852
1055,163.446
1056,158.554
1057,145.796
1058,138.449
1059,118.385
1060,129.101
1061,107.892
1062,94.031
1063,89.794
1064,90.17
1065,78.872
1066,63.769
1067,62.205
1068,64.334
1069,46.398
1070,46.336
1071,39.522
1072,40.354
1073,42.948
1074,30.107
1075,24.919
1076,22.714
1077,28.108
1078,23.299
1079,15.772
1080,11.045
1081,12.151
1082,10.036
1083,11.064
1084,-0.107
1085,19.098
1086,2.536
1087,12.316
1088,9.191
1089,0.863
1090,5.106
1091,10.587
1092,-0.654
1093,4.52
1094,3.678
1095,4.692
1096,2.07
1097,-0.193
1098,-8.645
1099,7.605
1100,-6.097
1101,1.608
1102,7.406
1103,0.318
1104,-1.47
1105,2.312
1106,0.707
1107,2.744
1108,2.159
1109,2.538
1110,-1.227
1111,4.118
1112,0.16
1113,0.173
1114,-4.692
1115,-10.166
1116,5.965
1117,-6.386
1118,-1.275
1119,3.987
1120,5.333
1121,-5.641
1122,2.163
1123,-4.582
1124,-4.568
1125,-8.719
1126,4.731
1127,9.584
1128,3.611
1129,-3.053
1130,-0.69
1131,0.34
1132,4.132
1133,0.848
1134,1.143
1135,-5.972
1136,0.328
1137,2.567
1138,2.133
1139,-2.139
1140,0.08
1141,6.072
1142,9.062
1143,3.447
1144,2.197
1145,-5.919
1146,-3.822
1147,-1.294
1148,-1.339
1149,1.656
1150,-6.37
1151,-2.754
1152,-8.317
1153,5.201
1154,2.649
1155,-2.134
1156,3.532
1157,1.978
1158,-8.826
1159,1.145
1160,-2.679
1161,-1.596
1162,3.849
1163,4.261
1164,-0.255
1165,-7.105
1166,-5.728
1167,-0.526
1168,1.895
1169,-4.925
1170,3.367
1171,-1.593
1172,5.655
1173,0.558
1174,-6.271
1175,2.084
1176,12.547
1177,-1.466
1178,3.977
1179,1.986
1180,-1.25
1181,1.209
1182,5.317
1183,-5.65
1184,-0.187
1185,-0.638
1186,-3.212
1187,-9.998
1188,-0.417
1189,-5.709
1190,-2.614
1191,11.022
1192,0.949
1193,-7.718
1194,7.34
1195,2.055
1196,-9.508
1197,6.431
1198,-2.019
1199,-5.232
1200,0.237
1201,-0.08
1202,-7.042
1203,-1.657
1204,-5.732
1205,-7.209
1206,-2.151
1207,-0.406
1208,-4.721
1209,4.133
1210,-4.355
1211,4.116
1212,-2.383
1213,-9.351
1214,2.7
1215,2.369
1216,-1.382
1217,-4.888
1218,-3.235
1219,-11.04
1220,-4.074
1221,-2.128
1222,7.416
1223,0.404
1224,12.997
1225,7.269
1226,6.408
1227,-11.311
1228,3.415
1229,4.261
1230,1.324
1231,-5.58
1232,-4.599
1233,-2.048
1234,-2.526
1235,-10.373
1236,0.928
1237,-5.923
1238,3.513
1239,6.19
1240,12.904
1241,5.19
1242,3.936
1243,1.661
1244,6.201
1245,-0.577
1246,2.898
1247,-11.019
1248,-13.392
1249,0.417
1250,3.695
1251,2.412
1252,2.009
1253,0.624
1254,7.279
1255,-0.5
1256,0.65
1257,-7.91
1258,-4.229
1259,0.143
1260,1.433
1261,-0.815
1262,10.334
1263,-5.903
1264,6.588
1265,3.099
1266,2.673
1267,0.382
1268,6.467
1269,2.661
1270,-5.659
1271,5.434
1272,2.6
1273,-4.978
1274,-6.334
1275,2.774
1276,0.336
1277,1.627
1278,4.04
1279,-5.504
1280,7.376
1281,-5.975
1282,-0.667
1283,-2.693
1284,0.005
1285,-2.464
1286,5.613
1287,10.523
1288,-0.118
1289,-9.387
1290,4.882
1291,6.591
1292,-0.373
1293,-0.831
1294,-1.089
1295,-10.177
1296,0.109
1297,-1.265
1298,-7.197
1299,6.383
1300,2.704
1301,-4.472
1302,5.728
1303,1.487
1304,2.588
1305,1.333
1306,0.997
1307,1.793
1308,-6.819
1309,-7.362
1310,2.655
1311,4.336
1312,-8.612
1313,-3.538
1314,-3.366
1315,6.595
1316,-5.497
1317,-5.846
1318,-4.726
1319,-0.703
1320,-0.04
1321,3.364
1322,0.133
1323,-1.055
1324,1.639
1325,-6.233
1326,-3.028
1327,4.609
1328,-2.339
1329,3.908
1330,1.181
1331,-3.499
1332,1.922
1333,5.139
1334,-2.515
1335,-1.382
1336,-4.035
1337,-4.779
1338,5.753
1339,2.439
1340,0.98
1341,11.313
1342,-1.802
1343,-7.942
1344,-2.678
1345,6.879
1346,-1.995
