Wavelength,Amplitude
nm,mV
835,-3.508
836,-8.115
837,-2.87
838,-7.178
839,-0.386
840,-5.661
841,-13.722
842,3.075
843,10.803
844,-3.589
845,1.023
846,0.844
847,-0.739
848,5.103
849,0.357
850,6.019
851,3.251
852,0.881
853,-1.033
854,5.584
855,4.853
856,-10.021
857,3.446
858,-0.732
859,1.303
860,6.286
861,-2.95
862,0.661
863,-6.767
864,-5.988
865,4.241
866,0.32
867,-3.433
868,3.876
869,-5.746
870,5.574
871,-2.862
872,-3.329
873,-2.653
874,6.415
875,-4.152
876,-0.303
877,0.38
878,2.04
879,4.052
880,-7.522
881,-0.528
882,-9.012
883,-3.008
884,-2.548
885,-0.537
886,-2.021
887,-0.734
888,-2.164
889,4.4
890,-1.316
891,-2.287
892,-4.591
893,-6.433
894,4.583
895,-6.525
896,4.831
897,-1.297
898,0.539
899,-0.518
900,-13.665
901,2.414
902,-0.013
903,-8.333
904,-4.286
905,-3.024
906,6.314
907,4.494
908,0.78
909,3.122
910,-0.279
911,-4.572
912,-3.592
913,5.103
914,9.903
915,7.516
916,-0.759
917,2.67
918,-5.155
919,1.911
920,-5.5
921,8.157
922,-1.378
923,-4.685
924,-5.584
925,5.927
926,-2.818
927,-3.162
928,0.872
929,6.942
930,-0.89
931,-1.632
932,3.09
933,0.207
934,3.296
935,1.322
936,-2.099
937,3.586
938,3.518
939,0.52
940,-0.278
941,-4.213
942,-4.347
943,-6.457
944,-1.531
945,-0.464
946,-4.627
947,5.147
948,0.057
949,-2.093
950,2.07
951,-3.38
952,0.986
953,-10.268
954,-2.58
955,-6.431
956,-4.812
957,-3.382
958,1.668
959,-2.722
960,11.431
961,-3.257
962,-2.503
963,-4.138
964,-5.252
965,1.943
966,-12.847
967,-1.287
968,-4.752
969,1.724
970,-3.113
971,0.105
972,-4.779
973,-2.019
974,2.151
975,8.384
976,-7.292
977,-0.995
978,-0.847
979,-8.924
980,-8.83
981,-9.917
982,-5.447
983,-5.562
984,-6.837
985,-10.698
986,-4.875
987,-0.681
988,2.202
989,-0.643
990,-2.15
991,-7.53
992,5.713
993,-5.762
994,7.091
995,1.311
996,1.778
997,-4.301
998,2.343
999,0.818
1000,-2.729
1001,2.602
1002,-3.719
1003,3.075
1004,-3.629
1005,6.614
1006,-2.811
1007,-7.935
1008,-9.309
1009,11.518
1010,-1.65
1011,3.878
1012,-2.171
1013,1.358
1014,-6.364
1015,-5.895
1016,-2.851
1017,-5.703
1018,6.733
1019,4.862
1020,-1.166
1021,-0.258
1022,6.248
1023,-0.048
1024,1.596
1025,0.687
1026,7.634
1027,-0.823
1028,6.113
1029,-6.134
1030,-3.819
1031,-9.307
1032,7.417
1033,-9.358
1034,1.532
1035,-3.332
1036,-3.565
1037,-8.642
1038,-3.719
1039,-10.287
1040,2.425
1041,2.94
1042,-4.953
1043,0.574
1044,-7.772
1045,6.366
1046,-1.263
1047,-4.534
1048,-3.792
1049,-5.996
1050,-6.437
1051,1.602
1052,-10.12
1053,-4.89
1054,-3.726
1055,5.297
1056,-7.066
1057,2.773
1058,-2.467
1059,4.285
1060,-0.432
1061,5.417
1062,2.028
1063,-2.183
1064,2.385
1065,-3.897
1066,6.984
1067,-0.764
1068,-3.824
1069,2.971
1070,-4.435
1071,-1.695
1072,1.625
1073,2.076
1074,-8.38
1075,-1.441
1076,-14.589
1077,4.705
1078,-2.965
1079,-0.588
1080,4.381
1081,5.022
1082,-2.464
1083,0.533
1084,-0.141
1085,-2.781
1086,10.081
1087,-0.388
1088,-1.94
1089,4.795
1090,6.568
1091,5.846
1092,-3.813
1093,0.872
1094,-2.913
1095,4.26
1096,4.428
1097,-2.737
1098,0.289
1099,-6.836
1100,1.601
1101,3.079
1102,-3.788
1103,12.785
1104,-0.567
1105,1.95
1106,3.474
1107,14.613
1108,4.014
1109,-3.057
1110,7.004
1111,1.39
1112,1.984
1113,13.004
