Wavelength,Amplitude
nm,mV
835,-6.437
836,2.484
837,-0.312
838,5.315
839,-7.333
840,-6.933
841,3.132
842,2.03
843,0.899
844,-5.184
845,2.938
846,1.437
847,12.728
848,10.158
849,3.352
850,9.351
851,6.047
852,1.642
853,-3.916
854,-1.447
855,-2.466
856,-5.703
857,7.883
858,-5.45
859,-3.146
860,-1.98
861,-0.839
862,-2.896
863,-6.446
864,2.339
865,-6.14
866,-9.684
867,3.17
868,8.474
869,-0.491
870,-10.646
871,0.083
872,3.501
873,1.538
874,-0.854
875,-0.428
876,-8.681
877,10.174
878,-3.034
879,3.037
880,-2.245
881,-4.18
882,3.471
883,-6.474
884,6.687
885,-2.97
886,4.609
887,-1.207
888,2.291
889,5.943
890,-9.621
891,8.24
892,-0.013
893,5.618
894,5.029
895,4.771
896,1.482
897,-3.979
898,5.655
899,-0.898
900,-3.765
901,-2.809
902,-2.938
903,-4.027
904,-8.968
905,-5.113
906,-7.801
907,-2.408
908,-13.255
909,-6.962
910,-6.507
911,4.529
912,4.137
913,-3.761
914,2.782
915,-7.591
916,-4.374
917,-3.629
918,-8.049
919,4.955
920,-8.242
921,-7.368
922,-6.479
923,2.294
924,-10.914
925,-1.029
926,3.104
927,7.435
928,11.868
929,-1.098
930,-1.973
931,8.169
932,-1.882
933,4.489
934,2.009
935,0.492
936,2.53
937,13.018
938,2.605
939,-0.964
940,1.164
941,3.916
942,9.416
943,1.064
944,5.786
945,-3.403
946,2.65
947,-4.203
948,1.68
949,0.944
950,5.444
951,-2.65
952,5.543
953,2.486
954,4.095
955,9.393
956,9.101
957,5.325
958,1.139
959,7.651
960,7.911
961,22.231
962,10.315
963,6.985
964,11.596
965,9.856
966,11.131
967,1.891
968,27.793
969,13.732
970,18.438
971,18.545
972,22.836
973,35.011
974,19.647
975,30.171
976,38.181
977,37.129
978,45.656
979,42.908
980,51
981,57.076
982,62.758
983,62.918
984,66.714
985,70.345
986,83.621
987,95.444
988,90.515
989,109.925
990,115.862
991,122.15
992,134.613
993,140.24
994,151.801
995,166.052
996,173.514
997,194.169
998,193.334
999,214.701
1000,226.605
1001,250.784
1002,263.545
1003,277.152
1004,298.682
1005,311.776
1006,326.193
1007,341.725
1008,369.581
1009,385.347
1010,400.05
1011,431.028
1012,447.636
1013,470.371
1014,482.349
1015,505.699
1016,528.232
1017,559.369
1018,576.888
1019,590.113
1020,616.812
1021,631.608
1022,652.237
1023,675.359
1024,694.909
1025,718.284
1026,722.666
1027,756.211
1028,762.166
1029,778.088
1030,796.954
1031,809.174
1032,830.853
1033,850.561
1034,851.788
1035,864.043
1036,871.908
1037,886.353
1038,890.003
1039,882.477
1040,899.729
1041,915.281
1042,915.492
1043,910.907
1044,902.022
1045,903.192
1046,908.219
1047,896.379
1048,891.772
1049,884.287
1050,875.264
1051,874.571
1052,860.038
1053,860.212
1054,829.2
1055,826.662
1056,799.992
1057,786.301
1058,773.393
1059,758.144
1060,734.847
1061,720.867
1062,693.295
1063,681.91
1064,661.847
1065,635.067
1066,618.133
1067,593.75
1068,576.368
1069,554.595
1070,532.988
1071,516.239
1072,495.961
1073,465.619
1074,453.347
1075,441.846
1076,412.731
1077,394.187
1078,376.633
1079,353.179
1080,329.131
1081,311.909
1082,295.205
1083,281.603
1084,268.171
1085,243.054
1086,235.52
1087,217.624
1088,203.711
1089,194.302
1090,188.402
1091,161.506
1092,162.028
1093,140.863
1094,127.091
1095,124.153
1096,116.604
1097,117.792
1098,96.469
1099,95.223
1100,83.982
1101,88.391
1102,62.317
1103,66.238
1104,54.64
1105,56.572
1106,54.274
1107,53.626
1108,40.633
1109,37.087
1110,31.951
1111,23.784
1112,29.12
1113,24.535
1114,24.735
1115,22.302
1116,20.71
1117,17.29
1118,17.514
1119,6.095
1120,3.792
1121,21.964
1122,18.424
1123,15.309
1124,3.047
1125,4.575
1126,16.664
1127,-1.31
1128,10.054
1129,0.351
1130,1.346
1131,-2.813
1132,-11.27
1133,6.515
1134,4.672
1135,6.809
1136,12.154
1137,-5.848
1138,10.675
1139,6.017
1140,0.656
1141,-0.741
1142,-6.196
1143,4.615
1144,0.188
1145,-3.044
1146,-4.225
1147,0.784
1148,4.558
1149,0.743
1150,0.199
1151,2.876
1152,-1.112
1153,-3.083
1154,-0.724
1155,0.275
1156,-2.4
1157,-0.918
1158,-6.673
1159,0.557
1160,-1.321
1161,-1.595
1162,-14.353
1163,3.722
1164,-1.887
1165,-2.241
1166,0.288
1167,-9.116
1168,4.435
1169,-6.99
1170,3.661
1171,-1.252
1172,-1.202
1173,-3.223
1174,3.615
1175,-1.839
1176,0.379
1177,-3.086
1178,-0.973
1179,6.656
1180,1.458
1181,3.832
1182,1.327
1183,1.86
1184,5.776
1185,0.764
1186,-8.67
1187,-5.956
1188,-1.407
1189,2.007
1190,-2.355
1191,-1.678
1192,-4.091
1193,-5.085
1194,-11.74
1195,-2.325
1196,-4.657
1197,-0.925
1198,-0.964
1199,3.001
1200,-5.913
1201,-0.198
1202,-2.986
1203,5.09
1204,-2.965
1205,8.807
1206,1.768
1207,1.826
1208,-3.636
1209,8.393
1210,8.414
1211,-1.673
1212,-0.542
1213,-3.022
1214,-1.754
1215,3.725
1216,7.567
1217,-8.406
1218,5.731
1219,-12.054
1220,6.905
1221,-1.234
1222,-5.22
1223,-2.315
1224,-3.371
1225,-1.888
1226,-1.527
1227,-3.394
1228,3.906
1229,-0.296
1230,-2.99
1231,12.616
1232,7.56
1233,-5.536
1234,-3.678
1235,3.556
1236,1.698
1237,7.768
1238,-1.329
1239,-0.175
1240,1.352
1241,-2.673
1242,-1.71
1243,0.954
1244,-5.07
1245,-10.534
1246,1.792
1247,2.513
1248,-2.352
1249,9.3
1250,0.733
1251,2.337
1252,-2.235
1253,-7.355
1254,-0.168
1255,2.232
1256,-8.673
1257,6.968
1258,6.888
1259,3.575
1260,-6.686
1261,3.933
1262,2.932
1263,5.009
1264,-1.656
1265,-1.172
1266,-2.825
1267,-0.945
1268,6.518
1269,1.633
1270,6.426
1271,-8.78
1272,0.588
1273,7.3
1274,9.418
1275,1.612
1276,-6.95
1277,-0.646
1278,-6.198
1279,-8.049
1280,-9.854
1281,5.604
1282,-4.358
1283,2.279
1284,1.89
1285,2.789
1286,6.204
1287,3.415
1288,4.084
1289,-4.357
1290,2.048
1291,5.365
1292,-5.887
1293,2.98
1294,0.55
1295,-7.226
1296,-1.353
1297,-7.315
1298,-2.24
1299,-1.741
1300,-8.145
1301,-3.82
1302,0.273
1303,-2.68
1304,5.568
1305,-1.457
1306,0.619
1307,6.692
1308,0.587
1309,-1.855
1310,-3.824
1311,10.717
1312,-0.436
1313,-10.651
1314,4.199
1315,-1.286
1316,3.105
1317,4.102
1318,-8.373
1319,-4.553
1320,6.131
1321,1.999
1322,2.365
1323,3.72
1324,-3.901
1325,-6.006
1326,-0.938
1327,2.99
1328,1.233
1329,8.049
1330,3.778
1331,-5.554
1332,0.505
1333,4.617
1334,-1.829
1335,-6.012
1336,-2.878
1337,-3.288
1338,3.019
1339,-6.912
1340,-0.164
1341,-1.267
1342,-6.213
1343,-3.594
1344,-1.496
1345,-2.484
1346,5.174
