Wavelength,Amplitude
nm,mV
835,-1.67
836,9.947
837,11.923
838,3.384
839,5.899
840,-4.118
841,1.08
842,7.941
843,-1.142
844,-2.258
845,-9.112
846,-6.699
847,0.95
848,-7.308
849,-10.246
850,1.47
851,-0.019
852,-1.105
853,0.517
854,4.095
855,-2.654
856,-2.334
857,-6.869
858,4.146
859,1.012
860,-7.138
861,0.209
862,5.71
863,-3.276
864,-4.143
865,-5.954
866,-1.886
867,-3.802
868,8.496
869,12.854
870,5.05
871,1.681
872,3.2
873,-4.355
874,4.451
875,0.652
876,4.477
877,1.395
878,5.18
879,0.679
880,1.818
881,0.969
882,-3.221
883,-1.68
884,5.717
885,0.528
886,1.455
887,-1.62
888,-5.76
889,1.223
890,-4.275
891,-4.677
892,9.174
893,-4.276
894,2.918
895,-1.384
896,2.778
897,11.607
898,-0.778
899,0.038
900,-2.805
901,6.903
902,-2.157
903,-7.166
904,0.624
905,4.66
906,-5.219
907,9.183
908,0.87
909,-3.296
910,-1.661
911,5.962
912,9.282
913,2.15
914,2.722
915,5.299
916,4.386
917,-1.164
918,3.482
919,3.774
920,-2.892
921,9.357
922,-3.419
923,7.006
924,-7.141
925,4.189
926,-3.014
927,0.533
928,0.011
929,4.421
930,4.146
931,0.597
932,3.371
933,5.101
934,2.951
935,-7.099
936,-3.306
937,-0.475
938,4.977
939,-10.09
940,2.578
941,-2.349
942,-1.739
943,1.159
944,-4.563
945,-1.192
946,-9.831
947,2.006
948,-8.487
949,3.108
950,0.738
951,1.191
952,-4.198
953,3.106
954,2.852
955,-2.628
956,2.296
957,4.844
958,-2.461
959,0.049
960,-4.842
961,2.694
962,-2.986
963,-5.248
964,4.058
965,0.624
966,3.274
967,5.155
968,11.624
969,-2.938
970,-2.62
971,2.531
972,6.327
973,-5.776
974,9.289
975,10.068
976,5.426
977,-3.405
978,5.638
979,-1.615
980,-4.217
981,2.053
982,10.664
983,-5.288
984,2.468
985,3.906
986,6.031
987,8.418
988,1.868
989,15.427
990,7.098
991,17.985
992,13.675
993,11.37
994,8.038
995,15.087
996,18.634
997,16.536
998,10.903
999,9.193
1000,8.971
1001,12.636
1002,26.39
1003,29.693
1004,28.172
1005,42.51
1006,38.658
1007,42.48
1008,37.058
1009,44.306
1010,45.212
1011,45.092
1012,57.934
1013,62.151
1014,63.663
1015,82.377
1016,76.217
1017,83.796
1018,97.526
1019,96.185
1020,106.554
1021,117.767
1022,118.683
1023,127.83
1024,148.037
1025,148.945
1026,168.812
1027,184.022
1028,190.558
1029,199.523
1030,202.394
1031,223.383
1032,239.919
1033,247.112
1034,272.719
1035,277.084
1036,291.234
1037,315.803
1038,330.525
1039,338.405
1040,367.549
1041,374.958
1042,396.786
1043,411.331
1044,434.367
1045,447.306
1046,471.165
1047,483.399
1048,502.008
1049,524.58
1050,537.824
1051,563.284
1052,578.297
1053,595.815
1054,624.386
1055,640.424
1056,655.396
1057,676.967
1058,690.077
1059,708.393
1060,724.171
1061,740.22
1062,753.216
1063,761.994
1064,782.03
1065,795.189
1066,802.254
1067,814.957
1068,835.657
1069,839.089
1070,842.751
1071,856.089
1072,857.64
1073,855.544
1074,868.787
1075,866.613
1076,876.041
1077,873.462
1078,864.421
1079,868.642
1080,868.505
1081,864.331
1082,843.96
1083,858.206
1084,844.545
1085,831.417
1086,826.539
1087,814.775
1088,804.853
1089,807.651
1090,778.918
1091,777.624
1092,757.06
1093,743.116
1094,722.003
1095,711.88
1096,698.815
1097,667.934
1098,664.347
1099,642.079
1100,628.335
1101,611.649
1102,584.648
1103,568.841
1104,545.287
1105,519.877
1106,511.293
1107,490.424
1108,470.269
1109,451.583
1110,437.67
1111,420.594
1112,397.45
1113,388.142
1114,365.199
1115,349.242
1116,328.592
1117,314.662
1118,304.113
1119,282.583
1120,266.292
1121,254.307
1122,243.053
1123,226.286
1124,213.369
1125,203.219
1126,194.892
1127,174.263
1128,174.269
1129,160.79
1130,142.226
1131,133.868
1132,134.602
1133,118.032
1134,108.632
1135,103.95
1136,93.335
1137,81.527
1138,81.987
1139,78.825
1140,70.88
1141,63.16
1142,51.71
1143,55.558
1144,59.714
1145,52.908
1146,46.807
1147,31.744
1148,27.07
1149,36.244
1150,16.054
1151,17.3
1152,17.555
1153,23.4
1154,24.2
1155,16.002
1156,19.777
1157,16.371
1158,3.946
1159,5.634
1160,6.716
1161,7.237
1162,6.189
1163,8.58
1164,10.139
1165,6.912
1166,6.729
1167,-3.347
1168,6.262
1169,2.932
1170,4.897
1171,11.493
1172,-5.438
1173,1.363
1174,2.957
1175,3.787
1176,3.126
1177,5.001
1178,7.409
1179,-2.978
1180,0.853
1181,4.198
1182,-5.378
1183,8.489
1184,-0.413
1185,4.009
1186,0.034
1187,-3.225
1188,-0.201
1189,3.518
1190,9.631
1191,-4.807
1192,-1.894
1193,0.12
1194,4.33
1195,6.418
1196,2.363
1197,-7.868
1198,-1.785
1199,-4.265
1200,4.219
1201,14.684
1202,0.549
1203,3.526
1204,-11.571
1205,3.093
1206,3.164
1207,0.598
1208,0.635
1209,-1.546
1210,2.769
1211,8.408
1212,-4.613
1213,-7.665
1214,-3.274
1215,-3.428
1216,-3.362
1217,-10.68
1218,-2.021
1219,-12.031
1220,-3.242
1221,-1.402
1222,3.53
1223,1.937
1224,6.365
1225,0.773
1226,-4.433
1227,2.068
