Time	Normalized Value
m	
0	1.5924
0.0167	1.5947
0.0333	1.5964
0.05	1.5934
0.0667	1.5885
0.0833	1.5872
0.1	1.5882
0.1167	1.5872
0.1333	1.5845
0.15	1.5832
0.1667	1.5846
0.1833	1.5883
0.2	1.5932
0.2167	1.5943
0.2333	1.5904
0.25	1.5874
0.2667	1.5882
0.2833	1.5901
0.3	1.5884
0.3167	1.5859
0.3333	1.5858
0.35	1.588
0.3667	1.5896
0.3833	1.585
0.4	1.5777
0.4167	1.5741
0.4333	1.5795
0.45	1.5891
0.4667	1.5891
0.4833	1.5827
0.5	1.578
0.5167	1.5757
0.5333	1.5769
0.55	1.5807
0.5667	1.5847
0.5833	1.5844
0.6	1.579
0.6167	1.5766
0.6333	1.5836
0.65	1.5898
0.6667	1.5858
0.6833	1.5785
0.7	1.5754
0.7167	1.5765
0.7333	1.5789
0.75	1.5824
0.7667	1.5819
0.7833	1.5767
0.8	1.5734
0.8167	1.5741
0.8333	1.5761
0.85	1.578
0.8667	1.5785
0.8833	1.5801
0.9	1.5808
0.9167	1.5782
0.9333	1.5768
0.95	1.5776
0.9667	1.5778
0.9833	1.579
1	1.5789
1.0167	1.5745
1.0333	1.5752
1.05	1.5779
1.0667	1.5719
1.0833	1.5675
1.1	1.5701
1.1167	1.5728
1.1333	1.5755
1.15	1.579
1.1667	1.5795
1.1833	1.5775
1.2	1.5762
1.2167	1.5736
1.2333	1.5674
1.25	1.5629
1.2667	1.5635
1.2833	1.5657
1.3	1.5712
1.3167	1.5765
1.3333	1.5765
1.35	1.5759
1.3667	1.5747
1.3833	1.5718
1.4	1.5693
1.4167	1.5693
1.4333	1.571
1.45	1.5732
1.4667	1.5736
1.4833	1.5717
1.5	1.5701
1.5167	1.5687
1.5333	1.5674
1.55	1.5675
1.5667	1.5678
1.5833	1.5658
1.6	1.5632
1.6167	1.5663
1.6333	1.5717
1.65	1.574
1.6667	1.5713
1.6833	1.5651
1.7	1.5658
1.7167	1.5699
1.7333	1.5707
1.75	1.5705
1.7667	1.5696
1.7833	1.5693
1.8	1.5736
1.8167	1.5764
1.8333	1.5734
1.85	1.5688
1.8667	1.5695
1.8833	1.5765
1.9	1.5809
1.9167	1.5827
1.9333	1.5802
1.95	1.5725
1.9667	1.5663
1.9833	1.5628
2	1.5627
2.0167	1.564
2.0333	1.5636
2.05	1.5664
2.0667	1.5706
2.0833	1.5693
2.1	1.566
2.1167	1.5652
2.1333	1.5681
2.15	1.5713
2.1667	1.5713
2.1833	1.5693
2.2	1.5665
2.2167	1.5679
2.2333	1.5723
2.25	1.573
2.2667	1.568
2.2833	1.5618
2.3	1.5585
2.3167	1.5546
2.3333	1.5487
2.35	1.5492
2.3667	1.5554
2.3833	1.5585
2.4	1.5588
2.4167	1.5624
2.4333	1.566
2.45	1.5637
2.4667	1.5607
2.4833	1.5582
2.5	1.557
2.5167	1.5574
2.5333	1.5575
2.55	1.5613
2.5667	1.5616
2.5833	1.5544
2.6	1.5517
2.6167	1.5547
2.6333	1.5532
2.65	1.5496
2.6667	1.5459
2.6833	1.5427
2.7	1.5454
2.7167	1.5461
2.7333	1.5399
2.75	1.5355
2.7667	1.5351
2.7833	1.5361
2.8	1.5363
2.8167	1.5359
2.8333	1.5367
2.85	1.5393
2.8667	1.5415
2.8833	1.5387
2.9	1.5373
2.9167	1.5407
2.9333	1.5388
2.95	1.5338
2.9667	1.5311
2.9833	1.5304
3	1.5328
