Time	Normalized Value
m	
0	2.5334
0.0167	2.5373
0.0333	2.5408
0.05	2.5392
0.0667	2.5343
0.0833	2.5317
0.1	2.5323
0.1167	2.5332
0.1333	2.533
0.15	2.5342
0.1667	2.5341
0.1833	2.534
0.2	2.5376
0.2167	2.5403
0.2333	2.5397
0.25	2.5375
0.2667	2.5359
0.2833	2.5347
0.3	2.5329
0.3167	2.5328
0.3333	2.5338
0.35	2.5356
0.3667	2.5382
0.3833	2.5359
0.4	2.532
0.4167	2.5349
0.4333	2.5397
0.45	2.5396
0.4667	2.5362
0.4833	2.5333
0.5	2.5328
0.5167	2.5352
0.5333	2.5448
0.55	2.5672
0.5667	2.6505
0.5833	2.9485
0.6	3.6795
0.6167	4.9653
0.6333	6.5581
0.65	8.0259
0.6667	9.0486
0.6833	9.635
0.7	9.7852
0.7167	9.4771
0.7333	8.8464
0.75	8.1117
0.7667	7.602
0.7833	7.3808
0.8	7.3481
0.8167	7.5141
0.8333	7.8619
0.85	8.3466
0.8667	8.8392
0.8833	9.2788
0.9	9.7651
0.9167	10.241
0.9333	10.6357
0.95	11.0339
0.9667	11.4568
0.9833	11.6943
1	11.715
1.0167	11.7409
1.0333	11.8831
1.05	12.062
1.0667	12.1467
1.0833	12.0612
1.1	11.9194
1.1167	11.8107
1.1333	11.6696
1.15	11.5373
1.1667	11.3297
1.1833	10.957
1.2	10.5774
1.2167	10.1256
1.2333	9.5672
1.25	9.1283
1.2667	8.7621
1.2833	8.4148
1.3	8.0419
1.3167	7.7203
1.3333	7.5609
1.35	7.3951
1.3667	7.2333
1.3833	7.1143
1.4	6.928
1.4167	6.7313
1.4333	6.6021
1.45	6.4973
1.4667	6.3822
1.4833	6.2552
1.5	6.1857
1.5167	6.1244
1.5333	6.0326
1.55	5.9325
1.5667	5.8383
1.5833	5.7395
1.6	5.6418
1.6167	5.5569
1.6333	5.4838
1.65	5.4534
1.6667	5.4264
1.6833	5.3746
1.7	5.3339
1.7167	5.3384
1.7333	5.2894
1.75	5.2104
1.7667	5.1358
1.7833	5.0382
1.8	4.9739
1.8167	4.8966
1.8333	4.7759
1.85	4.6501
1.8667	4.5553
1.8833	4.456
1.9	4.4084
1.9167	4.3981
1.9333	4.3291
1.95	4.26
1.9667	4.1982
1.9833	4.1104
2	4.0598
2.0167	4.0396
2.0333	3.9823
2.05	3.9259
2.0667	3.8848
2.0833	3.8371
2.1	3.802
2.1167	3.7739
2.1333	3.7432
2.15	3.7099
2.1667	3.6797
2.1833	3.6564
2.2	3.6492
2.2167	3.6439
2.2333	3.6022
2.25	3.5364
2.2667	3.4827
2.2833	3.4465
2.3	3.4013
2.3167	3.3783
2.3333	3.3744
2.35	3.3528
2.3667	3.3248
2.3833	3.2938
2.4	3.2708
2.4167	3.2561
2.4333	3.2437
2.45	3.2398
2.4667	3.2375
2.4833	3.2395
2.5	3.2422
2.5167	3.2307
2.5333	3.2384
2.55	3.242
2.5667	3.205
2.5833	3.1732
2.6	3.1784
2.6167	3.1791
2.6333	3.154
2.65	3.1235
2.6667	3.104
2.6833	3.1097
2.7	3.1115
2.7167	3.0986
2.7333	3.0881
2.75	3.0745
2.7667	3.0479
2.7833	3.0307
2.8	3.0339
2.8167	3.0355
2.8333	3.0326
2.85	3.0213
2.8667	3.0032
2.8833	3.003
2.9	3.0097
2.9167	3.0024
2.9333	2.9874
2.95	2.9746
2.9667	2.9774
2.9833	2.9799
3	2.9633
3.0167	2.9484
3.0333	2.9411
3.05	2.9362
3.0667	2.9377
3.0833	2.9279
3.1	2.9186
3.1167	2.9218
3.1333	2.9162
3.15	2.9146
3.1667	2.9188
3.1833	2.9146
3.2	2.9136
3.2167	2.9158
3.2333	2.9083
3.25	2.9022
3.2667	2.9036
3.2833	2.9124
3.3	2.9221
3.3167	2.9203
3.3333	2.929
