Time	Normalized Value
m	
0	2.1851
0.0167	2.1851
0.0333	2.1847
0.05	2.1845
0.0667	2.1847
0.0833	2.1844
0.1	2.1838
0.1167	2.1837
0.1333	2.184
0.15	2.1844
0.1667	2.1847
0.1833	2.1848
0.2	2.1849
0.2167	2.1847
0.2333	2.1843
0.25	2.1839
0.2667	2.1839
0.2833	2.1848
0.3	2.1849
0.3167	2.1842
0.3333	2.1843
0.35	2.1847
0.3667	2.1847
0.3833	2.1847
0.4	2.1851
0.4167	2.185
0.4333	2.1842
0.45	2.1842
0.4667	2.184
0.4833	2.1841
0.5	2.1841
0.5167	2.1833
0.5333	2.1832
0.55	2.1838
0.5667	2.1839
0.5833	2.1839
0.6	2.1842
0.6167	2.184
0.6333	2.1837
0.65	2.1837
0.6667	2.184
0.6833	2.184
0.7	2.1842
0.7167	2.1849
0.7333	2.1855
0.75	2.186
0.7667	2.186
0.7833	2.1856
0.8	2.1857
0.8167	2.1858
0.8333	2.1864
0.85	2.1868
0.8667	2.1864
0.8833	2.1862
0.9	2.1861
0.9167	2.186
0.9333	2.1854
0.95	2.1843
0.9667	2.1838
0.9833	2.184
1	2.1836
1.0167	2.1829
1.0333	2.1831
1.05	2.1833
1.0667	2.1829
1.0833	2.1827
1.1	2.1826
1.1167	2.1826
1.1333	2.1829
1.15	2.1825
1.1667	2.1819
1.1833	2.1818
1.2	2.1823
1.2167	2.1826
1.2333	2.1827
1.25	2.1831
1.2667	2.183
1.2833	2.1826
1.3	2.1828
1.3167	2.183
1.3333	2.1827
1.35	2.1826
1.3667	2.1832
1.3833	2.1832
1.4	2.183
1.4167	2.1836
1.4333	2.184
1.45	2.1839
1.4667	2.1837
1.4833	2.1836
1.5	2.1838
1.5167	2.1841
1.5333	2.1841
1.55	2.1833
1.5667	2.1833
1.5833	2.1839
1.6	2.1839
1.6167	2.184
1.6333	2.1843
1.65	2.1845
1.6667	2.1845
1.6833	2.1844
1.7	2.1845
1.7167	2.1847
1.7333	2.1847
1.75	2.1851
1.7667	2.1852
1.7833	2.1851
1.8	2.1851
1.8167	2.1846
1.8333	2.1841
1.85	2.184
1.8667	2.1847
1.8833	2.1853
1.9	2.185
1.9167	2.1845
1.9333	2.184
1.95	2.1842
1.9667	2.1851
1.9833	2.1848
2	2.1845
2.0167	2.1847
2.0333	2.1848
2.05	2.1847
2.0667	2.185
2.0833	2.1857
2.1	2.1859
2.1167	2.186
2.1333	2.1866
2.15	2.1863
2.1667	2.1858
2.1833	2.1857
2.2	2.1854
2.2167	2.1853
2.2333	2.1855
2.25	2.1856
2.2667	2.1854
2.2833	2.1855
2.3	2.186
2.3167	2.1865
2.3333	2.1868
2.35	2.1866
2.3667	2.1863
2.3833	2.1865
2.4	2.1867
2.4167	2.1865
2.4333	2.1868
2.45	2.1871
2.4667	2.1872
2.4833	2.1873
2.5	2.1872
2.5167	2.1867
2.5333	2.1867
2.55	2.1877
2.5667	2.1881
2.5833	2.1876
2.6	2.188
2.6167	2.1886
2.6333	2.1884
2.65	2.1883
2.6667	2.188
2.6833	2.1872
2.7	2.1871
2.7167	2.1878
2.7333	2.1883
2.75	2.1883
2.7667	2.1879
2.7833	2.1877
2.8	2.188
2.8167	2.1878
2.8333	2.1882
2.85	2.1884
2.8667	2.1882
2.8833	2.1882
2.9	2.1883
2.9167	2.1881
2.9333	2.1882
2.95	2.1885
2.9667	2.1882
2.9833	2.1877
3	2.1879
3.0167	2.1882
3.0333	2.1881
3.05	2.1881
3.0667	2.1882
3.0833	2.1881
3.1	2.1881
3.1167	2.1882
3.1333	2.188
3.15	2.1881
3.1667	2.1882
3.1833	2.1882
3.2	2.1878
3.2167	2.1875
3.2333	2.1876
3.25	2.1874
3.2667	2.1873
3.2833	2.1867
3.3	2.186
3.3167	2.1868
3.3333	2.1879
3.35	2.1881
3.3667	2.1886
3.3833	2.1886
3.4	2.188
3.4167	2.1877
3.4333	2.1877
3.45	2.1875
3.4667	2.1876
3.4833	2.1876
3.5	2.187
3.5167	2.187
3.5333	2.187
3.55	2.1875
3.5667	2.1886
3.5833	2.1886
3.6	2.1882
3.6167	2.1882
3.6333	2.1883
3.65	2.1882
3.6667	2.1878
3.6833	2.1877
3.7	2.188
3.7167	2.188
3.7333	2.1878
3.75	2.1878
3.7667	2.1882
3.7833	2.1883
3.8	2.1887
3.8167	2.1886
3.8333	2.1882
3.85	2.1884
3.8667	2.1884
3.8833	2.1888
3.9	2.1891
3.9167	2.1891
3.9333	2.1892
3.95	2.189
3.9667	2.1888
3.9833	2.1887
4	2.1886
4.0167	2.1883
4.0333	2.1886
4.05	2.189
4.0667	2.189
4.0833	2.1892
4.1	2.1891
4.1167	2.1889
4.1333	2.1888
4.15	2.1886
4.1667	2.1887
4.1833	2.1888
4.2	2.1888
4.2167	2.1889
4.2333	2.1887
4.25	2.1886
4.2667	2.1887
4.2833	2.1886
4.3	2.1886
4.3167	2.189
4.3333	2.189
4.35	2.1885
4.3667	2.1882
4.3833	2.1882
4.4	2.1877
4.4167	2.1876
4.4333	2.1878
4.45	2.1879
4.4667	2.1882
4.4833	2.1883
4.5	2.1877
4.5167	2.1873
4.5333	2.1873
4.55	2.1872
4.5667	2.1874
4.5833	2.1873
4.6	2.1872
4.6167	2.187
4.6333	2.187
4.65	2.1869
4.6667	2.1867
4.6833	2.1866
4.7	2.1867
4.7167	2.1868
4.7333	2.1868
4.75	2.1864
4.7667	2.1863
4.7833	2.1864
4.8	2.1863
4.8167	2.1866
4.8333	2.1868
4.85	2.1865
4.8667	2.186
4.8833	2.1857
4.9	2.1857
4.9167	2.1857
4.9333	2.186
4.95	2.1862
4.9667	2.1862
4.9833	2.1863
5	2.1867
5.0167	2.1868
5.0333	2.1868
5.05	2.1866
5.0667	2.1864
5.0833	2.1864
5.1	2.1868
5.1167	2.1871
5.1333	2.1868
5.15	2.1867
5.1667	2.187
5.1833	2.1871
5.2	2.1872
5.2167	2.1873
5.2333	2.1875
5.25	2.1875
5.2667	2.1876
5.2833	2.1878
5.3	2.1878
5.3167	2.1875
5.3333	2.1876
5.35	2.1877
5.3667	2.1884
5.3833	2.1891
5.4	2.1882
5.4167	2.1877
5.4333	2.188
5.45	2.1881
5.4667	2.1882
5.4833	2.1881
5.5	2.1879
5.5167	2.1879
5.5333	2.1878
5.55	2.1879
5.5667	2.1879
5.5833	2.1882
5.6	2.189
5.6167	2.1891
5.6333	2.1886
5.65	2.1881
5.6667	2.1882
5.6833	2.1887
5.7	2.1887
5.7167	2.1885
5.7333	2.1884
5.75	2.1881
5.7667	2.1877
5.7833	2.1879
5.8	2.1879
5.8167	2.188
5.8333	2.1896
5.85	2.1908
5.8667	2.1898
5.8833	2.1882
5.9	2.1878
5.9167	2.1877
5.9333	2.1875
5.95	2.1882
5.9667	2.189
5.9833	2.1895
6	2.1896
6.0167	2.1894
6.0333	2.1891
6.05	2.1884
6.0667	2.1876
6.0833	2.1875
6.1	2.1877
6.1167	2.1882
6.1333	2.1884
6.15	2.1883
6.1667	2.1882
6.1833	2.1884
6.2	2.1884
6.2167	2.1889
6.2333	2.1894
6.25	2.1888
6.2667	2.1886
6.2833	2.1894
6.3	2.1894
6.3167	2.1891
6.3333	2.1895
6.35	2.1899
6.3667	2.1899
6.3833	2.1897
6.4	2.1897
6.4167	2.1898
6.4333	2.1901
6.45	2.1903
6.4667	2.1907
6.4833	2.1906
6.5	2.1905
6.5167	2.1909
6.5333	2.1909
6.55	2.1907
6.5667	2.1912
6.5833	2.1919
6.6	2.1923
6.6167	2.1921
6.6333	2.1916
6.65	2.1919
6.6667	2.1923
6.6833	2.1925
6.7	2.1926
6.7167	2.1927
6.7333	2.1925
6.75	2.1925
6.7667	2.1927
6.7833	2.1932
6.8	2.1938
6.8167	2.1937
6.8333	2.1937
6.85	2.1947
6.8667	2.1951
6.8833	2.1944
6.9	2.1938
6.9167	2.1938
6.9333	2.1939
6.95	2.1935
6.9667	2.194
6.9833	2.1945
7	2.1937
7.0167	2.1933
7.0333	2.1938
7.05	2.1939
7.0667	2.1938
7.0833	2.1944
7.1	2.1957
7.1167	2.1956
7.1333	2.1945
7.15	2.1943
7.1667	2.1946
7.1833	2.1951
7.2	2.1956
7.2167	2.1958
7.2333	2.1954
7.25	2.195
7.2667	2.1949
7.2833	2.1946
7.3	2.1945
7.3167	2.195
7.3333	2.1952
7.35	2.1947
7.3667	2.195
7.3833	2.1956
7.4	2.1958
7.4167	2.1957
7.4333	2.1956
7.45	2.1957
7.4667	2.1962
7.4833	2.1962
7.5	2.1965
7.5167	2.1966
7.5333	2.1965
7.55	2.1967
7.5667	2.1968
7.5833	2.1968
7.6	2.1969
7.6167	2.1972
7.6333	2.1967
7.65	2.1963
7.6667	2.1977
7.6833	2.1988
7.7	2.198
7.7167	2.1971
7.7333	2.1973
7.75	2.1977
7.7667	2.198
7.7833	2.1986
7.8	2.1986
7.8167	2.1978
7.8333	2.1976
7.85	2.198
7.8667	2.1982
7.8833	2.1982
7.9	2.1986
7.9167	2.1986
7.9333	2.1988
7.95	2.1994
7.9667	2.1999
7.9833	2.1995
8	2.1992
8.0167	2.1997
8.0333	2.1999
8.05	2.1996
8.0667	2.1992
8.0833	2.1999
8.1	2.2009
8.1167	2.2008
8.1333	2.2006
8.15	2.2011
8.1667	2.2011
8.1833	2.201
8.2	2.2013
8.2167	2.2013
8.2333	2.2016
8.25	2.2022
8.2667	2.2023
8.2833	2.2024
8.3	2.2025
8.3167	2.2024
8.3333	2.2021
8.35	2.2021
8.3667	2.2026
8.3833	2.2026
8.4	2.2021
8.4167	2.2025
8.4333	2.2028
8.45	2.2027
8.4667	2.2028
8.4833	2.2031
8.5	2.2034
8.5167	2.2036
8.5333	2.2039
8.55	2.2047
8.5667	2.2049
8.5833	2.2045
8.6	2.2048
8.6167	2.2051
8.6333	2.2051
8.65	2.2053
8.6667	2.2056
8.6833	2.2054
8.7	2.2055
8.7167	2.2061
8.7333	2.2065
8.75	2.2065
8.7667	2.2065
8.7833	2.2072
8.8	2.2077
8.8167	2.2072
8.8333	2.2072
8.85	2.2076
8.8667	2.2077
8.8833	2.2077
8.9	2.2078
8.9167	2.2079
8.9333	2.2079
8.95	2.2082
8.9667	2.2085
8.9833	2.2089
9	2.2087
9.0167	2.2085
9.0333	2.2086
9.05	2.2087
9.0667	2.2087
9.0833	2.2081
9.1	2.2086
9.1167	2.2104
9.1333	2.2105
9.15	2.2098
9.1667	2.2096
9.1833	2.2097
9.2	2.2099
9.2167	2.2099
9.2333	2.2099
9.25	2.21
9.2667	2.21
9.2833	2.2098
9.3	2.2099
9.3167	2.2104
9.3333	2.2103
9.35	2.2101
9.3667	2.2105
9.3833	2.2104
9.4	2.2103
9.4167	2.2108
9.4333	2.2112
9.45	2.2109
9.4667	2.2109
9.4833	2.2113
9.5	2.2113
9.5167	2.2109
9.5333	2.2109
9.55	2.2112
9.5667	2.2109
9.5833	2.2103
9.6	2.2107
9.6167	2.2107
9.6333	2.2103
9.65	2.2104
9.6667	2.2108
9.6833	2.2109
9.7	2.2103
9.7167	2.2101
9.7333	2.2105
9.75	2.2106
9.7667	2.2104
9.7833	2.2109
9.8	2.2109
9.8167	2.2104
9.8333	2.2107
9.85	2.2109
9.8667	2.2105
9.8833	2.2102
9.9	2.2104
9.9167	2.2107
9.9333	2.2104
9.95	2.21
9.9667	2.2104
9.9833	2.2104
10	2.2102
10.0167	2.2104
10.0333	2.2106
10.05	2.2105
10.0667	2.2108
10.0833	2.2107
10.1	2.2104
10.1167	2.2103
10.1333	2.2103
10.15	2.2108
10.1667	2.2109
10.1833	2.2106
10.2	2.2107
10.2167	2.2102
10.2333	2.21
10.25	2.2105
10.2667	2.2109
10.2833	2.2117
10.3	2.212
10.3167	2.2116
10.3333	2.2116
10.35	2.2113
10.3667	2.2107
10.3833	2.2109
10.4	2.2112
10.4167	2.2109
10.4333	2.2109
10.45	2.211
10.4667	2.2106
10.4833	2.21
10.5	2.2099
10.5167	2.2096
10.5333	2.2096
10.55	2.21
10.5667	2.2097
10.5833	2.2093
10.6	2.2096
10.6167	2.2099
10.6333	2.2099
10.65	2.2099
10.6667	2.2099
10.6833	2.2103
10.7	2.2104
10.7167	2.2099
10.7333	2.2094
10.75	2.2095
10.7667	2.2099
10.7833	2.2102
10.8	2.2103
10.8167	2.2102
10.8333	2.2098
10.85	2.2093
10.8667	2.2092
10.8833	2.209
10.9	2.2089
10.9167	2.2091
10.9333	2.2093
10.95	2.2091
10.9667	2.209
10.9833	2.209
11	2.2087
