Time	Amplitude
s	
0	8.7992546186706
5E-4	11.939602631345
1E-3	5.25742403718716
0.0015	-0.625008852859556
0.002	-2.88168802313203
0.0025	-0.774854764252644
0.003	-0.369427516373961
0.0035	-2.70579675961102
0.004	-2.94698701656173
0.0045	-1.14982599935833
0.005	2.16974335013779
0.0055	0.92160107757128
0.006	-1.37790149732397
0.0065	-1.23783837951919
0.007	4.87878300074303
0.0075	13.3669186656112
0.008	16.0297084960895
0.0085	9.13630943295525
0.009	-1.02779581585401
0.0095	-2.48477701050609
0.01	2.95411555790548
0.0105	8.76039913396175
0.011	9.90415745251264
0.0115	1.42044732856465
0.012	-6.23555472444311
0.0125	-6.9687270840869
0.013	0.44430817790901
0.0135	8.31351086486713
0.014	10.1506429029398
0.0145	7.91822177130193
0.015	2.24161350270207
0.0155	5.5846797031547
0.016	7.6001672174836
0.0165	11.1012355059702
0.017	9.44931736433242
0.0175	5.65611372092335
0.018	3.4670191268109
0.0185	2.49893790100401
0.019	-0.871981853013268
0.0195	-4.64173645995849
0.02	-6.16010041330205
0.0205	-2.6188936231633
0.021	3.98797946142871
0.0215	6.17052460391229
0.022	2.66371436623609
0.0225	-3.50598714851878
0.023	-3.10998032670157
0.0235	4.74456965180424
0.024	13.1026476605028
0.0245	12.668943972198
0.025	4.12721184831487
0.0255	-7.86705242336048
0.026	-8.79298886451748
0.0265	-2.62342045693148
0.027	3.33109866819275
0.0275	0.453181054610271
0.028	-6.04575402443962
0.0285	-12.5232827444675
0.029	-9.46565015052897
0.0295	-4.4735595515256
0.03	0.927890045147421
0.0305	2.41398031215638
0.031	0.0869571912628026
0.0315	-1.6663497480685
0.032	1.35230968317135
0.0325	-0.929970034071955
0.033	-2.07928339018101
0.0335	-4.99886569187163
0.034	-3.55029866368039
0.0345	-1.44588945716631
0.035	-4.44107580677899
0.0355	-9.42527020492021
0.036	-14.9234387504823
0.0365	-14.8909358797261
0.037	-8.23982909780317
0.0375	2.21483683949484
0.038	2.93181706261827
0.0385	-3.63355294582441
0.039	-9.99324751859296
0.0395	-7.03497166872092
0.04	0.508102157401842
0.0405	7.98808329366535
0.041	6.02664694873763
0.0415	-4.22506789351815
0.042	-10.0969269051524
0.0425	-10.3645578744444
0.043	-5.58926282915305
0.0435	-2.41400679660444
0.044	-4.55592709187107
0.0445	-8.31635698471557
0.045	-8.14278104055877
0.0455	-4.93857877687849
0.046	-2.75105332699097
0.0465	-0.678450686572384
0.047	0.981178559414993
0.0475	4.27562163268832
0.048	7.13929029970917
0.0485	6.08377220760856
0.049	2.04762145074347
0.0495	-4.23425915524617
0.05	-3.8849078169492
0.0505	0.268431005817835
0.051	4.83252763530177
0.0515	1.60425075024925
0.052	-6.10862385412069
0.0525	-12.7456923101505
0.053	-7.04979122756034
0.0535	3.45766803082261
0.054	11.3141544956244
0.0545	10.7751660076637
0.055	0.544650581015407
0.0555	-0.873884125799128
0.056	1.51084680933405
