Subject	dose	Data
1	10	0.710732165097222
2	10	0.982502090224878
3	10	0.559060633701904
4	10	1.37374937919504
5	10	0.926810461743094
6	10	1.54904716107038
7	10	1.25213841621543
8	10	1.21170873901982
9	10	1.70648966360993
10	10	1.19833109884999
11	10	1.09553895237182
12	10	0.933544762168857
13	10	1.23081211277574
14	10	1.26171021050004
15	10	1.17466912879169
16	10	0.695839569583265
17	10	1.78488731410609
18	10	0.6872840115111
19	10	1.12662281946967
20	10	1.63983467631006
21	10	1.47527017577328
22	10	1.04402504186872
23	10	1.93349561028093
24	10	0.806836530344787
25	10	1.07456901379543
26	10	0.824565654273121
27	10	0.539684785286803
28	10	0.993696948651071
29	10	0.589411425910363
30	10	1.55310501722152
1	20	0.882614038042792
2	20	0.9734712038423
3	20	0.66254738827137
4	20	1.16987249148504
5	20	0.883150203528277
6	20	0.938525105764288
7	20	1.07615574816981
8	20	1.15920650116819
9	20	0.977817461723317
10	20	0.73842192674448
11	20	1.53741123784705
12	20	1.16370453380231
13	20	1.50813622511146
14	20	1.10128321333274
15	20	0.494134057086781
16	20	1.09868142058415
17	20	1.28111007639895
18	20	0.357682640656745
19	20	0.882239191950282
20	20	1.04650773261695
21	20	1.2618403234649
22	20	0.943734915181729
23	20	0.628231376973869
24	20	0.688497944462716
25	20	1.32468388467044
26	20	0.63166141839239
27	20	0.811129040790748
28	20	0.713052067990542
29	20	0.594455874349328
30	20	1.23300060030206
1	30	0.444661537747185
2	30	1.11255970386234
3	30	0.668307238768383
4	30	1.00225826855399
5	30	0.867154017188416
6	30	0.871696912404602
7	30	1.23451154937506
8	30	0.978503670662019
9	30	0.672188926416237
10	30	0.712999850110144
11	30	1.04905445925757
12	30	0.428859742188724
13	30	1.64407178492348
14	30	1.63719975252787
15	30	0.710876934961395
16	30	0.861997881029435
17	30	1.4673786905397
18	30	0.64380511616885
19	30	1.26493818033611
20	30	1.35726662293678
21	30	1.47998106689641
22	30	1.5033369450577
23	30	1.01944732833898
24	30	0.828518006336684
25	30	1.11696175507041
26	30	0.931204910832189
27	30	0.942996996960767
28	30	1.18847412153484
29	30	0.995764412437832
30	30	1.47084211862392
