1	0.19344	-0.17723	0.60217
1.5	2.05124	3.2872	2.73368
2	0.8005	0.05259	0.844
2.5	4.78881	4.43246	4.05003
3	2.38268	2.35852	2.6163
3.5	3.70147	3.6181	4.25919
4	5.65325	4.96127	5.91891
4.5	5.71434	4.89645	6.02568
5	6.89482	6.13849	6.42774
5.5	9.5293	11.50031	9.57782
6	6.62465	6.39728	6.97919
6.5	6.19677	5.94413	6.24221
7	9.02735	9.15512	8.98242
7.5	6.77763	7.01455	6.48121
8	10.51391	10.41749	11.49313
8.5	10.75611	9.50127	10.97156
9	10.71643	11.05868	11.01124
9.5	12.98539	12.56804	12.41505
10	12.15271	12.63684	10.84096
10.5	12.44126	12.03103	10.92573
