Indep1	Indep2	Indep3	Dep
0.860591635760228	0.108325963801558	0.399054546988653	4.64309
0.405849525285829	0.463523388914599	0.038730535378651	0.70746
0.442197751801876	0.860038869027224	0.850807172152302	1.27993
0.75473984495065	0.653015069454387	0.388098312294062	2.6205
0.439459931838835	0.839640453936873	0.374380299532634	0.15203
0.0866702311605971	0.202581652534376	0.225843784859218	0.39628
0.115121912013869	0.323174192792749	0.202113114173462	0.27545
0.0574999729898071	0.288531654442143	0.3074613607625	-0.44884
0.189518906650472	0.484560245404944	0.549346394981224	0.74341
0.696902260365713	0.332856638405594	0.786217965980021	3.86449
0.311751975921515	0.39712279779321	0.441664138778538	1.44993
0.0439219429630711	0.197117709030733	0.614211270368991	0.80391
0.802196452139712	0.544509001951329	0.609632873630157	3.77007
0.474698172918226	0.878412699623819	0.874800858034999	1.50155
0.776135447643027	0.304662653847103	0.445021551202272	3.65191
0.0641320089233258	0.707647291115912	0.71436792050654	-0.52684
0.573848833463502	0.423892821941123	0.892325025696787	3.4889
0.392067723071248	0.803962216451092	0.477167742587636	0.4742
0.337622218633934	0.370904850119192	0.938672149113954	2.59968
0.0877813750651905	0.890788487272046	0.257762081374991	-1.4699
0.0150335145803699	0.975473448654293	0.983581293355149	-0.95721
0.752916540404393	0.55952407313782	0.194550245024545	3.06541
0.440092060993061	0.224596947393822	0.603379120506161	2.73456
0.478977243256087	0.849144037758255	0.860066175686986	1.89822
0.877563934229561	0.298590389935544	0.729042579372329	5.17614
0.588819727460092	0.0410429466520743	0.471019548917033	3.78509
0.638283945456584	0.540992465375328	0.867352021604342	3.37835
-0.0124357952281336	0.380196851285436	0.503260310738413	-0.21622
0.782942811390704	0.674781115982459	0.460315946291937	2.80303
0.980064320957208	0.102022851169635	0.128336956206372	4.85405
