1	1.73205	5.45537	0.16872	-1.54484
2	2.64575	4.86086	0.2006	-2.13974
3	0	4.80313	0	-2.19845
4	1.73205	4.73943	0.09676	-2.2645
5	1.41421	5.43763	0.13426	-1.57163
6	2.44949	5.08957	0.20184	-1.93109
7	3.16228	5.16686	0.27855	-1.87677
8	2.64575	5.56043	0.2619	-1.52674
9	2.44949	5.16695	0.19517	-1.99786
10	1.73205	5.4873	0.14247	-1.8078
11	2.23607	5.35075	0.15883	-2.15077
12	2.23607	5.32024	0.12582	-2.49385
13	3.16228	6.16073	0.2614	-2.11837
14	3.74166	7.14713	0.36562	-1.83872
15	4.3589	6.97134	0.34809	-3.1285
16	4.89898	7.64743	0.40324	-4.19214
17	5.19615	8.27378	0.43115	-6.0293
18	5.83095	9.50782	0.56373	-7.66574
19	7	9.27289	0.62076	-10.32405
20	7.14143	9.80377	0.67518	-10.75506
21	8.06226	9.34617	0.73431	-10.25077
22	8.42615	8.73009	0.74547	-8.44347
23	8.77496	8.66053	0.82771	-5.64256
24	8.94427	7.78151	0.82118	-4.05806
25	8.94427	7.28842	0.83834	-2.81143
26	9.05539	6.97405	0.87968	-2.0118
27	8.77496	6.10666	0.81727	-2.17244
28	8.3666	5.61341	0.76819	-2.20068
29	7.68115	5.84364	0.75262	-1.65788
30	7.61577	5.21247	0.70336	-2.08262
31	6.63325	4.85878	0.58273	-2.30603
32	5.91608	5.37123	0.57001	-1.71594
33	4.89898	5.17245	0.45278	-1.87118
34	4.24264	5.30932	0.40313	-1.71135
35	3.31662	4.62689	0.24343	-2.38236
36	3.87298	4.88378	0.32528	-2.12014
37	3.74166	4.66449	0.29046	-2.33708
38	3.16228	4.67636	0.2338	-2.32424
39	2	4.64762	0.11474	-2.3526
40	2.44949	4.7084	0.16578	-2.29167
41	1.41421	4.5782	0.04924	-2.42182
42	2.82843	5.14225	0.24707	-1.85775
43	1.41421	5.39912	0.13133	-1.60088
44	2.82843	4.86976	0.21982	-2.13024
45	0	5.19786	0	-1.80214
46	3	4.6713	0.21713	-2.3287
47	3.16228	4.5345	0.21968	-2.4655
48	2.82843	4.74139	0.20698	-2.25861
49	2.64575	5.4021	0.25478	-1.5979
50	1	4.66831	0.01683	-2.33169
