Displacement	Sensor Output
mm	mV
1	0.38
1.5	1.65
2.08065618591934	3.39286725162751
2.580997949419	4.49787715822247
3.1660970608339	5.87913954146618
3.72112098427888	6.89357486555335
4.27614490772385	7.95329748089442
4.52494873547505	8.78205491084065
4.91592617908407	10.0274554203227
5.44360902255639	10.625247664874
5.91660970608339	10.9920747240306
6.55365686944634	10.4395697707331
7.19343814080656	10.3037078969714
7.69377990430622	10.9015001415228
8.19412166780588	10.4395697707331
8.60970608339029	10.9467874327767
9.11004784688995	11.6396829889612
9.49829118250171	11.4992923860742
10.025974025974	11.5943956977073
10.5837320574163	11.7755448627229
