1	-1.83853	-1.51521	-1.98968
2	-2.41857	-2.06517	-2.57968
3	-2.46076	-2.07308	-2.63282
4	-2.50838	-2.08143	-2.69248
5	-1.79486	-1.32266	-1.99225
6	-2.13109	-1.60646	-2.34316
7	-2.05049	-1.46471	-2.27883
8	-1.67058	-1.01301	-1.91697
9	-2.10751	-1.36502	-2.37394
10	-1.87779	-1.0341	-2.1665
11	-2.17279	-1.20748	-2.48622
12	-2.44989	-1.33713	-2.79067
13	-1.95791	-0.66475	-2.32872
14	-1.42123	0.09473	-1.82456
15	-2.12519	-0.3315	-2.56282
16	-2.00651	0.13638	-2.47836
17	-1.89308	0.69188	-2.39493
18	-1.03857	2.10782	-1.55705
19	-1.43065	2.42579	-1.93211
20	-0.76205	3.97653	-1.1654
21	-0.74232	5.04454	-0.84671
22	-0.525	6.39066	0.2117
23	0.59728	8.47832	3.86831
24	1.28638	9.51024	13.18305
25	2.81555	10.17151	29.27011
26	5.1715	9.98415	13.65695
27	7.968	8.37391	3.7639
28	12.4565	6.67732	0.49836
29	18.29129	5.60875	-0.2825
30	20.56766	3.78404	-1.3579
31	17.64022	2.41222	-1.94568
32	12.92531	2.08555	-1.57931
33	8.19912	1.20534	-1.88147
34	5.21871	0.79158	-1.82316
35	2.49408	-0.33588	-2.56721
36	1.3987	-0.43993	-2.35923
37	0.25809	-0.95359	-2.61756
38	-0.37784	-1.18347	-2.637
39	-0.8758	-1.41228	-2.69102
40	-1.16406	-1.51843	-2.65083
41	-1.56007	-1.78905	-2.79797
42	-1.20265	-1.34403	-2.24799
43	-1.10933	-1.18882	-2.00294
44	-1.77021	-1.8056	-2.54231
45	-1.54936	-1.55318	-2.22277
46	-2.16445	-2.14563	-2.75668
47	-2.37517	-2.34014	-2.89987
48	-2.2306	-2.18405	-2.69856
49	-1.62289	-1.56827	-2.04274
50	-2.40213	-2.34198	-2.78084
