Displacement	Sensor Output
mm	mV
1	2.22666666666667
1.62952836637047	3.55080667987546
2.02870813397129	4.81106708180017
2.65481886534518	6.23690914237192
3	8.94
3.5	10.8633333333333
4.08475734791524	12.3910274554203
4.62611073137389	13.7984715539202
4.86671223513329	15.6106708180017
5.5	15.5366666666667
6	17
6.4771018455229	19.5938296065667
7	19.02
7.42583732057416	21.5256156241155
7.87423103212577	24.3864987262949
8.5	24.4633333333333
8.97334244702666	27.0726011887914
9.42447026657553	28.7560147183697
9.99863294600137	30.2646476082649
10.5	29.95
