Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc81	conc81	conc82	conc82	conc83	conc83	conc84	conc84	conc85	conc85	conc86	conc86	conc87	conc87	conc88	conc88
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.03595	1.8	0.067627	2	0.035278	2.2	0.065674	2.4	0.002014	2.6	0.008301	2.8	0.074036	3	0.065063
Data Point# 2	3.2	0.120544	3.4	0.097229	3.6	0.126526	3.8	0.151917	4	0.108276	4.2	0.111572	4.4	0.194702	4.6	0.169983
Data Point# 3	4.8	0.217834	5	0.196655	5.2	0.219849	5.4	0.229919	5.6	0.218628	5.8	0.218994	6	0.241333	6.2	0.239319
Data Point# 4	6.4	0.327942	6.6	0.298157	6.8	0.307007	7	0.355225	7.2	0.282043	7.4	0.332703	7.6	0.355713	7.8	0.335876
Data Point# 5	8	0.404114	8.2	0.408203	8.4	0.429504	8.6	0.431274	8.8	0.40271	9	0.374023	9.2	0.442566	9.4	0.432556
Data Point# 6	9.6	0.469788	9.8	0.484436	10	0.464783	10.2	0.515503	10.4	0.466125	10.6	0.496033	10.8	0.493408	11	0.491394
Data Point# 7	11.2	0.541809	11.4	0.567017	11.6	0.566589	11.8	0.589478	12	0.592957	12.2	0.56842	12.4	0.561218	12.6	0.552307
Data Point# 8	12.8	0.618042	13	0.617859	13.2	0.608093	13.4	0.647034	13.6	0.564331	13.8	0.55188	14	0.633301	14.2	0.613281
Data Point# 9	14.4	0.664673	14.6	0.696228	14.8	0.67041	15	0.702576	15.2	0.644104	15.4	0.609802	15.6	0.684204	15.8	0.636414
Data Point# 10	16	0.713379	16.2	0.717407	16.4	0.707825	16.6	0.71698	16.8	0.67688	17	0.655334	17.2	0.67572	17.4	0.697388
Data Point# 11	17.6	0.740967	17.8	0.755554	18	0.736938	18.2	0.768372	18.4	0.719849	18.6	0.700867	18.8	0.70752	19	0.735229
Data Point# 12	19.2	0.789673	19.4	0.810608	19.6	0.780579	19.8	0.799255	20	0.736267	20.2	0.694641	20.4	0.762634	20.6	0.739441
Data Point# 13	20.8	0.825745	21	0.812744	21.2	0.809631	21.4	0.79718	21.6	0.793579	21.8	0.760864	22	0.766907	22.2	0.766785
Data Point# 14	22.4	0.810913	22.6	0.846619	22.8	0.826294	23	0.842468	23.2	0.809937	23.4	0.773254	23.6	0.764771	23.8	0.773071
Data Point# 15	24	0.836365	24.2	0.869934	24.4	0.834595	24.6	0.877441	24.8	0.799744	25	0.773254	25.2	0.811462	25.4	0.80249
