Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc25	conc25	conc26	conc26	conc27	conc27	conc28	conc28	conc29	conc29	conc30	conc30	conc31	conc31	conc32	conc32
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0	1.8	-0.004211	2	-0.006226	2.2	0.061951	2.4	-0.002014	2.6	0.03064	2.8	0.101501	3	0.172363
Data Point# 2	3.2	0	3.4	0.016846	3.6	-0.010376	3.8	0.07019	4	0.047119	4.2	0.147034	4.4	0.264404	4.6	0.407166
Data Point# 3	4.8	0.010498	5	0.016846	5.2	0.008301	5.4	0.088745	5.6	0.131165	5.8	0.232788	6	0.399841	6.2	0.581848
Data Point# 4	6.4	0	6.6	0.018982	6.8	0.051819	7	0.125916	7.2	0.17627	7.4	0.326782	7.6	0.528931	7.8	0.671265
Data Point# 5	8	0.002136	8.2	0.025269	8.4	0.037292	8.6	0.150696	8.8	0.223389	9	0.404419	9.2	0.609436	9.4	0.719116
Data Point# 6	9.6	-0.004211	9.8	0.021057	10	0.078735	10.2	0.16925	10.4	0.276733	10.6	0.500488	10.8	0.704712	11	0.812744
Data Point# 7	11.2	0.006287	11.4	0.035828	11.6	0.082886	11.8	0.171326	12	0.334167	12.2	0.539368	12.4	0.717468	12.6	0.833557
Data Point# 8	12.8	0.027283	13	0.078003	13.2	0.116028	13.4	0.231201	13.6	0.401855	13.8	0.608887	14	0.802185	14.2	0.889771
Data Point# 9	14.4	0.014709	14.6	0.067505	14.8	0.128418	15	0.251831	15.2	0.428528	15.4	0.645691	15.6	0.812805	15.8	0.918884
Data Point# 10	16	0.041992	16.2	0.092773	16.4	0.142944	16.6	0.280762	16.8	0.485962	17	0.68866	17.2	0.848816	17.4	0.952209
Data Point# 11	17.6	0.018921	17.8	0.086487	18	0.132568	18.2	0.299316	18.4	0.514648	18.6	0.743896	18.8	0.886963	19	0.985474
Data Point# 12	19.2	0.041992	19.4	0.111755	19.6	0.159546	19.8	0.315857	20	0.547485	20.2	0.752075	20.4	0.886963	20.6	0.937622
Data Point# 13	20.8	0.046204	21	0.113892	21.2	0.194763	21.4	0.363342	21.6	0.580322	21.8	0.760254	22	0.937866	22.2	1.000061
Data Point# 14	22.4	0.029419	22.6	0.10968	22.8	0.186462	23	0.361267	23.2	0.615234	23.4	0.795044	23.6	0.918762	23.8	1.002136
Data Point# 15	24	0.05249	24.2	0.122314	24.4	0.20929	24.6	0.398438	24.8	0.625488	25	0.817566	25.2	0.948425	25.4	1.029236
Data Point# 16	25.6	0.058777	25.8	0.103333	26	0.236206	26.2	0.447998	26.4	0.650146	26.6	0.838013	26.8	0.971741	27	1.033386
Data Point# 17	27.2	0.050415	27.4	0.139221	27.6	0.242432	27.8	0.421143	28	0.687073	28.2	0.850281	28.4	0.980225	28.6	1.041748
Data Point# 18	28.8	0.041992	29	0.132874	29.2	0.22583	29.4	0.437683	29.6	0.695313	29.8	0.860535	30	0.978149	30.2	1.054199
Data Point# 19	30.4	0.048279	30.6	0.145508	30.8	0.22998	31	0.481079	31.2	0.711731	31.4	0.887146	31.6	1.009949	31.8	1.047974
Data Point# 20	32	0.0672	32.2	0.158203	32.4	0.281799	32.6	0.503784	32.8	0.701477	33	0.88916	33.2	1.016296	33.4	1.070862
Data Point# 21	33.6	0.077698	33.8	0.179321	34	0.2901	34.2	0.51825	34.4	0.740479	34.6	0.891235	34.8	1.033264	35	1.077148
