Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc65	conc65	conc66	conc66	conc67	conc67	conc68	conc68	conc69	conc69	conc70	conc70	conc71	conc71	conc72	conc72
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	-0.00415	1.8	0.042297	2	0.002075	2.2	0.016541	2.4	-0.030823	2.6	0.022644	2.8	0.05304	3	-0.023132
Data Point# 2	3.2	0.033569	3.4	0.027527	3.6	-0.01239	3.8	0.051758	4	-0.012329	4.2	0.043152	4.4	0.027588	4.6	-0.016785
Data Point# 3	4.8	-0.002075	5	0.057129	5.2	-0.014465	5.4	0.031067	5.6	-0.016479	5.8	0.041077	6	0.065735	6.2	0.012634
Data Point# 4	6.4	-0.002075	6.6	0.095276	6.8	0.047668	7	0.057983	7.2	0.020508	7.4	0.055481	7.6	0.067871	7.8	0.002136
Data Point# 5	8	0.062988	8.2	0.076233	8.4	0.06012	8.6	0.074585	8.8	0.032837	9	0.088379	9.2	0.097595	9.4	0.021057
Data Point# 6	9.6	0.062988	9.8	0.07196	10	0.033203	10.2	0.07251	10.4	0.034912	10.6	0.098633	10.8	0.106079	11	0.044128
Data Point# 7	11.2	0.077637	11.4	0.112183	11.6	0.055969	11.8	0.099426	12	0.080139	12.2	0.104797	12.4	0.099731	12.6	0.063049
Data Point# 8	12.8	0.079773	13	0.141846	13.2	0.120239	13.4	0.103577	13.6	0.05957	13.8	0.113037	14	0.146423	14.2	0.075684
Data Point# 9	14.4	0.081848	14.6	0.107971	14.8	0.101563	15	0.147095	15.2	0.069824	15.4	0.154114	15.6	0.129456	15.8	0.103027
Data Point# 10	16	0.115417	16.2	0.146118	16.4	0.103638	16.6	0.134644	16.8	0.117126	17	0.147949	17.2	0.152771	17.4	0.12616
Data Point# 11	17.6	0.138489	17.8	0.190552	18	0.130615	18.2	0.147095	18.4	0.115051	18.6	0.162354	18.8	0.154907	19	0.145081
Data Point# 12	19.2	0.146912	19.4	0.211731	19.6	0.155457	19.8	0.180237	20	0.117126	20.2	0.174683	20.4	0.199524	20.6	0.121948
Data Point# 13	20.8	0.151123	21	0.177856	21.2	0.145081	21.4	0.192688	21.6	0.139709	21.8	0.20343	22	0.199524	22.2	0.147217
Data Point# 14	22.4	0.174194	22.6	0.232971	22.8	0.199036	23	0.211365	23.2	0.172607	23.4	0.201416	23.6	0.218628	23.8	0.149292
Data Point# 15	24	0.169983	24.2	0.256226	24.4	0.211426	24.6	0.221741	24.8	0.168518	25	0.226074	25.2	0.239807	25.4	0.15979
Data Point# 16	25.6	0.216187	25.8	0.262634	26	0.228027	26.2	0.232117	26.4	0.172607	26.6	0.232239	26.8	0.233459	27	0.187134
Data Point# 17	27.2	0.222473	27.4	0.262634	27.6	0.203125	27.8	0.232117	28	0.21582	28.2	0.254822	28.4	0.237732	28.6	0.195557
Data Point# 18	28.8	0.218262	29	0.290161	29.2	0.232178	29.4	0.250732	29.6	0.209595	29.8	0.252808	30	0.278076	30.2	0.18927
Data Point# 19	30.4	0.262329	30.6	0.30072	30.8	0.250854	31	0.288086	31.2	0.221985	31.4	0.271301	31.6	0.299316	31.8	0.2229
Data Point# 20	32	0.277039	32.2	0.298645	32.4	0.246704	32.6	0.283936	32.8	0.21582	33	0.271301	33.2	0.292908	33.4	0.254456
Data Point# 21	33.6	0.270752	33.8	0.288025	34	0.230103	34.2	0.315002	34.4	0.28363	34.6	0.302124	34.8	0.292908	35	0.26709
Data Point# 22	35.2	0.268616	35.4	0.347351	35.6	0.302673	35.8	0.315002	36	0.267212	36.2	0.306213	36.4	0.322632	36.6	0.269165
Data Point# 23	36.8	0.295959	37	0.338867	37.2	0.294373	37.4	0.329529	37.6	0.269226	37.8	0.310364	38	0.329041	38.2	0.288086
Data Point# 24	38.4	0.270752	38.6	0.341003	38.8	0.300598	39	0.331604	39.2	0.277466	39.4	0.332947	39.6	0.326904	39.8	0.313354
Data Point# 25	40	0.306458	40.2	0.372803	40.4	0.3172	40.6	0.333679	40.8	0.302185	41	0.343262	41.2	0.373657	41.4	0.302856
Data Point# 26	41.6	0.342163	41.8	0.368591	42	0.331726	42.2	0.352356	42.4	0.285706	42.6	0.363831	42.8	0.341797	43	0.315491
Data Point# 27	43.2	0.369446	43.4	0.385498	43.6	0.340027	43.8	0.379333	44	0.322693	44.2	0.363831	44.4	0.405518	44.6	0.323853
Data Point# 28	44.8	0.34845	45	0.430054	45.2	0.364929	45.4	0.383484	45.6	0.345337	45.8	0.380249	46	0.384277	46.2	0.3302
Data Point# 29	46.4	0.375732	46.6	0.42157	46.8	0.383606	47	0.4104	47.2	0.349487	47.4	0.409058	47.6	0.382141	47.8	0.342834
Data Point# 30	48	0.384155	48.2	0.419434	48.4	0.367004	48.6	0.4104	48.8	0.361816	49	0.390564	49.2	0.420349	49.4	0.37439
Data Point# 31	49.6	0.403015	49.8	0.419434	50	0.389832	50.2	0.40625	50.4	0.37207	50.6	0.400818	50.8	0.405518	51	0.37439
Data Point# 32	51.2	0.398865	51.4	0.493652	51.6	0.396057	51.8	0.416626	52	0.365906	52.2	0.417297	52.4	0.450134	52.6	0.342834
Data Point# 33	52.8	0.419861	53	0.485168	53.2	0.464478	53.4	0.460205	53.6	0.347412	53.8	0.431702	54	0.456482	54.2	0.403809
Data Point# 34	54.4	0.417725	54.6	0.472412	54.8	0.414734	55	0.437378	55.2	0.407043	55.4	0.454285	55.6	0.435242	55.8	0.420654
Data Point# 35	56	0.426147	56.2	0.491516	56.4	0.445801	56.6	0.46228	56.8	0.419373	57	0.458435	57.2	0.464966	57.4	0.393311
Data Point# 36	57.6	0.451355	57.8	0.508484	58	0.456177	58.2	0.480957	58.4	0.384399	58.6	0.474854	58.8	0.460754	59	0.427002
Data Point# 37	59.2	0.459778	59.4	0.478821	59.6	0.431274	59.8	0.489258	60	0.435852	60.2	0.454285	60.4	0.488342	60.6	0.456482
