Data Source: ForteBio Octet
Station ID: Alpha02
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc49	conc49	conc50	conc50	conc51	conc51	conc52	conc52	conc53	conc53	conc54	conc54	conc55	conc55	conc56	conc56
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	-0.012634	1.8	-0.006409	2	0	2.2	-0.020386	2.4	-0.014221	2.6	0.014404	2.8	0.012756	3	-0.004211
Data Point# 2	3.2	0.014709	3.4	-0.042542	3.6	0	3.8	-0.016296	4	0	4.2	0	4.4	0.029724	4.6	0.002075
Data Point# 3	4.8	0.014709	5	-0.002136	5.2	0.010315	5.4	-0.008118	5.6	0.002075	5.8	0	6	0.036072	6.2	0.006287
Data Point# 4	6.4	-0.006287	6.6	0.016968	6.8	0.018555	7	-0.014282	7.2	-0.012207	7.4	0.030884	7.6	0.019104	7.8	0.035706
Data Point# 5	8	-0.006287	8.2	-0.019165	8.4	0.032959	8.6	-0.010193	8.8	-0.0224	9	0.026794	9.2	0.057312	9.4	0.004211
Data Point# 6	9.6	0.02948	9.8	-0.017029	10	0.006165	10.2	-0.016296	10.4	-0.008118	10.6	0.02063	10.8	0.03186	11	0.044128
Data Point# 7	11.2	-0.002075	11.4	0.019104	11.6	0.049438	11.8	0.006104	12	-0.002014	12.2	0.01239	12.4	0.033997	12.6	0.037842
Data Point# 8	12.8	0.010498	13	0.01062	13.2	0.041199	13.4	0.012268	13.6	0.002075	13.8	0.043274	14	0.036072	14.2	0.031494
Data Point# 9	14.4	0.037903	14.6	0.004211	14.8	0.006165	15	0.026489	15.2	0.026489	15.4	0.01239	15.6	0.059448	15.8	0.037842
Data Point# 10	16	0.016846	16.2	0.025452	16.4	0.026794	16.6	-0.006104	16.8	0.050903	17	0.02887	17.2	0.046692	17.4	0.03363
Data Point# 11	17.6	0.021057	17.8	0.050964	18	0.045349	18.2	0.036682	18.4	0.030579	18.6	0.037109	18.8	0.055176	19	0.029419
Data Point# 12	19.2	0.048401	19.4	0.038208	19.6	0.02887	19.8	0.024475	20	0.04071	20.2	0.018555	20.4	0.078552	20.6	0.05249
Data Point# 13	20.8	0.044189	21	0.029724	21.2	0.024719	21.4	0.012268	21.6	0.032593	21.8	0.053589	22	0.067932	22.2	0.065125
Data Point# 14	22.4	0.02948	22.6	0.065857	22.8	0.051514	23	0.010193	23.2	0.034607	23.4	0.051514	23.6	0.072144	23.8	0.069336
Data Point# 15	24	0.023132	24.2	0.044617	24.4	0.053589	24.6	0.061157	24.8	0.034607	25	0.037109	25.2	0.072144	25.4	0.039917
Data Point# 16	25.6	0.061035	25.8	0.025452	26	0.067993	26.2	0.046875	26.4	0.059082	26.6	0.053589	26.8	0.061523	27	0.058838
Data Point# 17	27.2	0.061035	27.4	0.076477	27.6	0.078247	27.8	0.018372	28	0.054993	28.2	0.053589	28.4	0.078552	28.6	0.069336
Data Point# 18	28.8	0.054749	29	0.087097	29.2	0.094727	29.4	0.040771	29.6	0.04071	29.8	0.061829	30	0.072144	30.2	0.077759
Data Point# 19	30.4	0.071594	30.6	0.050964	30.8	0.047363	31	0.026489	31.2	0.032593	31.4	0.065918	31.6	0.072144	31.8	0.090332
Data Point# 20	32	0.086304	32.2	0.055237	32.4	0.059753	32.6	0.014282	32.8	0.034607	33	0.055603	33.2	0.080627	33.4	0.102966
Data Point# 21	33.6	0.065247	33.8	0.067993	34	0.088562	34.2	0.036682	34.4	0.073303	34.6	0.053589	34.8	0.06366	35	0.084045
Data Point# 22	35.2	0.05896	35.4	0.08075	35.6	0.088562	35.8	0.036682	36	0.030579	36.2	0.057678	36.4	0.087036	36.6	0.050415
Data Point# 23	36.8	0.067383	37	0.050964	37.2	0.045349	37.4	0.067261	37.6	0.069214	37.8	0.088562	38	0.097656	38.2	0.079834
Data Point# 24	38.4	0.109497	38.6	0.097717	38.8	0.094727	39	0.036682	39.2	0.105896	39.4	0.076233	39.6	0.082764	39.8	0.102966
Data Point# 25	40	0.063171	40.2	0.097717	40.4	0.094727	40.6	0.046875	40.8	0.081421	41	0.067993	41.2	0.0849	41.4	0.069336
Data Point# 26	41.6	0.094727	41.8	0.048828	42	0.070068	42.2	0.067261	42.4	0.052917	42.6	0.082397	42.8	0.131592	43	0.092468
Data Point# 27	43.2	0.113708	43.4	0.087097	43.6	0.105042	43.8	0.073425	44	0.103821	44.2	0.092712	44.4	0.10614	44.6	0.109253
Data Point# 28	44.8	0.077881	45	0.127502	45.2	0.125671	45.4	0.07135	45.6	0.06311	45.8	0.088562	46	0.110352	46.2	0.098755
Data Point# 29	46.4	0.090515	46.6	0.093506	46.8	0.119446	47	0.089722	47.2	0.091614	47.4	0.098877	47.6	0.114624	47.8	0.11554
Data Point# 30	48	0.122131	48.2	0.074341	48.4	0.133911	48.6	0.065247	48.8	0.124207	49	0.084473	49.2	0.123108	49.4	0.128174
Data Point# 31	49.6	0.107361	49.8	0.11261	50	0.098877	50.2	0.065247	50.4	0.116028	50.6	0.103027	50.8	0.104004	51	0.109253
Data Point# 32	51.2	0.11792	51.4	0.13385	51.6	0.123596	51.8	0.083618	52	0.087524	52.2	0.082397	52.4	0.110352	52.6	0.13446
Data Point# 33	52.8	0.105286	53	0.116882	53.2	0.086487	53.4	0.0979	53.6	0.08551	53.8	0.078308	54	0.137939	54.2	0.11554
Data Point# 34	54.4	0.119995	54.6	0.087097	54.8	0.098877	55	0.050964	55.2	0.13031	55.4	0.119507	55.6	0.112488	55.8	0.13446
Data Point# 35	56	0.096863	56.2	0.12323	56.4	0.140076	56.6	0.089722	56.8	0.114014	57	0.127747	57.2	0.127319	57.4	0.155457
Data Point# 36	57.6	0.107361	57.8	0.121155	58	0.138	58.2	0.108093	58.4	0.109924	58.6	0.109192	58.8	0.127319	59	0.130249
Data Point# 37	59.2	0.149475	59.4	0.114746	59.6	0.148315	59.8	0.106018	60	0.136414	60.2	0.119507	60.4	0.129456	60.6	0.128174
