Data Source: ForteBio Octet
Station ID: Alpha02
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc73	conc73	conc74	conc74	conc75	conc75	conc76	conc76	conc77	conc77	conc78	conc78	conc79	conc79	conc80	conc80
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.010437	1.8	-0.031555	2	0.002075	2.2	0.020508	2.4	0.01239	2.6	0.03717	2.8	-0.008362	3	0.024963
Data Point# 2	3.2	0.05011	3.4	-0.006348	3.6	0.035034	3.8	0.018433	4	0.024841	4.2	0.059875	4.4	0.002075	4.6	0.06665
Data Point# 3	4.8	0.060547	5	0.025208	5.2	0.055664	5.4	0.045166	5.6	0.028931	5.8	0.053711	6	0.025085	6.2	0.085388
Data Point# 4	6.4	0.07312	6.6	0.07782	6.8	0.070068	7	0.102661	7.2	0.072388	7.4	0.119751	7.6	0.056519	7.8	0.106201
Data Point# 5	8	0.12323	8.2	0.086243	8.4	0.090698	8.6	0.112915	8.8	0.107544	9	0.152832	9.2	0.10675	9.4	0.129089
Data Point# 6	9.6	0.14624	9.8	0.109436	10	0.103088	10.2	0.121155	10.4	0.105469	10.6	0.158997	10.8	0.148621	11	0.174927
Data Point# 7	11.2	0.167175	11.4	0.140991	11.6	0.133972	11.8	0.139587	12	0.157227	12.2	0.198242	12.4	0.146545	12.6	0.183228
Data Point# 8	12.8	0.165039	13	0.162048	13.2	0.171143	13.4	0.209473	13.6	0.215149	13.8	0.218933	14	0.198853	14.2	0.249878
Data Point# 9	14.4	0.198486	14.6	0.187317	14.8	0.220642	15	0.219727	15.2	0.190308	15.4	0.251953	15.6	0.230286	15.8	0.243652
Data Point# 10	16	0.23822	16.2	0.204102	16.4	0.237122	16.6	0.217651	16.8	0.229614	17	0.272644	17.2	0.230286	17.4	0.276978
Data Point# 11	17.6	0.26123	17.8	0.25885	18	0.249512	18.2	0.244385	18.4	0.246155	18.6	0.291199	18.8	0.270081	19	0.285278
Data Point# 12	19.2	0.277954	19.4	0.286255	19.6	0.274231	19.8	0.318359	20	0.297913	20.2	0.289124	20.4	0.272156	20.6	0.297791
Data Point# 13	20.8	0.32605	21	0.296753	21.2	0.317566	21.4	0.31427	21.6	0.328979	21.8	0.34491	22	0.309875	22.2	0.381104
Data Point# 14	22.4	0.34906	22.6	0.328369	22.8	0.329956	23	0.345093	23.2	0.34137	23.4	0.3573	23.6	0.318237	23.8	0.333191
Data Point# 15	24	0.361572	24.2	0.336792	24.4	0.395996	24.6	0.367676	24.8	0.33728	25	0.377991	25.2	0.351807	25.4	0.389465
Data Point# 16	25.6	0.386658	25.8	0.368408	26	0.406311	26.2	0.37793	26.4	0.372437	26.6	0.413147	26.8	0.381104	27	0.422791
Data Point# 17	27.2	0.407593	27.4	0.385254	27.6	0.416626	27.8	0.384094	28	0.403503	28.2	0.413147	28.4	0.379028	28.6	0.41864
Data Point# 18	28.8	0.413879	29	0.385254	29.2	0.4104	29.4	0.439636	29.6	0.409729	29.8	0.448242	30	0.42511	30.2	0.429077
