Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc89	conc89	conc90	conc90	conc91	conc91	conc92	conc92	conc93	conc93	conc94	conc94	conc95	conc95	conc96	conc96
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.039551	1.8	0.076172	2	0.054138	2.2	0.080566	2.4	0.107422	2.6	0.08075	2.8	0.102173	3	0.07373
Data Point# 2	3.2	0.199951	3.4	0.230713	3.6	0.195679	3.8	0.24176	4	0.229309	4.2	0.22998	4.4	0.242615	4.6	0.276001
Data Point# 3	4.8	0.34375	5	0.374695	5.2	0.370605	5.4	0.403076	5.6	0.376038	5.8	0.370911	6	0.359741	6.2	0.408813
Data Point# 4	6.4	0.49176	6.6	0.527283	6.8	0.506042	7	0.545776	7.2	0.506348	7.4	0.497437	7.6	0.515259	7.8	0.486816
Data Point# 5	8	0.619019	8.2	0.63324	8.4	0.591492	8.6	0.649292	8.8	0.603516	9	0.559631	9.2	0.587646	9.4	0.607056
Data Point# 6	9.6	0.683716	9.8	0.726501	10	0.712463	10.2	0.696899	10.4	0.669739	10.6	0.64679	10.8	0.645203	11	0.69989
Data Point# 7	11.2	0.742126	11.4	0.785889	11.6	0.766663	11.8	0.773499	12	0.773193	12.2	0.698669	12.4	0.666504	12.6	0.746338
Data Point# 8	12.8	0.752563	13	0.836792	13.2	0.812561	13.4	0.819031	13.6	0.773193	13.8	0.7547	14	0.745422	14.2	0.744202
Data Point# 9	14.4	0.823547	14.6	0.841064	14.8	0.837585	15	0.848022	15.2	0.795959	15.4	0.806641	15.6	0.747559	15.8	0.811768
Data Point# 10	16	0.867371	16.2	0.887695	16.4	0.881409	16.6	0.918457	16.8	0.841553	17	0.817017	17.2	0.764587	17.4	0.837097
Data Point# 11	17.6	0.877808	17.8	0.919556	18	0.898071	18.2	0.916382	18.4	0.876709	18.6	0.829468	18.8	0.802979	19	0.858215
Data Point# 12	19.2	0.902893	19.4	0.968323	19.6	0.923157	19.8	0.934998	20	0.878784	20.2	0.860596	20.4	0.830688	20.6	0.868774
Data Point# 13	20.8	0.925842	21	0.966248	21.2	0.946106	21.4	0.947449	21.6	0.918152	21.8	0.866821	22	0.783813	22.2	0.913086
Data Point# 14	22.4	0.911255	22.6	0.995911	22.8	0.981567	23	0.97644	23.2	0.942993	23.4	0.860596	23.6	0.849915	23.8	0.902527
Data Point# 15	24	0.95929	24.2	1.012878	24.4	0.985718	24.6	0.966064	24.8	0.932617	25	0.868896	25.2	0.890442	25.4	0.921509
Data Point# 16	25.6	0.96344	25.8	1.006531	26	0.987854	26.2	0.999268	26.4	0.957458	26.6	0.922913	26.8	0.884033	27	0.938416
