0	80.42842	-68.94933
0.75	68.46548	-51.27116
1.5	46.33104	-43.93615
2.25	38.53675	-32.47016
3	26.69094	-16.85431
3.75	17.36482	-8.69143
4.5	7.27947	-11.0923
5.25	2.00737	-2.22814
6	0.22104	-1.42576
6.75	-4.1915	-4.7414
7.5	-2.39245	2.08716
8.25	-1.88895	-1.32962
9	6.86	-5.19061
9.75	1.66466	-1.95616
10.5	13.3041	2.12968
11.25	24.07054	1.95269
12	32.03416	3.74884
12.75	41.28058	8.64344
13.5	57.3232	9.26778
14.25	69.78057	21.25444
15	83.1385	22.94022
15.75	104.66348	35.02942
16.5	122.87986	51.29273
17.25	141.25598	77.0027
18	169.2737	96.00883
18.75	194.15938	126.69722
19.5	217.71041	155.30369
20.25	247.65131	178.88817
21	280.57689	224.85859
21.75	307.2547	257.91182
