x	y
0.1	0.939192438789545
0.12	1.12371033154183
0.14	1.14885069769831
0.16	1.40556217130691
0.18	1.35435548196469
0.2	1.46773505725768
0.22	1.60305570440163
0.24	1.64388963309016
0.26	1.73117350305166
0.28	1.88118627961689
0.3	1.76905871825638
0.32	1.76835479336751
0.34	1.91588122798659
0.36	1.82391693332157
0.38	2.00780601607802
0.4	2.02661656437978
0.42	2.03008337019752
0.44	2.13897885086068
0.46	2.10169039449269
0.48	2.11491336349587
0.5	2.21227259862507
0.52	2.09857982845228
0.54	2.06146030310229
0.56	2.15878695103129
0.58	2.14087856024018
0.6	2.19129772236041
0.62	2.2189294226522
0.64	2.26231348470132
0.66	2.3062053513499
0.68	2.35530096310117
0.7	2.25587412317275
0.72	2.34376366778433
0.74	2.30079827382658
0.76	2.43776129639758
0.78	2.30496415448242
0.8	2.39576187445685
0.82	2.36425371791253
0.84	2.47240806322824
0.86	2.47203313030121
0.88	2.50801107311249
0.9	2.45859695733484
0.92	2.39547139907355
0.94	2.49544476544287
0.96	2.53470766198431
0.98	2.51627030774067
1	2.52899972427637
1.1	2.49495559804199
1.2	2.57594859221671
1.3	2.63302473653611
1.4	2.62923212756085
1.5	2.64287381121328
1.6	2.6390570728476
1.7	2.77542045682773
1.8	2.72006742266963
1.9	2.74174554544896
2	2.67414781620337
