Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc57	conc57	conc58	conc58	conc59	conc59	conc60	conc60	conc61	conc61	conc62	conc62	conc63	conc63	conc64	conc64
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	-0.027161	1.8	0.012756	2	0.004089	2.2	0.020447	2.4	0.008301	2.6	0	2.8	0.016907	3	0
Data Point# 2	3.2	0.020935	3.4	-0.008484	3.6	-0.020325	3.8	0.022522	4	-0.01239	4.2	-0.012268	4.4	0.012695	4.6	0.035522
Data Point# 3	4.8	0.006287	5	0.002136	5.2	0.010193	5.4	0.024536	5.6	-0.010315	5.8	0.02655	6	0.023254	6.2	0.016724
Data Point# 4	6.4	0.006287	6.6	0.038269	6.8	0.004089	7	0.014282	7.2	0.006226	7.4	0.010193	7.6	0.038025	7.8	0.027161
Data Point# 5	8	0.02301	8.2	0.017029	8.4	0.022461	8.6	0.026611	8.8	0.024841	9	0.040833	9.2	0.054932	9.4	0.025085
Data Point# 6	9.6	0.050232	9.8	0.029785	10	0.050964	10.2	0.049133	10.4	0.022766	10.6	0.049011	10.8	0.067627	11	0.058594
Data Point# 7	11.2	0.02301	11.4	0.042542	11.6	0.034668	11.8	0.045044	12	0.024841	12.2	0.044922	12.4	0.073975	12.6	0.025085
Data Point# 8	12.8	0.048157	13	0.07019	13.2	0.069336	13.4	0.053223	13.6	0.049622	13.8	0.059265	14	0.084534	14.2	0.073242
Data Point# 9	14.4	0.062744	14.6	0.05957	14.8	0.07135	15	0.081909	15.2	0.051697	15.4	0.044922	15.6	0.076111	15.8	0.092041
Data Point# 10	16	0.081604	16.2	0.080811	16.4	0.063171	16.6	0.102356	16.8	0.047546	17	0.096069	17.2	0.084534	17.4	0.081604
Data Point# 11	17.6	0.046021	17.8	0.091431	18	0.067261	18.2	0.081909	18.4	0.068237	18.6	0.096069	18.8	0.090881	19	0.056458
Data Point# 12	19.2	0.048157	19.4	0.074402	19.6	0.097839	19.8	0.104431	20	0.086853	20.2	0.102173	20.4	0.120483	20.6	0.096252
Data Point# 13	20.8	0.100403	21	0.078674	21.2	0.110107	21.4	0.104431	21.6	0.088867	21.8	0.069458	22	0.118408	22.2	0.112976
Data Point# 14	22.4	0.098328	22.6	0.108459	22.8	0.110107	23	0.102356	23.2	0.086853	23.4	0.104248	23.6	0.114197	23.8	0.121338
Data Point# 15	24	0.06488	24.2	0.142456	24.4	0.156982	24.6	0.116699	24.8	0.097168	25	0.126709	25.2	0.124756	25.4	0.138123
Data Point# 16	25.6	0.117188	25.8	0.108459	26	0.140625	26.2	0.131042	26.4	0.121948	26.6	0.112427	26.8	0.14801	27	0.131836
Data Point# 17	27.2	0.117188	27.4	0.136108	27.6	0.122314	27.8	0.141296	28	0.099243	28.2	0.159424	28.4	0.150146	28.6	0.123474
Data Point# 18	28.8	0.104614	29	0.142456	29.2	0.136597	29.4	0.145386	29.6	0.144714	29.8	0.155334	30	0.141663	30.2	0.127625
Data Point# 19	30.4	0.131836	30.6	0.142456	30.8	0.179382	31	0.15564	31.2	0.134338	31.4	0.138977	31.6	0.169189	31.8	0.142273
Data Point# 20	32	0.133911	32.2	0.11908	32.4	0.171204	32.6	0.167969	32.8	0.138489	33	0.155334	33.2	0.164917	33.4	0.173706
Data Point# 21	33.6	0.133911	33.8	0.17865	34	0.19165	34.2	0.157715	34.4	0.124023	34.6	0.145142	34.8	0.150146	35	0.140198
Data Point# 22	35.2	0.146484	35.4	0.14032	35.6	0.1651	35.8	0.196655	36	0.15918	36.2	0.15332	36.4	0.173401	36.6	0.177856
Data Point# 23	36.8	0.169495	37	0.170105	37.2	0.183472	37.4	0.165894	37.6	0.148804	37.8	0.138977	38	0.190308	38.2	0.186218
Data Point# 24	38.4	0.17157	38.6	0.174377	38.8	0.1651	39	0.172058	39.2	0.167419	39.4	0.161499	39.6	0.177612	39.8	0.207153
Data Point# 25	40	0.167419	40.2	0.206299	40.4	0.222229	40.6	0.190491	40.8	0.17157	41	0.177856	41.2	0.211487	41.4	0.188354
Data Point# 26	41.6	0.198792	41.8	0.202026	42	0.187561	42.2	0.223267	42.4	0.194336	42.6	0.192139	42.8	0.186096	43	0.186218
Data Point# 27	43.2	0.203003	43.4	0.167969	43.6	0.209961	43.8	0.213013	44	0.194336	44.2	0.198303	44.4	0.203003	44.6	0.25116
Data Point# 28	44.8	0.221802	45	0.212646	45.2	0.212036	45.4	0.182312	45.6	0.196411	45.8	0.204407	46	0.213562	46.2	0.198792
Data Point# 29	46.4	0.203003	46.6	0.227539	46.8	0.21405	47	0.223267	47.2	0.2005	47.4	0.204407	47.6	0.251648	47.8	0.217651
Data Point# 30	48	0.226013	48.2	0.193481	48.4	0.209961	48.6	0.258118	48.8	0.198425	49	0.214661	49.2	0.251648	49.4	0.2323
Data Point# 31	49.6	0.2323	49.8	0.219055	50	0.232422	50.2	0.233521	50.4	0.227417	50.6	0.237122	50.8	0.257996	51	0.230225
Data Point# 32	51.2	0.215515	51.4	0.255188	51.6	0.242615	51.8	0.223267	52	0.210876	52.2	0.259644	52.4	0.249573	52.6	0.226013
Data Point# 33	52.8	0.240662	53	0.246704	53.2	0.232422	53.4	0.262207	53.6	0.219116	53.8	0.259644	54	0.289734	54.2	0.25116
Data Point# 34	54.4	0.246948	54.6	0.214783	54.8	0.273193	55	0.272461	55.2	0.227417	55.4	0.255554	55.6	0.262268	55.8	0.259521
Data Point# 35	56	0.244812	56.2	0.274353	56.4	0.273193	56.6	0.272461	56.8	0.223267	57	0.271912	57.2	0.262268	57.4	0.288818
Data Point# 36	57.6	0.246948	57.8	0.287109	58	0.283386	58.2	0.254028	58.4	0.256348	58.6	0.255554	58.8	0.264343	59	0.257446
Data Point# 37	59.2	0.284607	59.4	0.227539	59.6	0.287476	59.8	0.284729	60	0.241882	60.2	0.269897	60.4	0.300354	60.6	0.27417
