Displacement	Sensor Output
mm	mV
1.05536568694463	2.45612793659779
1.50375939849624	3.79917916784602
1.93028024606972	5.73096518539485
2.57826384142174	8.16869515992075
2.92822966507177	10.1004811774696
3.50239234449761	12.1978488536654
4.00273410799727	13.8812623832437
4.65345181134655	16.2362015284461
5.07723855092276	17.8276252476649
5.50102529049897	19.5110387772431
6.09979494190021	20.7712991791678
6.44976076555024	22.3719218794226
6.85167464114833	23.7149731106708
7.32467532467532	25.2236060005661
7.80041011619959	26.6494480611378
8.29801777170198	29.0043872063402
8.92412850307587	30.605009906595
9.44907723855092	32.0308519671667
9.97402597402597	32.7023775827908
10.4716336295284	33.9626379847155
