Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc09	conc09	conc10	conc10	conc11	conc11	conc12	conc12	conc13	conc13	conc14	conc14	conc15	conc15	conc16	conc16
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.012512	1.8	0.016785	2	0.063049	2.2	0.004089	2.4	0.026794	2.6	0.057007	2.8	0.144592	3	0.144958
Data Point# 2	3.2	-0.002075	3.4	0.010498	3.6	0.069153	3.8	0.043335	4	0.088623	4.2	0.148621	4.4	0.285095	4.6	0.414429
Data Point# 3	4.8	0	5	0.033569	5.2	0.042725	5.4	0.06604	5.6	0.146301	5.8	0.207703	6	0.404602	6.2	0.576172
Data Point# 4	6.4	0.010376	6.6	0.035645	6.8	0.077332	7	0.063965	7.2	0.16687	7.4	0.354309	7.6	0.530518	7.8	0.652954
Data Point# 5	8	0	8.2	0.044006	8.4	0.10376	8.6	0.101135	8.8	0.220459	9	0.437866	9.2	0.637512	9.4	0.742188
Data Point# 6	9.6	0.008301	9.8	0.03772	10	0.079346	10.2	0.156921	10.4	0.311157	10.6	0.482727	10.8	0.694214	11	0.825256
Data Point# 7	11.2	-0.006287	11.4	0.065002	11.6	0.109863	11.8	0.165161	12	0.350342	12.2	0.588684	12.4	0.759277	12.6	0.856384
Data Point# 8	12.8	0.022888	13	0.073364	13.2	0.136353	13.4	0.198181	13.6	0.399841	13.8	0.621338	14	0.839111	14.2	0.879211
Data Point# 9	14.4	0.043762	14.6	0.073364	14.8	0.172974	15	0.204407	15.2	0.457581	15.4	0.660095	15.6	0.828613	15.8	0.906189
Data Point# 10	16	0.033325	16.2	0.079651	16.4	0.164795	16.6	0.251892	16.8	0.49469	17	0.694763	17.2	0.870605	17.4	0.947754
Data Point# 11	17.6	0.014587	17.8	0.100647	18	0.177063	18.2	0.245728	18.4	0.51532	18.6	0.749817	18.8	0.889526	19	0.974731
Data Point# 12	19.2	0.045837	19.4	0.123718	19.6	0.217712	19.8	0.305664	20	0.566895	20.2	0.778381	20.4	0.942017	20.6	0.972656
Data Point# 13	20.8	0.043762	21	0.098511	21.2	0.185181	21.4	0.348999	21.6	0.599915	21.8	0.782471	22	0.939941	22.2	1.012146
Data Point# 14	22.4	0.039612	22.6	0.123718	22.8	0.236084	23	0.340759	23.2	0.624695	23.4	0.813049	23.6	0.942017	23.8	1.037048
Data Point# 15	24	0.0354	24.2	0.142578	24.4	0.231995	24.6	0.375916	24.8	0.632935	25	0.855896	25.2	0.984009	25.4	1.026672
Data Point# 16	25.6	0.079224	25.8	0.125793	26	0.262512	26.2	0.384155	26.4	0.66803	26.6	0.837524	26.8	0.971436	27	1.05365
Data Point# 17	27.2	0.0896	27.4	0.134155	27.6	0.223877	27.8	0.433777	28	0.705139	28.2	0.85791	28.4	1.011353	28.6	1.088989
Data Point# 18	28.8	0.041687	29	0.163513	29.2	0.250305	29.4	0.452393	29.6	0.750549	29.8	0.864075	30	1.011353	30.2	1.055725
Data Point# 19	30.4	0.037476	30.6	0.1698	30.8	0.319519	31	0.444092	31.2	0.738159	31.4	0.898743	31.6	1.038696	31.8	1.095215
Data Point# 20	32	0.077087	32.2	0.1698	32.4	0.295105	32.6	0.477173	32.8	0.762939	33	0.88446	33.2	1.021851	33.4	1.109741
Data Point# 21	33.6	0.068787	33.8	0.184509	34	0.307312	34.2	0.481323	34.4	0.773254	34.6	0.904846	34.8	1.032349	35	1.113892
Data Point# 22	35.2	0.049988	35.4	0.197083	35.6	0.350098	35.8	0.514404	36	0.752625	36.2	0.9375	36.4	1.061768	36.6	1.124329
Data Point# 23	36.8	0.081299	37	0.195007	37.2	0.350098	37.4	0.539185	37.6	0.814575	37.8	0.921204	38	1.091187	38.2	1.134705
Data Point# 24	38.4	0.075012	38.6	0.207581	38.8	0.358215	39	0.53302	39.2	0.829041	39.4	0.917114	39.6	1.057556	39.8	1.147156
Data Point# 25	40	0.083374	40.2	0.230652	40.4	0.386719	40.6	0.537109	40.8	0.798035	41	0.966064	41.2	1.065979	41.4	1.128479
