Data Source: ForteBio Octet
Station ID: Alpha03
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc33	conc33	conc34	conc34	conc35	conc35	conc36	conc36	conc37	conc37	conc38	conc38	conc39	conc39	conc40	conc40
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.023132	1.8	-0.031738	2	0.002075	2.2	-0.010254	2.4	0.037109	2.6	0.061584	2.8	0.113831	3	0.210571
Data Point# 2	3.2	0.027344	3.4	-0.038086	3.6	-0.00415	3.8	0.032837	4	0.084595	4.2	0.151917	4.4	0.293091	4.6	0.423401
Data Point# 3	4.8	0.025208	5	0.019043	5.2	-0.006226	5.4	0.049316	5.6	0.154724	5.8	0.22583	6	0.428162	6.2	0.575745
Data Point# 4	6.4	0.008423	6.6	0.040222	6.8	0.028931	7	0.05957	7.2	0.187744	7.4	0.353149	7.6	0.533752	7.8	0.694763
Data Point# 5	8	0.016785	8.2	0.019043	8.4	0.037231	8.6	0.082153	8.8	0.243469	9	0.425049	9.2	0.654114	9.4	0.788757
Data Point# 6	9.6	0.025208	9.8	0.040222	10	0.028931	10.2	0.125244	10.4	0.321899	10.6	0.501099	10.8	0.719543	11	0.811768
Data Point# 7	11.2	0.027344	11.4	0.048706	11.6	0.084839	11.8	0.145813	12	0.3797	12.2	0.585388	12.4	0.766052	12.6	0.866089
Data Point# 8	12.8	0.031555	13	0.052917	13.2	0.09314	13.4	0.184814	13.6	0.41272	13.8	0.614136	14	0.831543	14.2	0.918335
Data Point# 9	14.4	0.037842	14.6	0.048706	14.8	0.101379	15	0.215637	15.2	0.48291	15.4	0.667603	15.6	0.854797	15.8	0.92041
Data Point# 10	16	0.060974	16.2	0.055054	16.4	0.101379	16.6	0.223877	16.8	0.493225	17	0.70459	17.2	0.897034	17.4	0.953857
