Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc01	conc01	conc02	conc02	conc03	conc03	conc04	conc04	conc05	conc05	conc06	conc06	conc07	conc07	conc08	conc08
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	0.008423	1.8	-0.014648	2	0.010254	2.2	0.028931	2.4	0.016235	2.6	0.010193	2.8	0.084595	3	0.168213
Data Point# 2	3.2	0.010498	3.4	-0.016785	3.6	0.028687	3.8	0.043396	4	0.048645	4.2	0.077576	4.4	0.258057	4.6	0.406738
Data Point# 3	4.8	-0.010498	5	-0.00415	5.2	0.018433	5.4	0.072266	5.6	0.097229	5.8	0.198181	6	0.389282	6.2	0.581177
Data Point# 4	6.4	-0.006287	6.6	0.010498	6.8	0.03894	7	0.080566	7.2	0.17627	7.4	0.326965	7.6	0.526917	7.8	0.701599
Data Point# 5	8	0.004211	8.2	0.004211	8.4	0.073853	8.6	0.105347	8.8	0.2229	9	0.36377	9.2	0.62854	9.4	0.765808
Data Point# 6	9.6	0.042053	9.8	0.037842	10	0.073853	10.2	0.165283	10.4	0.295837	10.6	0.453735	10.8	0.685791	11	0.789856
Data Point# 7	11.2	0.010498	11.4	0.054626	11.6	0.09845	11.8	0.146667	12	0.340454	12.2	0.541748	12.4	0.755676	12.6	0.934387
Data Point# 8	12.8	0.014709	13	0.046204	13.2	0.108704	13.4	0.206604	13.6	0.419556	13.8	0.611267	14	0.823486	14.2	0.914368
Data Point# 9	14.4	0.008423	14.6	0.031494	14.8	0.129211	15	0.241699	15.2	0.454041	15.4	0.648132	15.6	0.857422	15.8	0.938416
Data Point# 10	16	0.029419	16.2	0.069336	16.4	0.127197	16.6	0.276855	16.8	0.488525	17	0.689087	17.2	0.86377	17.4	0.93042
Data Point# 11	17.6	0.027344	17.8	0.050415	18	0.15387	18.2	0.281006	18.4	0.543274	18.6	0.746399	18.8	0.940125	19	1.044861
Data Point# 12	19.2	0.035706	19.4	0.073486	19.6	0.20105	19.8	0.330566	20	0.55542	20.2	0.775024	20.4	0.935852	20.6	1.002686
Data Point# 13	20.8	0.054626	21	0.081909	21.2	0.180542	21.4	0.320251	21.6	0.630493	21.8	0.77301	22	0.95282	22.2	1.087036
Data Point# 14	22.4	0.029419	22.6	0.098694	22.8	0.215454	23	0.349182	23.2	0.634583	23.4	0.813965	23.6	0.971924	23.8	1.048889
Data Point# 15	24	0.044128	24.2	0.092407	24.4	0.207214	24.6	0.388489	24.8	0.671082	25	0.813965	25.2	0.997375	25.4	1.046875
Data Point# 16	25.6	0.063049	25.8	0.115479	26	0.229797	26.2	0.407104	26.4	0.662964	26.6	0.836487	26.8	1.001587	27	1.079041
Data Point# 17	27.2	0.04834	27.4	0.10083	27.6	0.248291	27.8	0.417419	28	0.69751	28.2	0.840576	28.4	0.995239	28.6	1.077026
Data Point# 18	28.8	0.044128	29	0.11969	29.2	0.258545	29.4	0.42981	29.6	0.717773	29.8	0.869202	30	1.033386	30.2	1.137268
Data Point# 19	30.4	0.052551	30.6	0.11969	30.8	0.266785	31	0.462891	31.2	0.736084	31.4	0.899963	31.6	1.03125	31.8	1.081055
Data Point# 20	32	0.086121	32.2	0.094482	32.4	0.293457	32.6	0.504272	32.8	0.762451	33	0.893799	33.2	1.071594	33.4	1.141296
Data Point# 21	33.6	0.056763	33.8	0.138611	34	0.313965	34.2	0.493896	34.4	0.776672	34.6	0.945007	34.8	1.05249	35	1.129211
Data Point# 22	35.2	0.075623	35.4	0.149109	35.6	0.330383	35.8	0.516663	36	0.786804	36.2	0.936829	36.4	1.075806	36.6	1.185486
Data Point# 23	36.8	0.063049	37	0.149109	37.2	0.340698	37.4	0.522888	37.6	0.782776	37.8	0.922485	38	1.075806	38.2	1.177429
Data Point# 24	38.4	0.079834	38.6	0.16803	38.8	0.342712	39	0.551819	39.2	0.792908	39.4	0.96344	39.6	1.071594	39.8	1.143311
Data Point# 25	40	0.069336	40.2	0.174316	40.4	0.330383	40.6	0.566345	40.8	0.841614	41	0.953186	41.2	1.088562	41.4	1.207581
Data Point# 26	41.6	0.08197	41.8	0.180603	42	0.385864	42.2	0.566345	42.4	0.819275	42.6	0.955261	42.8	1.10553	43	1.175476
Data Point# 27	43.2	0.107178	43.4	0.191101	43.6	0.373535	43.8	0.595276	44	0.82135	44.2	0.957275	44.4	1.101257	44.6	1.213623
Data Point# 28	44.8	0.073547	45	0.201599	45.2	0.383789	45.4	0.601501	45.6	0.878174	45.8	1.00238	46	1.124573	46.2	1.15332
Data Point# 29	46.4	0.086121	46.6	0.195313	46.8	0.404358	47	0.599426	47.2	0.861938	47.4	1.012634	47.6	1.126709	47.8	1.125244
Data Point# 30	48	0.094543	48.2	0.201599	48.4	0.426941	48.6	0.638733	48.8	0.874146	49	0.992126	49.2	1.152161	49.4	1.143311
Data Point# 31	49.6	0.092468	49.8	0.260437	50	0.422791	50.2	0.644958	50.4	0.87207	50.6	1.008545	50.8	1.130981	51	1.261841
Data Point# 32	51.2	0.069336	51.4	0.239441	51.6	0.474182	51.8	0.634583	52	0.914734	52.2	1.041321	52.4	1.118225	52.6	1.205566
Data Point# 33	52.8	0.096619	53	0.226807	53.2	0.43103	53.4	0.684265	53.6	0.910706	53.8	1.012634	54	1.145813	54.2	1.217651
Data Point# 34	54.4	0.117676	54.6	0.241516	54.8	0.482361	55	0.659424	55.2	0.904602	55.4	0.998291	55.6	1.139465	55.8	1.247803
Data Point# 35	56	0.102966	56.2	0.256226	56.4	0.488525	56.6	0.702881	56.8	0.924866	57	1.055664	57.2	1.137329	57.4	1.229675
Data Point# 36	57.6	0.102966	57.8	0.241516	58	0.511169	58.2	0.68634	58.4	0.939087	58.6	1.053589	58.8	1.167053	59	1.215637
Data Point# 37	59.2	0.105042	59.4	0.247803	59.6	0.507019	59.8	0.702881	60	0.906616	60.2	1.022888	60.4	1.169128	60.6	1.251831
