Version: 8.0
Operator: Larry
Experiment Data: 09/01/07
Temperature: 37.1

Time Sample Error
sec
0 0.31678 0.00303
26 0.30857 0.00341
52 0.31716 0.00341
78 0.31372 0.00338
105 0.31814 0.00359
130 0.3276 0.00348
157 0.35402 0.00266
183 0.39754 0.00287
209 0.4577 0.00416
236 0.52963 0.01091
262 0.61979 0.01938
288 0.73056 0.0304
314 0.85972 0.04281
341 1.02123 0.05762
367 1.17916 0.06766
393 1.3451 0.07319
419 1.48629 0.07792
446 1.61986 0.07885
472 1.75687 0.07999
498 1.87682 0.07458
524 1.96982 0.07166
551 2.0208 0.06328
577 2.13628 0.05974
603 2.20036 0.05488
630 2.23676 0.05006
656 2.26211 0.04694
682 2.28396 0.04519
708 2.34311 0.0439
735 2.32362 0.04279
761 2.37181 0.04129
787 2.38746 0.03913
814 2.42916 0.03947
840 2.42008 0.03803
866 2.44326 0.03809
892 2.46177 0.03551
919 2.44023 0.03883
945 2.44845 0.0373
971 2.47706 0.03532
997 2.50551 0.03718
1024 2.50947 0.03655
