125:23:55:16.00	1.0427
125:23:55:16.25	1.4317
125:23:55:16.50	1.2281
125:23:55:16.75	1.3622
125:23:55:17.00	1.8348
125:23:55:17.25	1.7184
125:23:55:17.50	1.3528
125:23:55:17.75	1.9785
125:23:55:18.00	1.5646
125:23:55:18.25	1.3988
125:23:55:18.50	1.6032
125:23:55:18.75	1.9458
125:23:55:19.00	2.2587
125:23:55:19.25	1.8940
125:23:55:19.50	2.4790
125:23:55:19.75	2.4587
125:23:55:20.00	1.9792
125:23:55:20.25	2.4972
125:23:55:20.50	2.3722
125:23:55:20.75	2.5329
125:23:55:21.00	1.9435
125:23:55:21.25	2.1232
125:23:55:21.50	1.9646
125:23:55:21.75	2.3715
125:23:55:22.00	2.1558
125:23:55:22.25	2.4632
125:23:55:22.50	2.8042
125:23:55:22.75	2.8010
125:23:55:23.00	2.5298
125:23:55:23.25	2.2733
125:23:55:23.50	2.5073
125:23:55:23.75	2.4023
125:23:55:24.00	2.3852
125:23:55:24.25	2.6483
125:23:55:24.50	2.6285
125:23:55:24.75	2.9576
125:23:55:25.00	3.0812
125:23:55:25.25	3.1791
125:23:55:25.50	3.4564
125:23:55:25.75	3.3693
125:23:55:26.00	3.1024
125:23:55:26.25	3.0675
125:23:55:26.50	3.2390
125:23:55:26.75	3.2085
125:23:55:27.00	3.4543
125:23:55:27.25	3.2410
125:23:55:27.50	3.4320
125:23:55:27.75	2.8853
125:23:55:28.00	2.9294
125:23:55:28.25	2.8624
125:23:55:28.50	3.5805
125:23:55:28.75	3.4916
125:23:55:29.00	3.5166
125:23:55:29.25	3.2678
125:23:55:29.50	3.5941
125:23:55:29.75	3.0382
125:23:55:30.00	3.0437
125:23:55:30.25	3.4808
125:23:55:30.50	3.7919
125:23:55:30.75	3.1359
125:23:55:31.00	3.7881
125:23:55:31.25	3.5253
125:23:55:31.50	3.2374
125:23:55:31.75	4.0184
125:23:55:32.00	4.0825
125:23:55:32.25	3.5134
125:23:55:32.50	4.2500
125:23:55:32.75	3.5420
125:23:55:33.00	3.6975
125:23:55:33.25	3.4618
125:23:55:33.50	3.8913
125:23:55:33.75	4.3782
125:23:55:34.00	3.9999
125:23:55:34.25	3.9052
125:23:55:34.50	4.0262
125:23:55:34.75	4.4423
125:23:55:35.00	4.3215
125:23:55:35.25	3.4841
125:23:55:35.50	4.4250
125:23:55:35.75	4.2028
125:23:55:36.00	3.8364
125:23:55:36.25	3.7561
125:23:55:36.50	4.3054
125:23:55:36.75	4.0032
125:23:55:37.00	3.6986
125:23:55:37.25	3.8810
125:23:55:37.50	3.5993
125:23:55:37.75	4.2661
125:23:55:38.00	3.7614
125:23:55:38.25	4.3125
125:23:55:38.50	3.6950
125:23:55:38.75	4.2427
125:23:55:39.00	4.3715
125:23:55:39.25	4.0820
125:23:55:39.50	4.2985
125:23:55:39.75	4.4056
125:23:55:40.00	4.1944
125:23:55:40.25	4.0789
125:23:55:40.50	4.2922
125:23:55:40.75	3.8683
125:23:55:41.00	4.6240
125:23:55:41.25	4.5062
125:23:55:41.50	3.9761
125:23:55:41.75	4.2435
125:23:55:42.00	3.7004
125:23:55:42.25	4.4678
125:23:55:42.50	3.8387
125:23:55:42.75	4.2458
125:23:55:43.00	3.8049
125:23:55:43.25	4.4621
125:23:55:43.50	4.6204
125:23:55:43.75	3.8516
125:23:55:44.00	4.2444
125:23:55:44.25	3.8726
125:23:55:44.50	4.2664
125:23:55:44.75	4.1391
125:23:55:45.00	4.2714
125:23:55:45.25	4.6510
125:23:55:45.50	3.8450
125:23:55:45.75	4.3538
125:23:55:46.00	4.4204
125:23:55:46.25	4.6069
125:23:55:46.50	4.1470
125:23:55:46.75	4.4305
125:23:55:47.00	4.4007
125:23:55:47.25	4.0328
125:23:55:47.50	4.2060
125:23:55:47.75	4.2151
125:23:55:48.00	3.9216
125:23:55:48.25	4.1318
125:23:55:48.50	3.8829
125:23:55:48.75	4.0448
125:23:55:49.00	4.4540
125:23:55:49.25	4.6362
125:23:55:49.50	3.8812
125:23:55:49.75	4.0587
125:23:55:50.00	4.1630
125:23:55:50.25	4.7970
125:23:55:50.50	4.2308
125:23:55:50.75	4.0822
125:23:55:51.00	4.5712
125:23:55:51.25	4.7091
125:23:55:51.50	4.8369
125:23:55:51.75	3.9612
125:23:55:52.00	4.4912
125:23:55:52.25	4.2242
125:23:55:52.50	4.2339
125:23:55:52.75	4.2496
125:23:55:53.00	4.1225
125:23:55:53.25	4.5108
125:23:55:53.50	4.2425
125:23:55:53.75	4.0370
125:23:55:54.00	4.5586
125:23:55:54.25	4.4799
125:23:55:54.50	4.6517
125:23:55:54.75	4.1835
125:23:55:55.00	4.2095
125:23:55:55.25	4.6951
125:23:55:55.50	4.2078
125:23:55:55.75	4.7663
125:23:55:56.00	4.1230
125:23:55:56.25	4.3087
125:23:55:56.50	4.2468
125:23:55:56.75	4.0728
125:23:55:57.00	4.3553
125:23:55:57.25	4.1110
125:23:55:57.50	4.1719
125:23:55:57.75	3.9675
125:23:55:58.00	4.0158
125:23:55:58.25	3.8565
125:23:55:58.50	3.9466
125:23:55:58.75	4.1035
125:23:55:59.00	4.0224
125:23:55:59.25	4.5025
125:23:55:59.50	4.5590
125:23:55:59.75	3.9215
125:23:56:00.00	4.3624
125:23:56:00.25	4.1301
125:23:56:00.50	4.2376
125:23:56:00.75	4.4070
125:23:56:01.00	3.8741
125:23:56:01.25	3.8739
125:23:56:01.50	3.9912
125:23:56:01.75	4.0802
125:23:56:02.00	4.1494
125:23:56:02.25	3.9722
125:23:56:02.50	4.7224
125:23:56:02.75	4.5939
125:23:56:03.00	4.6642
125:23:56:03.25	4.4584
125:23:56:03.50	4.6386
125:23:56:03.75	4.4191
125:23:56:04.00	4.5731
125:23:56:04.25	4.4467
125:23:56:04.50	4.0101
125:23:56:04.75	4.5091
125:23:56:05.00	4.7594
125:23:56:05.25	3.7685
125:23:56:05.50	4.2672
125:23:56:05.75	4.2205
