Version: 8.0
Operator: Larry
Experiment Data: 09/01/07
Temperature: 37.2

Time Sample Error
sec
0 0.32975 0.00163
26 0.33097 0.00232
52 0.32563 0.00188
78 0.33003 0.00219
105 0.33067 0.00208
131 0.32984 0.00206
157 0.33607 0.00197
183 0.3689 0.00501
209 0.41027 0.00855
236 0.47106 0.01454
262 0.54792 0.02191
288 0.65287 0.03155
314 0.77145 0.04327
341 0.9224 0.05546
367 1.0686 0.06742
393 1.22441 0.07467
419 1.38532 0.08224
446 1.52729 0.08413
472 1.70518 0.08915
498 1.822 0.08704
525 1.9413 0.08415
551 2.04975 0.08088
577 2.14142 0.07483
603 2.20583 0.07079
630 2.28729 0.06529
656 2.31335 0.05902
682 2.38098 0.05872
708 2.39555 0.05634
735 2.41359 0.05098
761 2.44581 0.05291
787 2.47563 0.05097
813 2.47134 0.05097
840 2.54185 0.0495
866 2.49273 0.04739
892 2.51011 0.04459
919 2.52878 0.04806
945 2.53411 0.04743
971 2.55913 0.04641
997 2.57097 0.04713
1024 2.57499 0.04734
