Zr	Zi	Freq
Real	Imaginary 	Frequency 
1.4987	-0.04759	31622.78
1.506	0.02587	25118.86
1.515	0.09856	19952.62
1.5206	0.17186	15848.93
1.5293	0.25119	12589.25
1.5388	0.34279	10000
1.5519	0.44906	7943.282
1.5634	0.57861	6309.573
1.5825	0.73524	5011.872
1.6041	0.92787	3981.072
1.638	1.1629	3162.278
1.688	1.4559	2511.886
1.759	1.8167	1995.262
1.8539	2.2623	1584.893
2.0035	2.8095	1258.925
2.2209	3.4642	1000
2.5369	4.2664	794.3282
2.9971	5.2064	630.9573
3.6647	6.2986	501.1872
4.6039	7.5082	398.1072
5.9021	8.7706	316.2278
7.617	9.9734	251.1886
9.7323	10.956	199.5262
12.182	11.54	158.4893
14.774	11.601	125.8925
17.284	11.126	100
19.497	10.223	79.43282
21.28	8.7758	63.09573
22.768	7.6956	50.11872
23.721	6.4305	39.81072
24.453	5.2114	31.62278
24.866	4.16	25.11886
25.178	3.2651	19.95262
25.357	2.5115	15.84893
25.422	1.8493	12.58925
25.463	1.295	10
25.439	0.84296	7.94328
25.351	0.45317	6.30957
25.215	0.09063	5.01187
25.068	-0.182	3.98107
24.919	-0.41924	3.16228
24.834	-0.61747	2.51189
24.622	-0.81215	1.99526
24.444	-0.91284	1.58489
24.259	-1.1184	1.25893
23.895	-1.1572	1
23.692	-1.2895	0.79433
23.289	-1.4257	0.63096
23.044	-1.5188	0.50119
22.824	-1.523	0.39811
22.435	-1.4669	0.31623
21.968	-1.2556	0.25119
21.585	-1.186	0.19953
21.303	-1.0707	0.15849
21.039	-1.1038	0.12589
20.687	-1.2814	0.1
20.44	-1.4066	0.07943
20.063	-1.5461	0.0631
19.665	-1.777	0.05012
19.181	-1.9984	0.03981
18.643	-2.1363	0.03162
17.927	-2.3055	0.02512
17.036	-2.6129	0.01995
16.159	-2.6423	0.01585
15.036	-2.8668	0.01259
14.076	-2.674	0.01
