A	B	C
Medium	Fine	Coarse
0	0.07	0.93
0.07	0.04	0.89
0.26	0.03	0.71
0.34	0.04	0.62
0.39	0.05	0.56
0.43	0.06	0.51
0.46	0.07	0.47
0.48	0.08	0.44
0.5	0.09	0.41
0.51	0.1	0.39
0.52	0.11	0.37
0.53	0.12	0.35
0.53	0.13	0.34
0.53	0.14	0.33
0.53	0.15	0.32
0.53	0.16	0.31
0.53	0.17	0.3
0.53	0.18	0.29
0.53	0.19	0.28
0.52	0.21	0.27
0.51	0.22	0.27
0.49	0.25	0.26
0.48	0.26	0.26
0.47	0.27	0.26
0.46	0.28	0.26
0.45	0.29	0.26
0.44	0.3	0.26
0.43	0.31	0.26
0.4	0.33	0.27
0.39	0.34	0.27
0.37	0.36	0.27
0.35	0.37	0.28
0.34	0.38	0.28
0.32	0.39	0.29
0.33	0.39	0.28
0.31	0.4	0.29
0.3	0.41	0.29
0.28	0.42	0.3
0.27	0.43	0.3
0.24	0.45	0.31
0.22	0.46	0.32
0.21	0.47	0.32
0.19	0.48	0.33
0.18	0.49	0.33
0.15	0.51	0.34
0.14	0.51	0.35
0.13	0.52	0.35
0.11	0.53	0.36
0.1	0.54	0.36
0.07	0.56	0.37
0.05	0.57	0.38
0.02	0.59	0.39
0	0.6	0.4
