	11	12	13	15	16	18	20	22	25	27	30	33	37	41	45	50	55	60	67	74	82	90	100	110	122	135	149	164	182	201	222	245
1	1.01	0.04	-0.09	-0.28	1.1	-0.83	1.81	-0.6	-1.58	0.48	1.66	-1.03	1.56	-0.15	-0.01	-1.03	0.43	0.86	-1.37	-2.3	0.19	1.04	-0.6	-0.43	-0.74	1.19	0.82	-0.94	-0.26	-0.11	0.03	-0.75
1.29	1.52	1.29	-0.11	-1.55	0.49	0.82	0.21	-1.12	0.74	-0.57	1.23	-0.73	-0.89	-0.67	1.88	-0.38	0.36	0.97	0.78	0.12	-1.21	-0.13	-0.51	0.13	0.78	-1.97	0.5	1.85	0.54	0.43	-1.24	0.44
1.58	-0.29	-0.91	0.88	0.67	-1.25	-1.05	-0.84	-1.4	0.66	0.35	1.5	-0.21	-0.48	2.27	-0.54	0.57	1.02	1.02	0.06	-0.17	0.51	0.15	0.52	-1.86	-0.67	-1.34	0.93	-0.44	0.82	1.33	-0.67	-0.64
1.87	-0.97	1.52	1.12	0.17	0.8	0.57	2.14	1.35	0.62	1.23	-0.69	0.61	-2.28	-2.04	2.06	1.76	1.31	0.04	1.17	-0.53	1.65	0.87	1.8	1.02	0.57	-1.07	-1.13	0.81	0.56	-0.97	-0.34	-0.4
2.16	-0.17	-0.37	0.42	2.22	-0.13	-1.07	1.61	0.99	2.72	1.78	0.68	2.65	0.58	1	3.13	2.2	2.76	1.49	1.22	0.97	-0.38	0.45	0.88	0.62	0.65	2.03	0.81	-1.87	2.72	-1.81	1.31	0.1
2.45	0.66	1.01	-0.37	1.01	-0.92	1.85	1.49	2.65	3.56	3.67	4.04	4.47	4.06	2.91	3.15	3.9	2.52	2.12	2.85	0.99	2.89	2.04	1.37	1.02	-0.06	-1.62	-0.05	-0.26	0.25	-0.53	0.94	-0.59
2.74	-1.14	-0.15	2.17	0.8	1.66	1.91	5.05	6.55	6.77	7.09	7.73	7.52	8.51	6.67	4.59	4.93	5.88	4.72	3.82	3.16	2.2	2.24	1.89	0.97	2.19	-0.13	0.16	-0.02	0.45	-0.28	-0.07	0.88
3.03	-0.07	0.09	0.28	0.7	2.81	3.26	7.53	10.63	13.65	15.27	14.12	13	15.04	13.33	11.54	10	7.35	7.86	6.83	6.12	6.45	4.63	2.5	2.18	1.61	1.6	0.55	-0.16	0.32	1.37	-0.06	-0.41
3.32	1.4	0.3	1.94	1.16	6.34	9.08	13.99	17.96	20.31	23.85	25.13	22.31	23.97	20.13	19.81	17.59	14.61	12.48	9.91	8.73	6.82	7.51	4.23	4.61	4.66	3.17	2.17	1.22	0.81	0.65	-0.41	-0.02
