Zr	Zi	Freq
Real	Imaginary 	Frequency 
1.4935	-0.05044	31622.78
1.5023	0.01888	25118.86
1.5103	0.08668	19952.62
1.5192	0.15752	15848.93
1.5291	0.23408	12589.25
1.5405	0.31942	10000
1.553	0.41949	7943.282
1.5691	0.54127	6309.573
1.5918	0.68679	5011.872
1.6237	0.86496	3981.072
1.6702	1.0841	3162.278
1.7374	1.3512	2511.886
1.8332	1.675	1995.262
1.9744	2.0625	1584.893
2.1788	2.5395	1258.925
2.4764	3.0865	1000
2.9095	3.7052	794.3282
3.5176	4.381	630.9573
4.3295	5.0521	501.1872
5.3694	5.6418	398.1072
6.6112	6.0607	316.2278
7.9817	6.2194	251.1886
9.3653	6.0977	199.5262
10.644	5.7109	158.4893
11.707	5.1002	125.8925
12.557	4.42	100
13.188	3.73	79.43282
13.793	3.0325	63.09573
13.95	2.4934	50.11872
14.153	1.9508	39.81072
14.252	1.4841	31.62278
14.319	1.1241	25.11886
14.339	0.80846	19.95262
14.373	0.54828	15.84893
14.335	0.31473	12.58925
14.285	0.14758	10
14.228	-0.01819	7.94328
14.152	-0.15564	6.30957
14.058	-0.27811	5.01187
13.977	-0.38352	3.98107
13.904	-0.46244	3.16228
13.749	-0.53409	2.51189
13.647	-0.62225	1.99526
13.562	-0.6683	1.58489
13.41	-0.70896	1.25893
13.22	-0.8091	1
13.094	-0.78716	0.79433
12.919	-0.82612	0.63096
12.804	-0.83075	0.50119
12.608	-0.81076	0.39811
12.388	-0.73719	0.31623
12.232	-0.60264	0.25119
12.31	-0.48936	0.19953
12.198	-0.58829	0.15849
12.107	-0.61059	0.12589
11.969	-0.6351	0.1
11.895	-0.7165	0.07943
11.77	-0.83733	0.0631
11.638	-0.9418	0.05012
11.427	-1.0083	0.03981
11.368	-1.0186	0.03162
11.105	-1.1831	0.02512
10.811	-1.2697	0.01995
10.553	-1.3166	0.01585
10.213	-1.3101	0.01259
10.026	-1.4466	0.01
