			Contour Values
0	0	1	0.514219546706087
1	0	0	0.876664277868312
0	1	0	0.345898189989134
0.59789829971362	0.192430212759865	0.209671487526515	0.718956010931935
0.333798893182452	0.206918087933737	0.459283018883811	0.433284241822741
0.0911234324650129	0.270074123247229	0.638802444287758	0.763778258819995
0.110227522069091	0.468964661797741	0.420807816133169	0.42618567701619
0.0039976511734527	0.353785410384699	0.642216938441848	0.880640712291625
0.180722104611006	0.292316569798662	0.526961325590332	0.99309819422316
0.394710409560072	0.0937722369965495	0.511517353443379	0.553379551353529
0.241494410276314	0.389919453892692	0.368586135830994	0.213094832970509
0.00362130106410108	0.533905261747203	0.462473437188696	0.742464813544263
0.391406248165066	0.167773890995633	0.440819860839301	0.337912322257013
0.293444492877102	0.436003868855581	0.270551638267317	0.0857784245426656
0.344161058100998	0.200567712340988	0.455271229558014	0.524868134669509
0.0211712051076095	0.72653535756052	0.25229343733187	0.436941648426728
0.297162017681979	0.213131705426149	0.489706276891872	0.666103677090977
0.25723553395001	0.604642216830266	0.138122249219724	0.117269318811303
0.19212978610232	0.499171442862968	0.308698771034711	0.404045898551557
0.0843765202941759	0.3638901568214	0.551733322884424	0.0370315124028366
0.0140842528488092	0.235901645639321	0.750014101511869	0.82495663650374
0.418956694813195	0.359756848624732	0.221286456562073	0.384902102680844
0.267902833570789	0.210967674519005	0.521129491910206	0.299094385287454
0.470110805291327	0.0823793283051365	0.447509866403537	0.286498410782829
0.494548156515981	0.268438196259179	0.23701364722484	0.237325404383287
0.526002166887267	0.367255991183703	0.10674184192903	0.270167582244538
0.434822528331224	0.441043066389862	0.124134405278914	0.593561458124444
0.0334195895071848	0.12047148716911	0.846108923323705	0.795165684364732
0.464416561848642	0.242155278179745	0.293428159971614	0.460435488711668
0.816290543831953	0.0305222855936465	0.153187170574401	0.622494122090379
0.124977591535375	0.629417310006522	0.245605098458104	0.63896362167586
0.381003297158832	0.326118328645553	0.292878374195616	0.856071171304744
