A	B	C
Medium	Fine	Coarse
0.002459975400246	0.034869651303487	0.962670373296267
0.162411624116241	0.015720157201572	0.821868218682187
0.41133	0.01231	0.57636
0.5703	0.01743	0.41227
0.66221	0.0229	0.31489
0.69	0.03	0.28
0.73	0.04	0.23
0.74	0.04	0.22
0.77	0.05	0.18
0.8	0.06	0.14
0.82	0.07	0.11
0.84	0.08	0.08
0.85	0.09	0.06
0.86	0.1	0.04
0.87	0.11	0.02
0.88	0.12	0
--	--	--
0.41	0.59	0
0.38	0.61	0.01
0.35	0.63	0.02
0.32	0.65	0.03
0.3	0.66	0.04
0.27	0.68	0.05
0.25	0.69	0.06
0.23	0.7	0.07
0.2	0.72	0.08
0.18	0.73	0.09
0.16	0.74	0.1
0.14	0.75	0.11
0.11	0.77	0.12
0.08	0.79	0.13
0.06	0.8	0.14
0.03	0.82	0.15
0	0.83	0.17
