Subject	Weight
	Kg
1	90.384588813805
2	63.8950627914454
3	57.6578494666959
4	64.5639453211727
5	79.8276819069554
6	55.6066259111645
7	71.5360488927536
8	55.7016213583139
9	33.1953076588056
10	61.869216490486
11	65.6519409086114
12	54.5095899938408
13	67.3124030448373
14	64.4489234227927
15	54.4502883254592
16	70.9719642047882
17	64.6376903650126
18	46.8935712318777
19	66.4310377012991
20	54.9532434883372
21	42.6883210386229
22	60.2305028435996
23	57.9269059544602
24	72.1107424420613
25	45.8305183264369
26	49.6288939176699
27	57.2711823505396
28	69.9929405980886
29	59.7171810557062
30	54.2489344648573
31	50.0554454043143
32	54.5403156548784
