100.263	762.24	100.263	947.9676	100.263	9966.063	100.263	10919.6309	100.263	13807.343	100.263	11335.701	100.263	14697.131	100.263	3492.583	100.263	4929.6459	100.263	5886.571	100.263	6278.174	100.263	574.712	100.263	7814.72	100.263	5061.4	100.263	11760.338
101.997	765.94	101.997	951.6754	101.997	9940.0309	101.997	10928.9175	101.997	13831.499	101.997	11324.538	101.997	14717.569	101.997	3477.706	101.997	4937.0713	101.997	5886.556	101.997	6278.163	101.997	569.13	101.997	7810.991	101.997	5050.22	101.997	11760.328
103.728	771.5	103.728	944.2353	103.728	9954.8876	103.728	10917.7637	103.728	13814.768	103.728	11324.53	103.728	14711.984	103.728	3486.99	103.728	4927.7728	103.728	5880.969	103.728	6265.151	103.728	582.127	103.728	7809.123	103.728	5042.77	103.728	11743.601
105.461	765.92	105.461	957.2229	105.461	9936.3143	105.461	10925.1852	105.461	13820.331	105.461	11307.815	105.461	14708.26	105.461	3481.413	105.461	4933.335	105.461	5890.239	105.461	6278.141	105.461	587.685	105.461	7810.969	105.461	5048.32	105.461	11764.019
107.194	769.61	107.194	936.8001	107.194	9951.1572	107.194	10919.6113	107.194	13822.178	107.194	11317.093	107.194	14721.239	107.194	3490.684	107.194	4920.3376	107.194	5862.392	107.194	6274.42	107.194	570.973	107.194	7814.669	107.194	5044.58	107.194	11767.717
108.927	767.74	108.927	944.2147	108.927	9956.7125	108.927	10925.1695	108.927	13803.624	108.927	11326.361	108.927	14719.369	108.927	3492.529	108.927	4927.7522	108.927	5897.623	108.927	6268.848	108.927	596.93	108.927	7809.093	108.927	5053.84	108.927	11745.449
110.657	767.73	110.657	959.035	110.657	9943.7279	110.657	10932.5752	110.657	13812.891	110.657	11330.059	110.657	14710.087	110.657	3498.078	110.657	4933.3055	110.657	5866.095	110.657	6283.669	110.657	569.11	110.657	7818.35	110.657	5061.22	110.657	11758.42
112.389	784.39	112.389	955.3154	112.389	9969.6578	112.389	10921.4489	112.389	13824.001	112.389	11331.9	112.389	14724.896	112.389	3507.327	112.389	4938.853	112.389	5875.353	112.389	6274.393	112.389	574.664	112.389	7816.483	112.389	5063.05	112.389	11749.148
114.121	760.3	114.121	955.3027	114.121	9945.5715	114.121	10925.1459	114.121	13801.773	114.121	11309.671	114.121	14719.324	114.121	3490.645	114.121	4936.9888	114.121	5879.047	114.121	6272.533	114.121	595.022	114.121	7803.509	114.121	5042.65	114.121	11747.292
115.85	762.14	115.85	951.589	115.85	9952.9684	115.85	10932.5399	115.85	13827.68	115.85	11328.176	115.85	14724.861	115.85	3485.084	115.85	4916.622	115.85	5886.438	115.85	6268.824	115.85	570.949	115.85	7794.25	115.85	5050.04	115.85	11760.241
117.581	765.83	117.581	940.4814	117.581	9945.5616	117.581	10926.9797	117.581	13827.667	117.581	11331.865	117.581	14702.65	117.581	3485.077	117.581	4935.1157	117.581	5877.176	117.581	6281.765	117.581	583.89	117.581	7790.549	117.581	5062.96	117.581	11749.134
