	11	12	13	15	16	18	20	22	25	27	30	33	37	41	45	50	55	60	67	74	82	90	100	110	122	135	149	164	182	201	222	245
1	30.23	30.79	30.44	29.23	28.46	28.24	26.94	28.3	27.08	26.13	25.77	25.77	24.37	24.83	24.23	23.98	23.01	22.15	22.67	22.57	22.68	20.93	21.48	20.8	20.89	20.37	20.66	20.59	19.95	19.72	18.53	20.9
1.29	32.57	33.51	32.32	31.5	31.38	30.92	30.36	29.98	29.17	28.22	27.57	27.28	26.15	26.1	26.9	25.95	25.65	25	23.38	24.39	23.41	22.69	22.65	22.76	23.06	22.09	22.06	21.47	21.86	21.48	22	21
1.58	35.21	36.41	36.27	34.71	34.17	34.28	32.94	31.31	31.48	31.23	29.77	29.7	29.22	27.55	27.33	27.01	27.36	26.6	26.86	25.95	25.27	25.01	24.17	24.12	24.3	23.26	23.66	23.52	22.32	22.89	21.92	21.71
1.87	39.2	39.28	39.45	36.91	37.28	36.54	35.19	34.84	32.83	32.51	32.31	31.14	30.7	30.05	29.57	29.33	28.36	28.54	27.67	26.78	26.91	26.8	25.9	25.72	25.76	25.2	25.28	25.04	24.32	23.96	22.89	23.18
2.16	42.3	42.16	41.03	40.77	38.79	38.29	38.43	37.27	35.8	34.79	34.48	33.72	33.56	32.22	32.01	30.67	31.43	30.44	29.59	30.48	28.85	28.5	28.15	28.55	27.7	27	26.82	26.06	26.14	25.27	24.56	24.52
2.45	44.52	44.28	43.03	43.66	41.9	41.36	40.14	39.18	38.05	37.17	36.85	35.89	34.66	34.6	33.55	32.93	33.36	31.23	31.96	32.06	30.19	29.99	29.64	28.7	29.21	28.47	27.55	27.51	26.7	26.11	27.22	26.41
2.74	47.42	47.08	45.79	45.28	45.12	43.85	43.15	41.38	41.13	39.59	38.85	38.1	36.96	36.18	36.55	35.17	34.57	33.51	33.67	32.64	31.63	32.25	30.72	30.59	30.17	30.52	29.62	29.19	27.89	28.3	27.4	27.5
3.03	50.3	50.05	48.68	47.61	46.46	46.4	45.46	44.34	43.15	42.27	41.48	39.74	39.77	38.77	37.48	36.52	35.78	35.31	34.7	34.45	33.41	33.65	32.59	32.48	31.5	30.7	30.19	29.88	29.4	29.8	28.93	28.55
3.32	53.51	52.81	51.35	51.39	49.11	48.27	46.53	46.1	44.87	43.53	43.18	42.3	41.29	40.12	38.72	38.06	37.19	37.58	37.21	35.94	35.37	34.29	32.93	33.53	33.05	32.74	32.03	31.62	31.65	30.63	29.96	30.32
3.61	54.63	54.93	53.93	52.48	51.24	50.28	48.92	48.32	47.85	46.17	43.91	44.33	42.48	41.67	40.08	40.64	39.9	38.59	37.66	36.64	36.23	35.2	36.02	34.97	33.83	34.29	32.97	31.89	31.47	31.83	32.08	31.48
3.9	57.42	57.28	55.89	54.18	53.84	51.74	51.14	48.89	47.81	47.31	46.73	45.45	43.9	43.14	41.65	41.36	40.27	39.68	39.14	38.27	37.63	37.22	36.97	35.25	35.01	34.26	33.03	34.31	33.07	32.97	31.74	31.58
4.19	58.25	57.36	57.25	54.63	54.55	53.62	51.54	51.3	49.73	48.26	47.23	45.89	45.14	44.31	42.09	42.98	41.59	41.18	39.39	39.79	38.15	38.22	36.44	36.45	35.4	34.77	35.5	34.29	33.2	33.45	32.12	33.12
4.48	59.01	59.6	58.11	56.66	54.74	53.53	52.62	51.82	49.33	48.96	47.84	47.42	45.85	44.16	44.47	43.1	42.78	41.46	40.13	39.72	38.85	38.11	38.33	36.78	36.9	35.71	35.4	34.53	34.58	34.79	33.35	33.23
4.77	60.86	59.7	57.48	56.43	55.7	54.9	52.43	51.47	50.51	49.52	47.39	48.02	44.65	45.04	44.58	43.04	42.36	41.36	40.95	40.75	39.29	39.22	37.58	36.76	37.32	36.71	35.41	34	35.38	34.74	33.59	32.95
5.06	59.6	59.12	58.65	57.6	56.45	54.66	53.22	51.85	51.11	48.43	48.21	47.72	46.24	45.61	43.61	43.82	41.89	41.72	41	40.53	39.88	38.43	37.58	37.67	36.41	35.91	36.11	35.05	35.22	33.6	33.81	33.65
5.35	59.61	59.33	58.56	56.58	55.74	53.14	53.49	51.97	50.55	49.4	47.97	47.11	46.65	44.59	44.43	43.59	42.22	42.05	40.35	39.93	38.96	39.46	37.12	37.26	37.32	35.42	34.49	34.51	34.36	33.86	33.6	32.71
5.65	58.53	58.48	57.05	56.14	55.83	53.35	53.03	50.51	49.78	48.69	46.73	46.2	44.73	44.73	43.81	42.56	42.68	41.57	39.74	39.67	38.74	38.46	37.76	36.06	36.02	35.75	34.66	34.88	34.07	32.69	33.46	32.62
