1600	2244	315	1762	2486	212
1601	2244	638	1762	2487	437
1601	2243	957	1763	2487	643
1600	2244	1270	1763	2487	845
1601	2243	1579	1763	2487	1058
1601	2243	1888	1762	2487	1261
1600	2244	2214	1762	2486	1475
1601	2243	2524	1762	2487	1709
1601	2244	2842	1763	2487	1917
1600	2243	3160	1763	2486	2119
1601	2243	3466	1763	2487	2316
1603	2245	3790	1763	2486	2526
1606	2248	4097	1761	2486	2757
1608	2250	4440	1758	2482	2956
1611	2253	4727	1757	2481	3154
1613	2255	5067	1753	2480	3376
1616	2258	5383	1751	2477	3594
1618	2260	5703	1748	2474	3793
1621	2263	6016	1746	2473	3998
1623	2265	6313	1746	2472	4218
1626	2268	6635	1744	2469	4432
1630	2272	6724	1740	2468	4644
1638	2281	6721	1738	2463	4853
1647	2293	6728	1737	2462	5055
1656	2308	6722	1734	2460	5253
1666	2327	6720	1732	2460	5471
1675	2349	6717	1731	2456	5697
1683	2367	6724	1729	2455	5880
1692	2388	6720	1727	2450	6106
1701	2406	6716	1725	2450	6320
1711	2424	6725	1721	2446	6523
1720	2444	6721	1720	2445	6722
